Date,Adj Close_OILCOUNTUB.NS,Close_OILCOUNTUB.NS,High_OILCOUNTUB.NS,Low_OILCOUNTUB.NS,Open_OILCOUNTUB.NS,Volume_OILCOUNTUB.NS,Date
2020-07-13,4.75,4.75,4.949999809265137,4.400000095367432,4.800000190734863,484475,2020-07-13
2020-07-20,4.699999809265137,4.699999809265137,4.949999809265137,4.550000190734863,4.75,513450,2020-07-20
2020-07-27,4.25,4.25,4.900000095367432,4.199999809265137,4.900000095367432,122863,2020-07-27
2020-08-03,4.150000095367432,4.150000095367432,4.5,4.0,4.25,68783,2020-08-03
2020-08-10,4.300000190734863,4.300000190734863,4.5,4.150000095367432,4.150000095367432,98862,2020-08-10
2020-08-17,4.400000095367432,4.400000095367432,4.5,4.199999809265137,4.300000190734863,80845,2020-08-17
2020-08-24,4.300000190734863,4.300000190734863,4.550000190734863,4.199999809265137,4.400000095367432,180694,2020-08-24
2020-08-31,4.150000095367432,4.150000095367432,4.449999809265137,4.0,4.300000190734863,87756,2020-08-31
2020-09-07,4.099999904632568,4.099999904632568,4.400000095367432,3.950000047683716,4.050000190734863,869803,2020-09-07
2020-09-14,4.099999904632568,4.099999904632568,4.300000190734863,4.0,4.099999904632568,180759,2020-09-14
2020-09-21,3.950000047683716,3.950000047683716,4.300000190734863,3.799999952316284,4.099999904632568,66361,2020-09-21
2020-09-28,4.150000095367432,4.150000095367432,4.199999809265137,3.799999952316284,3.950000047683716,192565,2020-09-28
2020-10-05,4.099999904632568,4.099999904632568,4.25,3.9000000953674316,4.050000190734863,600002,2020-10-05
2020-10-12,3.799999952316284,3.799999952316284,4.199999809265137,3.5999999046325684,4.199999809265137,59946,2020-10-12
2020-10-19,3.9000000953674316,3.9000000953674316,4.150000095367432,3.8499999046325684,4.099999904632568,258891,2020-10-19
2020-10-26,4.650000095367432,4.650000095367432,4.699999809265137,3.9000000953674316,4.099999904632568,453046,2020-10-26
2020-11-02,6.099999904632568,6.099999904632568,6.099999904632568,4.699999809265137,5.099999904632568,423950,2020-11-02
2020-11-09,4.650000095367432,4.650000095367432,6.400000095367432,4.650000095367432,6.349999904632568,66028,2020-11-09
2020-11-16,5.25,5.25,5.300000190734863,4.449999809265137,4.849999904632568,74699,2020-11-16
2020-11-23,4.900000095367432,4.900000095367432,5.5,4.5,5.25,59973,2020-11-23
2020-11-30,5.349999904632568,5.349999904632568,5.349999904632568,4.699999809265137,4.900000095367432,86328,2020-11-30
2020-12-07,5.699999809265137,5.699999809265137,5.849999904632568,5.099999904632568,5.5,145174,2020-12-07
2020-12-14,6.449999809265137,6.449999809265137,6.449999809265137,5.400000095367432,5.699999809265137,166111,2020-12-14
2020-12-21,6.5,6.5,6.75,5.949999809265137,6.75,57590,2020-12-21
2020-12-28,6.300000190734863,6.300000190734863,6.800000190734863,6.199999809265137,6.199999809265137,12150,2020-12-28
2021-01-04,6.0,6.0,6.25,6.0,6.199999809265137,19021,2021-01-04
2021-01-11,5.699999809265137,5.699999809265137,5.900000095367432,5.699999809265137,5.900000095367432,1229,2021-01-11
2021-01-18,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,5.699999809265137,0,2021-01-18
2021-01-25,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,5.449999809265137,1019,2021-01-25
2021-02-01,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,11005,2021-02-01
