Date,Adj Close_AIRAN.NS,Close_AIRAN.NS,High_AIRAN.NS,Low_AIRAN.NS,Open_AIRAN.NS,Volume_AIRAN.NS,Date
2020-07-13,13.100000381469727,13.100000381469727,13.600000381469727,12.5,12.600000381469727,139449,2020-07-13
2020-07-20,12.800000190734863,12.800000190734863,13.300000190734863,12.5,13.100000381469727,130997,2020-07-20
2020-07-27,12.149999618530273,12.149999618530273,13.0,12.0,13.0,126759,2020-07-27
2020-08-03,12.050000190734863,12.050000190734863,12.75,11.600000381469727,12.149999618530273,81034,2020-08-03
2020-08-10,12.300000190734863,12.300000190734863,12.600000381469727,11.449999809265137,12.050000190734863,101948,2020-08-10
2020-08-17,12.300000190734863,12.300000190734863,12.600000381469727,11.5,12.300000190734863,431294,2020-08-17
2020-08-24,12.899999618530273,12.899999618530273,13.5,12.399999618530273,12.75,305958,2020-08-24
2020-08-31,11.75,11.75,13.399999618530273,11.5,13.399999618530273,174111,2020-08-31
2020-09-07,12.0,12.0,12.550000190734863,11.050000190734863,11.75,147042,2020-09-07
2020-09-14,11.899999618530273,11.899999618530273,12.550000190734863,11.600000381469727,12.0,155599,2020-09-14
2020-09-21,11.949999809265137,11.949999809265137,12.25,11.300000190734863,12.25,121179,2020-09-21
2020-09-28,12.300000190734863,12.300000190734863,12.899999618530273,11.5,11.550000190734863,143624,2020-09-28
2020-10-05,12.050000190734863,12.050000190734863,13.0,11.550000190734863,12.600000381469727,222687,2020-10-05
2020-10-12,11.5,11.5,12.75,11.050000190734863,12.050000190734863,171147,2020-10-12
2020-10-19,11.449999809265137,11.449999809265137,11.850000381469727,11.100000381469727,11.800000190734863,158259,2020-10-19
2020-10-26,12.0,12.0,12.550000190734863,11.25,11.699999809265137,253333,2020-10-26
2020-11-02,12.5,12.5,13.0,10.5,11.949999809265137,615524,2020-11-02
2020-11-09,14.399999618530273,14.399999618530273,15.100000381469727,12.0,13.0,1408995,2020-11-09
2020-11-16,14.399999618530273,14.399999618530273,15.699999809265137,13.5,14.199999809265137,1025193,2020-11-16
2020-11-23,16.350000381469727,16.350000381469727,16.799999237060547,14.0,14.350000381469727,701328,2020-11-23
2020-11-30,19.149999618530273,19.149999618530273,21.149999618530273,15.300000190734863,16.350000381469727,1593909,2020-11-30
2020-12-07,17.850000381469727,17.850000381469727,19.649999618530273,17.299999237060547,18.200000762939453,499426,2020-12-07
2020-12-14,16.149999618530273,16.149999618530273,18.700000762939453,16.0,18.700000762939453,247682,2020-12-14
2020-12-21,17.450000762939453,17.450000762939453,17.950000762939453,15.199999809265137,16.799999237060547,258569,2020-12-21
2020-12-28,18.549999237060547,18.549999237060547,19.950000762939453,16.75,17.950000762939453,315313,2020-12-28
2021-01-04,19.200000762939453,19.200000762939453,19.950000762939453,18.0,19.450000762939453,306598,2021-01-04
2021-01-11,18.0,18.0,19.950000762939453,17.899999618530273,19.899999618530273,410989,2021-01-11
2021-01-18,18.700000762939453,18.700000762939453,19.799999237060547,17.399999618530273,18.0,209525,2021-01-18
2021-01-25,18.75,18.75,19.649999618530273,17.899999618530273,18.799999237060547,383604,2021-01-25
2021-02-01,18.5,18.5,19.399999618530273,17.899999618530273,18.799999237060547,201435,2021-02-01
2021-02-08,18.899999618530273,18.899999618530273,19.600000381469727,17.700000762939453,18.299999237060547,647814,2021-02-08
2021-02-15,18.049999237060547,18.049999237060547,19.5,17.700000762939453,19.450000762939453,479322,2021-02-15
2021-02-22,18.200000762939453,18.200000762939453,18.899999618530273,17.25,18.0,327018,2021-02-22
2021-03-01,17.0,17.0,18.75,16.700000762939453,18.0,290010,2021-03-01
2021-03-08,16.600000381469727,16.600000381469727,17.899999618530273,16.450000762939453,17.899999618530273,178048,2021-03-08
2021-03-15,16.850000381469727,16.850000381469727,17.299999237060547,15.050000190734863,16.0,1027275,2021-03-15
2021-03-22,16.0,16.0,17.299999237060547,15.199999809265137,17.25,1123223,2021-03-22
2021-03-29,15.800000190734863,15.800000190734863,16.799999237060547,15.300000190734863,16.0,148771,2021-03-29
2021-04-05,16.600000381469727,16.600000381469727,16.799999237060547,15.5,15.800000190734863,217601,2021-04-05
2021-04-12,16.25,16.25,16.799999237060547,15.5,16.700000762939453,130483,2021-04-12
2021-04-19,15.699999809265137,15.699999809265137,16.700000762939453,15.100000381469727,15.5,122678,2021-04-19
2021-04-26,16.399999618530273,16.399999618530273,16.75,15.649999618530273,15.899999618530273,179619,2021-04-26
2021-05-03,16.149999618530273,16.149999618530273,16.350000381469727,15.550000190734863,16.25,155760,2021-05-03
2021-05-10,20.0,20.0,20.149999618530273,15.550000190734863,16.0,945333,2021-05-10
2021-05-17,21.649999618530273,21.649999618530273,25.399999618530273,20.5,20.950000762939453,3000917,2021-05-17
2021-05-24,21.049999237060547,21.049999237060547,22.649999618530273,20.100000381469727,21.950000762939453,415111,2021-05-24
2021-05-31,22.950000762939453,22.950000762939453,23.950000762939453,19.600000381469727,21.049999237060547,1116938,2021-05-31
2021-06-07,23.700000762939453,23.700000762939453,24.899999618530273,22.799999237060547,23.799999237060547,854872,2021-06-07
2021-06-14,23.549999237060547,23.549999237060547,27.450000762939453,22.5,24.25,1650506,2021-06-14
2021-06-21,32.70000076293945,32.70000076293945,35.95000076293945,23.5,24.0,6984289,2021-06-21
2021-06-28,28.049999237060547,28.049999237060547,34.5,26.5,33.5,2398793,2021-06-28
2021-07-05,28.649999618530273,28.649999618530273,30.899999618530273,27.5,29.450000762939453,685885,2021-07-05
2021-07-12,26.700000762939453,26.700000762939453,29.399999618530273,26.5,28.700000762939453,545028,2021-07-12
2021-07-19,26.700000762939453,26.700000762939453,27.649999618530273,24.399999618530273,27.350000381469727,427377,2021-07-19
2021-07-26,25.299999237060547,25.299999237060547,27.549999237060547,23.25,27.149999618530273,548612,2021-07-26
2021-08-02,24.450000762939453,24.450000762939453,26.299999237060547,23.600000381469727,26.0,317547,2021-08-02
2021-08-09,24.0,24.0,25.100000381469727,22.0,25.100000381469727,358252,2021-08-09
2021-08-16,20.75,20.75,24.899999618530273,20.5,24.899999618530273,286389,2021-08-16
2021-08-23,23.399999618530273,23.399999618530273,23.850000381469727,19.0,20.399999618530273,289918,2021-08-23
2021-08-30,23.149999618530273,23.149999618530273,23.899999618530273,22.049999237060547,23.899999618530273,152088,2021-08-30
2021-09-06,22.450000762939453,22.450000762939453,23.649999618530273,21.399999618530273,23.149999618530273,110219,2021-09-06
2021-09-13,22.5,22.5,24.0,22.25,22.450000762939453,283001,2021-09-13
2021-09-20,21.799999237060547,21.799999237060547,23.149999618530273,21.100000381469727,22.950000762939453,280156,2021-09-20
2021-09-27,22.200000762939453,22.200000762939453,22.399999618530273,20.299999237060547,22.399999618530273,349104,2021-09-27
2021-10-04,21.399999618530273,21.399999618530273,22.75,21.049999237060547,22.75,221299,2021-10-04
2021-10-11,21.450000762939453,21.450000762939453,22.350000381469727,20.350000381469727,21.399999618530273,436983,2021-10-11
2021-10-18,20.549999237060547,20.549999237060547,21.75,20.100000381469727,21.649999618530273,369045,2021-10-18
2021-10-25,18.950000762939453,18.950000762939453,21.299999237060547,18.950000762939453,21.299999237060547,390393,2021-10-25
2021-11-01,19.850000381469727,19.850000381469727,20.450000762939453,18.899999618530273,19.0,279185,2021-11-01
2021-11-08,20.549999237060547,20.549999237060547,20.850000381469727,19.299999237060547,20.200000762939453,311334,2021-11-08
2021-11-15,21.350000381469727,21.350000381469727,21.799999237060547,20.200000762939453,20.950000762939453,545528,2021-11-15
2021-11-22,20.899999618530273,20.899999618530273,21.700000762939453,18.5,21.700000762939453,893226,2021-11-22
2021-11-29,21.0,21.0,21.450000762939453,19.149999618530273,21.450000762939453,597394,2021-11-29
2021-12-06,25.049999237060547,25.049999237060547,25.75,20.899999618530273,21.399999618530273,1651340,2021-12-06
2021-12-13,22.649999618530273,22.649999618530273,25.899999618530273,22.5,25.75,663563,2021-12-13
2021-12-20,24.149999618530273,24.149999618530273,25.700000762939453,20.0,22.0,1069765,2021-12-20
2021-12-27,23.5,23.5,25.0,22.149999618530273,24.0,840441,2021-12-27
2022-01-03,23.950000762939453,23.950000762939453,28.399999618530273,23.5,24.5,7686230,2022-01-03
2022-01-10,23.799999237060547,23.799999237060547,25.950000762939453,23.299999237060547,25.850000381469727,10870175,2022-01-10
2022-01-17,24.299999237060547,24.299999237060547,24.899999618530273,23.399999618530273,24.149999618530273,4401152,2022-01-17
2022-01-24,24.399999618530273,24.399999618530273,25.899999618530273,22.0,24.25,2248087,2022-01-24
