Date,Adj Close_URAVIDEF.NS,Close_URAVIDEF.NS,High_URAVIDEF.NS,Low_URAVIDEF.NS,Open_URAVIDEF.NS,Volume_URAVIDEF.NS,Date
2020-07-13,48.0,48.0,48.0,48.0,48.0,0,2020-07-13
2020-07-20,48.0,48.0,48.0,48.0,48.0,0,2020-07-20
2020-07-27,48.0,48.0,48.0,48.0,48.0,0,2020-07-27
2020-08-03,48.0,48.0,48.0,48.0,48.0,0,2020-08-03
2020-08-10,48.0,48.0,48.0,48.0,48.0,0,2020-08-10
2020-08-17,50.0,50.0,50.0,48.0,48.0,19200,2020-08-17
2020-08-24,50.0,50.0,50.0,50.0,50.0,19200,2020-08-24
2020-08-31,50.0,50.0,50.0,50.0,50.0,0,2020-08-31
2020-09-07,50.0,50.0,50.0,50.0,50.0,0,2020-09-07
2020-09-14,50.0,50.0,50.0,50.0,50.0,14400,2020-09-14
2020-09-21,49.5,49.5,50.5,49.5,50.0,4800,2020-09-21
2020-09-28,49.5,49.5,49.5,49.5,49.5,0,2020-09-28
2020-10-05,50.0,50.0,50.0,49.5,49.5,9600,2020-10-05
2020-10-12,50.0,50.0,50.0,50.0,50.0,252000,2020-10-12
2020-10-19,50.0,50.0,50.0,50.0,50.0,26400,2020-10-19
2020-10-26,57.29999923706055,57.29999923706055,57.29999923706055,50.5,50.5,616800,2020-10-26
2020-11-02,62.5,62.5,62.5,56.625,57.29999923706055,2947200,2020-11-02
2020-11-09,62.5,62.5,62.5,62.5,62.5,168000,2020-11-09
2020-11-16,62.5,62.5,62.5,62.5,62.5,0,2020-11-16
2020-11-23,60.45000076293945,60.45000076293945,62.5,60.0,62.5,26400,2020-11-23
2020-11-30,60.45000076293945,60.45000076293945,60.45000076293945,60.45000076293945,60.45000076293945,0,2020-11-30
2020-12-07,61.25,61.25,61.25,60.45000076293945,60.45000076293945,4800,2020-12-07
2020-12-14,61.25,61.25,61.25,61.25,61.25,0,2020-12-14
2020-12-21,61.25,61.25,61.25,61.25,61.25,0,2020-12-21
2020-12-28,62.75,62.75,62.75,62.25,62.5,16800,2020-12-28
2021-01-04,66.05000305175781,66.05000305175781,66.05000305175781,62.75,62.75,124800,2021-01-04
2021-01-11,70.9749984741211,70.9749984741211,70.9749984741211,66.05000305175781,66.05000305175781,144000,2021-01-11
2021-01-18,67.5,67.5,67.5,67.5,67.5,2400,2021-01-18
2021-01-25,67.5,67.5,67.5,67.5,67.5,0,2021-01-25
2021-02-01,67.5,67.5,67.5,67.5,67.5,0,2021-02-01
2021-02-08,72.5,72.5,72.5,67.5,67.5,4800,2021-02-08
2021-02-15,72.5,72.5,72.5,72.5,72.5,0,2021-02-15
2021-02-22,72.5,72.5,72.5,72.5,72.5,0,2021-02-22
2021-03-01,72.5,72.5,72.5,69.0,72.25,31200,2021-03-01
2021-03-08,72.5,72.5,72.5,72.5,72.5,0,2021-03-08
2021-03-15,73.0,73.0,73.0,72.5,72.5,57600,2021-03-15
2021-03-22,73.0,73.0,73.0,73.0,73.0,0,2021-03-22
2021-03-29,73.0,73.0,73.0,73.0,73.0,0,2021-03-29
2021-04-05,73.0,73.0,73.0,73.0,73.0,0,2021-04-05
2021-04-12,73.0,73.0,73.0,73.0,73.0,0,2021-04-12
2021-04-19,73.0,73.0,73.0,73.0,73.0,0,2021-04-19
2021-04-26,73.5,73.5,73.5,72.0,72.0,110400,2021-04-26
2021-05-03,77.0,77.0,77.0,73.5,73.5,38400,2021-05-03
2021-05-10,77.0,77.0,77.0,77.0,77.0,0,2021-05-10
2021-05-17,77.0,77.0,77.0,77.0,77.0,0,2021-05-17
2021-05-24,77.0,77.0,77.0,77.0,77.0,0,2021-05-24
2021-05-31,77.0,77.0,77.0,77.0,77.0,0,2021-05-31
2021-06-07,77.0,77.0,77.0,77.0,77.0,0,2021-06-07
2021-06-14,77.0,77.0,77.0,77.0,77.0,0,2021-06-14
2021-06-21,77.5,77.5,77.5,77.5,77.5,40800,2021-06-21
2021-06-28,77.5,77.5,77.5,77.5,77.5,0,2021-06-28
2021-07-05,77.5,77.5,77.5,77.5,77.5,0,2021-07-05
2021-07-12,77.5,77.5,77.5,77.5,77.5,0,2021-07-12
2021-07-19,77.5,77.5,77.5,77.5,77.5,0,2021-07-19
2021-07-26,77.5,77.5,77.5,77.5,77.5,0,2021-07-26
2021-08-02,77.5,77.5,77.5,77.5,77.5,0,2021-08-02
2021-08-09,77.5,77.5,77.5,77.5,77.5,0,2021-08-09
2021-08-16,77.5,77.5,77.5,77.5,77.5,0,2021-08-16
2021-08-23,77.5,77.5,77.5,77.5,77.5,0,2021-08-23
2021-08-30,77.5,77.5,77.5,77.5,77.5,0,2021-08-30
2021-09-06,77.5,77.5,77.5,77.5,77.5,0,2021-09-06
2021-09-13,77.5,77.5,77.5,77.5,77.5,0,2021-09-13
2021-09-20,77.5,77.5,77.5,77.5,77.5,0,2021-09-20
2021-09-27,77.5,77.5,77.5,77.5,77.5,0,2021-09-27
2021-10-04,69.0,69.0,77.5,69.0,77.5,2400,2021-10-04
2021-10-11,62.5,62.5,69.0,62.5,69.0,96000,2021-10-11
2021-10-18,62.5,62.5,62.5,62.5,62.5,0,2021-10-18
2021-10-25,62.5,62.5,62.5,62.5,62.5,0,2021-10-25
2021-11-01,62.5,62.5,62.5,62.5,62.5,0,2021-11-01
2021-11-08,62.5,62.5,62.5,62.5,62.5,0,2021-11-08
2021-11-15,62.5,62.5,62.5,62.5,62.5,0,2021-11-15
2021-11-22,62.5,62.5,62.5,62.5,62.5,0,2021-11-22
2021-11-29,63.375,63.375,63.375,60.875,62.5,4800,2021-11-29
2021-12-06,63.375,63.375,63.375,63.375,63.375,0,2021-12-06
