Date,Adj Close_A2ZINFRA.NS,Close_A2ZINFRA.NS,High_A2ZINFRA.NS,Low_A2ZINFRA.NS,Open_A2ZINFRA.NS,Volume_A2ZINFRA.NS,Date
2020-07-13,4.449999809265137,4.449999809265137,4.900000095367432,4.349999904632568,4.699999809265137,657288,2020-07-13
2020-07-20,4.5,4.5,4.849999904632568,4.199999809265137,4.5,1975005,2020-07-20
2020-07-27,4.0,4.0,4.550000190734863,3.950000047683716,4.400000095367432,1992106,2020-07-27
2020-08-03,4.150000095367432,4.150000095367432,4.25,3.9000000953674316,4.050000190734863,1236300,2020-08-03
2020-08-10,4.099999904632568,4.099999904632568,4.349999904632568,4.050000190734863,4.150000095367432,1747339,2020-08-10
2020-08-17,4.599999904632568,4.599999904632568,4.599999904632568,4.0,4.150000095367432,2205348,2020-08-17
2020-08-24,5.25,5.25,5.650000095367432,4.800000190734863,4.800000190734863,5656931,2020-08-24
2020-08-31,4.949999809265137,4.949999809265137,5.0,4.349999904632568,5.0,1915982,2020-08-31
2020-09-07,4.400000095367432,4.400000095367432,5.099999904632568,4.400000095367432,4.900000095367432,1457232,2020-09-07
2020-09-14,4.300000190734863,4.300000190734863,4.599999904632568,4.300000190734863,4.400000095367432,1198247,2020-09-14
2020-09-21,4.099999904632568,4.099999904632568,4.349999904632568,4.0,4.300000190734863,1323444,2020-09-21
2020-09-28,4.099999904632568,4.099999904632568,4.25,4.0,4.099999904632568,712867,2020-09-28
2020-10-05,4.150000095367432,4.150000095367432,4.25,4.0,4.050000190734863,1141901,2020-10-05
2020-10-12,3.6500000953674316,3.6500000953674316,4.150000095367432,3.6500000953674316,4.150000095367432,1567678,2020-10-12
2020-10-19,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.450000047683716,3.700000047683716,889732,2020-10-19
2020-10-26,3.799999952316284,3.799999952316284,4.0,3.700000047683716,4.0,546227,2020-10-26
2020-11-02,3.75,3.75,3.8499999046325684,3.6500000953674316,3.75,580017,2020-11-02
2020-11-09,3.75,3.75,3.8499999046325684,3.5999999046325684,3.75,1027508,2020-11-09
2020-11-16,3.700000047683716,3.700000047683716,3.8499999046325684,3.6500000953674316,3.700000047683716,1042485,2020-11-16
2020-11-23,4.050000190734863,4.050000190734863,4.150000095367432,3.700000047683716,3.75,1782064,2020-11-23
2020-11-30,4.849999904632568,4.849999904632568,4.849999904632568,3.950000047683716,4.050000190734863,2497564,2020-11-30
2020-12-07,4.75,4.75,5.300000190734863,4.25,5.099999904632568,4203301,2020-12-07
2020-12-14,4.75,4.75,5.150000095367432,4.400000095367432,4.849999904632568,3839894,2020-12-14
2020-12-21,4.699999809265137,4.699999809265137,4.849999904632568,4.050000190734863,4.849999904632568,1691653,2020-12-21
2020-12-28,5.300000190734863,5.300000190734863,5.300000190734863,4.5,4.699999809265137,3476547,2020-12-28
