Date,Adj Close_JNKINDIA.NS,Close_JNKINDIA.NS,High_JNKINDIA.NS,Low_JNKINDIA.NS,Open_JNKINDIA.NS,Volume_JNKINDIA.NS,Date
2024-04-29,638.6221313476562,638.9000244140625,714.0,621.0,621.0,28828546,2024-04-29
2024-05-06,605.3365478515625,605.5999755859375,657.5,600.0,646.0,3925539,2024-05-06
2024-05-13,643.3200073242188,643.5999755859375,662.5499877929688,581.7999877929688,604.4000244140625,2062488,2024-05-13
2024-05-20,663.8611450195312,664.1500244140625,677.0,612.75,651.2000122070312,1136806,2024-05-20
2024-05-27,609.5347290039062,609.7999877929688,665.9000244140625,606.0499877929688,665.0,1195558,2024-05-27
2024-06-03,637.2227172851562,637.5,646.9500122070312,550.0,635.9500122070312,1123172,2024-06-03
2024-06-10,679.7042236328125,680.0,695.9000244140625,618.9000244140625,650.0,1643896,2024-06-10
2024-06-17,860.9752807617188,861.3499755859375,880.0,680.0,680.0,4852939,2024-06-17
2024-06-24,828.439453125,828.7999877929688,897.25,820.4500122070312,861.4000244140625,888383,2024-06-24
2024-07-01,882.2660522460938,882.6500244140625,894.0,810.0499877929688,829.9500122070312,1006150,2024-07-01
2024-07-08,771.6641845703125,772.0,890.0,750.0,887.0,580511,2024-07-08
2024-07-15,735.5798950195312,735.9000244140625,810.0,735.9000244140625,784.5999755859375,134318,2024-07-15
2024-07-22,753.921875,754.25,768.8499755859375,702.8499755859375,723.0,133238,2024-07-22
2024-07-29,751.3230590820312,751.6500244140625,791.9500122070312,714.5,752.0,161583,2024-07-29
2024-08-05,722.3856201171875,722.7000122070312,740.0,702.0,720.2000122070312,124239,2024-08-05
2024-08-12,733.880615234375,734.2000122070312,759.9500122070312,698.4000244140625,723.0,212193,2024-08-12
2024-08-19,759.469482421875,759.7999877929688,779.9000244140625,730.0999755859375,747.8499755859375,126472,2024-08-19
2024-08-26,748.5242309570312,748.8499755859375,777.0,726.0,760.0,140069,2024-08-26
2024-09-02,715.388671875,715.7000122070312,751.2000122070312,705.0499877929688,751.2000122070312,143176,2024-09-02
2024-09-09,710.0910034179688,710.4000244140625,722.0999755859375,690.0499877929688,719.0,115017,2024-09-09
2024-09-16,692.74853515625,693.0499877929688,710.0,662.5,700.0999755859375,99970,2024-09-16
2024-09-23,661.9619140625,662.25,705.0,655.0,700.0,94004,2024-09-23
2024-09-30,629.7259521484375,630.0,680.0,623.0,662.25,115189,2024-09-30
2024-10-07,705.5429077148438,705.8499755859375,743.9500122070312,602.1500244140625,639.9000244140625,579829,2024-10-07
2024-10-14,689.3500366210938,689.6500244140625,739.5999755859375,679.9500122070312,725.0,171144,2024-10-14
2024-10-21,624.628173828125,624.9000244140625,698.5999755859375,612.5,688.9500122070312,226434,2024-10-21
2024-10-28,665.9000244140625,665.9000244140625,675.0,605.0499877929688,624.9000244140625,183941,2024-10-28
2024-11-04,624.8499755859375,624.8499755859375,675.8499755859375,619.25,667.9000244140625,107202,2024-11-04
2024-11-11,602.0499877929688,602.0499877929688,635.0,597.4000244140625,612.0,93499,2024-11-11
2024-11-18,611.75,611.75,628.4000244140625,571.9500122070312,598.0,111313,2024-11-18
2024-11-25,626.9000244140625,626.9000244140625,640.2000122070312,586.6500244140625,624.9500122070312,153728,2024-11-25
2024-12-02,610.2999877929688,610.2999877929688,634.9500122070312,601.1500244140625,626.9000244140625,144168,2024-12-02
2024-12-09,639.0,639.0,661.2000122070312,607.5499877929688,611.0,310517,2024-12-09
2024-12-16,658.5,658.5,710.0,640.0999755859375,640.0999755859375,504664,2024-12-16
2024-12-23,640.6500244140625,640.6500244140625,677.9000244140625,620.0,662.75,175884,2024-12-23
2024-12-30,649.4000244140625,649.4000244140625,668.9500122070312,628.0499877929688,639.3499755859375,88591,2024-12-30
2025-01-06,594.1500244140625,594.1500244140625,650.7000122070312,591.6500244140625,643.0,103691,2025-01-06
2025-01-13,596.25,596.25,634.0,571.0499877929688,620.0,193967,2025-01-13
2025-01-20,560.2999877929688,560.2999877929688,601.9500122070312,552.5499877929688,595.5,74781,2025-01-20
2025-01-27,543.3499755859375,543.3499755859375,560.0,488.0,560.0,132523,2025-01-27
2025-02-03,518.2000122070312,518.2000122070312,540.9500122070312,494.79998779296875,539.0,110982,2025-02-03
2025-02-10,406.25,406.25,517.9500122070312,391.1000061035156,517.2000122070312,215399,2025-02-10
2025-02-17,345.6000061035156,345.6000061035156,406.20001220703125,330.0,400.1499938964844,610181,2025-02-17
2025-02-24,290.5,290.5,349.5,280.0,337.0,344697,2025-02-24
2025-03-03,334.70001220703125,334.70001220703125,334.70001220703125,264.79998779296875,290.5,767895,2025-03-03
2025-03-10,292.75,292.75,363.8999938964844,290.0,363.8999938964844,323108,2025-03-10
2025-03-17,360.70001220703125,360.70001220703125,360.70001220703125,271.1000061035156,299.95001220703125,357098,2025-03-17
2025-03-24,343.0,343.0,405.0,340.20001220703125,374.79998779296875,501330,2025-03-24
2025-03-31,342.1000061035156,342.1000061035156,360.0,330.0,343.0,150357,2025-03-31
2025-04-07,328.70001220703125,328.70001220703125,342.70001220703125,316.6000061035156,325.0,111145,2025-04-07
2025-04-14,362.5,362.5,362.5,327.0,328.70001220703125,124367,2025-04-14
2025-04-21,370.75,370.75,419.54998779296875,362.0,376.70001220703125,375628,2025-04-21
2025-04-28,350.95001220703125,350.95001220703125,381.0,338.0,355.0,67246,2025-04-28
2025-05-05,337.45001220703125,337.45001220703125,354.8999938964844,321.8999938964844,352.79998779296875,120537,2025-05-05
2025-05-12,373.8999938964844,373.8999938964844,388.04998779296875,348.25,349.0,162677,2025-05-12
2025-05-19,358.04998779296875,358.04998779296875,381.0,356.0,376.1499938964844,125554,2025-05-19
2025-05-26,354.54998779296875,354.54998779296875,381.5,351.20001220703125,360.0,193398,2025-05-26
2025-06-02,345.75,345.75,354.70001220703125,330.0,346.29998779296875,371229,2025-06-02
2025-06-09,362.70001220703125,362.70001220703125,398.0,345.0,345.0,710274,2025-06-09
2025-06-16,360.25,360.25,378.70001220703125,347.95001220703125,355.25,380767,2025-06-16
2025-06-23,349.95001220703125,349.95001220703125,363.5,348.0,357.0,229024,2025-06-23
2025-06-30,334.45001220703125,334.45001220703125,357.45001220703125,332.0,347.1499938964844,231584,2025-06-30
2025-07-07,314.04998779296875,314.04998779296875,337.45001220703125,310.0,325.0,435864,2025-07-07
2025-07-14,308.45001220703125,308.45001220703125,319.45001220703125,306.04998779296875,311.8500061035156,272058,2025-07-14
