Date,Adj Close_RAJOOENG.NS,Close_RAJOOENG.NS,High_RAJOOENG.NS,Low_RAJOOENG.NS,Open_RAJOOENG.NS,Volume_RAJOOENG.NS,Date
2025-05-26,131.75999450683594,131.75999450683594,136.3300018310547,129.14999389648438,131.0,440679,2025-05-26
2025-06-02,127.5999984741211,127.5999984741211,132.3800048828125,119.0,131.49000549316406,1129634,2025-06-02
2025-06-09,122.95999908447266,122.95999908447266,131.9499969482422,121.66000366210938,128.14999389648438,709142,2025-06-09
2025-06-16,117.11000061035156,117.11000061035156,129.0500030517578,109.8499984741211,121.01000213623047,2327087,2025-06-16
2025-06-23,120.81999969482422,120.81999969482422,125.0,113.5,114.69999694824219,1300532,2025-06-23
2025-06-30,108.22000122070312,108.22000122070312,123.0,105.31999969482422,123.0,3203060,2025-06-30
2025-07-07,124.05999755859375,124.05999755859375,128.16000366210938,106.05000305175781,108.05999755859375,4628225,2025-07-07
2025-07-14,143.3300018310547,143.3300018310547,144.25999450683594,125.01000213623047,128.49000549316406,6679116,2025-07-14
