Date,Adj Close_STYRENIX.NS,Close_STYRENIX.NS,High_STYRENIX.NS,Low_STYRENIX.NS,Open_STYRENIX.NS,Volume_STYRENIX.NS,Date
2020-07-13,606.7581176757812,824.75,867.8499755859375,810.0,821.0,434576,2020-07-13
2020-07-20,515.2754516601562,700.4000244140625,899.9500122070312,700.4000244140625,820.0,593153,2020-07-20
2020-07-27,392.70989990234375,533.7999877929688,609.9000244140625,501.25,560.3499755859375,853326,2020-07-27
2020-08-03,386.49334716796875,525.3499755859375,549.0,520.0999755859375,529.0,104470,2020-08-03
2020-08-10,367.365478515625,499.3500061035156,534.0,485.20001220703125,529.9000244140625,211111,2020-08-10
2020-08-17,396.3515625,538.75,544.0,497.0,504.8999938964844,123456,2020-08-17
2020-08-24,386.6036682128906,525.5,554.9500122070312,522.0,538.9000244140625,85127,2020-08-24
2020-08-31,372.4417419433594,506.25,534.0,495.0,526.0,36337,2020-08-31
2020-09-07,368.248291015625,500.54998779296875,514.9500122070312,484.0,502.3500061035156,29540,2020-09-07
2020-09-14,382.9620361328125,520.5499877929688,536.4000244140625,501.8500061035156,509.95001220703125,77077,2020-09-14
2020-09-21,370.56573486328125,503.70001220703125,526.0,495.0,520.5499877929688,48518,2020-09-21
2020-09-28,392.0845947265625,532.9500122070312,539.0,495.04998779296875,505.3999938964844,78574,2020-09-28
2020-10-05,386.8611755371094,525.8499755859375,545.0999755859375,510.0,538.9000244140625,59388,2020-10-05
2020-10-12,375.3108825683594,510.1499938964844,560.0,507.25,539.0,54618,2020-10-12
2020-10-19,380.97564697265625,517.8499755859375,528.25,507.1000061035156,518.9500122070312,14773,2020-10-19
2020-10-26,387.8543395996094,527.2000122070312,536.6500244140625,507.25,524.0,60390,2020-10-26
2020-11-02,401.2438659667969,545.4000244140625,559.0999755859375,509.8999938964844,521.5999755859375,100485,2020-11-02
2020-11-09,430.0827941894531,584.5999755859375,594.9500122070312,529.5,548.0499877929688,280252,2020-11-09
2020-11-16,484.3765563964844,658.4000244140625,670.0,581.4500122070312,584.9500122070312,202863,2020-11-16
2020-11-23,511.6705322265625,695.5,709.0,665.5,674.7999877929688,229395,2020-11-23
