Date,Adj Close_RAJRILTD.NS,Close_RAJRILTD.NS,High_RAJRILTD.NS,Low_RAJRILTD.NS,Open_RAJRILTD.NS,Volume_RAJRILTD.NS,Date
2021-07-05,35.0,35.0,35.0,30.0,35.0,18722,2021-07-05
2021-07-12,30.0,30.0,35.0,25.0,30.0,11141,2021-07-12
2021-07-19,25.0,25.0,35.0,25.0,30.0,9341,2021-07-19
2021-07-26,25.0,25.0,30.0,25.0,25.0,8334,2021-07-26
2021-08-02,30.0,30.0,30.0,25.0,25.0,12409,2021-08-02
2021-08-09,45.0,45.0,45.0,25.0,30.0,66790,2021-08-09
2021-08-16,35.0,35.0,50.0,35.0,50.0,56565,2021-08-16
2021-08-23,30.0,30.0,40.0,25.0,35.0,7966,2021-08-23
2021-08-30,25.0,25.0,35.0,20.0,25.0,24288,2021-08-30
2021-09-06,25.0,25.0,30.0,20.0,20.0,17324,2021-09-06
2021-09-13,25.0,25.0,25.0,20.0,20.0,6357,2021-09-13
2021-09-20,25.0,25.0,25.0,20.0,20.0,7021,2021-09-20
2021-09-27,30.0,30.0,30.0,20.0,25.0,9924,2021-09-27
2021-10-04,30.0,30.0,40.0,25.0,25.0,35543,2021-10-04
2021-10-11,45.0,45.0,50.0,30.0,35.0,69709,2021-10-11
2021-10-18,35.0,35.0,50.0,35.0,45.0,64617,2021-10-18
2021-10-25,35.0,35.0,35.0,35.0,35.0,0,2021-10-25
2021-11-01,35.0,35.0,35.0,35.0,35.0,0,2021-11-01
2021-11-08,35.0,35.0,35.0,35.0,35.0,0,2021-11-08
2021-11-15,35.0,35.0,35.0,35.0,35.0,0,2021-11-15
2021-11-22,35.0,35.0,35.0,35.0,35.0,0,2021-11-22
2021-11-29,35.0,35.0,35.0,35.0,35.0,0,2021-11-29
2021-12-06,35.0,35.0,35.0,35.0,35.0,0,2021-12-06
2021-12-13,35.0,35.0,35.0,35.0,35.0,0,2021-12-13
2021-12-20,35.0,35.0,35.0,35.0,35.0,0,2021-12-20
2021-12-27,35.0,35.0,35.0,35.0,35.0,0,2021-12-27
2022-01-03,35.0,35.0,35.0,35.0,35.0,0,2022-01-03
2022-01-10,35.0,35.0,35.0,35.0,35.0,0,2022-01-10
2022-01-17,35.0,35.0,35.0,35.0,35.0,0,2022-01-17
2022-01-24,35.0,35.0,35.0,35.0,35.0,0,2022-01-24
2022-01-31,35.0,35.0,35.0,35.0,35.0,0,2022-01-31
2022-02-07,35.0,35.0,35.0,35.0,35.0,0,2022-02-07
2022-02-14,35.0,35.0,35.0,35.0,35.0,0,2022-02-14
2022-02-21,35.0,35.0,35.0,35.0,35.0,0,2022-02-21
2022-02-28,35.0,35.0,35.0,35.0,35.0,0,2022-02-28
2022-03-07,35.0,35.0,35.0,35.0,35.0,0,2022-03-07
2022-03-14,1.399999976158142,1.399999976158142,35.0,1.350000023841858,35.0,1619,2022-03-14
2022-03-21,1.649999976158142,1.649999976158142,1.649999976158142,1.4500000476837158,1.4500000476837158,1217,2022-03-21
2022-03-28,1.9500000476837158,1.9500000476837158,1.9500000476837158,1.7000000476837158,1.7000000476837158,3491,2022-03-28
2022-04-04,2.5,2.5,2.5,2.0999999046325684,2.0999999046325684,6267,2022-04-04
2022-04-11,2.799999952316284,2.799999952316284,2.799999952316284,2.5999999046325684,2.5999999046325684,2397,2022-04-11
2022-04-18,3.450000047683716,3.450000047683716,3.450000047683716,2.9000000953674316,2.9000000953674316,2301,2022-04-18
2022-04-25,4.25,4.25,4.25,3.5999999046325684,3.5999999046325684,1041,2022-04-25
2022-05-02,4.849999904632568,4.849999904632568,4.849999904632568,4.25,4.25,865,2022-05-02
2022-05-09,6.050000190734863,6.050000190734863,6.050000190734863,5.050000190734863,5.050000190734863,750,2022-05-09
2022-05-16,7.599999904632568,7.599999904632568,7.599999904632568,6.349999904632568,6.349999904632568,438,2022-05-16
2022-05-23,8.75,8.75,8.75,7.949999809265137,7.949999809265137,5284,2022-05-23
2022-05-30,9.350000381469727,9.350000381469727,9.350000381469727,8.899999618530273,8.899999618530273,758,2022-05-30
2022-06-06,9.5,9.5,9.5,9.5,9.5,288,2022-06-06
2022-06-13,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,1042,2022-06-13
2022-06-20,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,598,2022-06-20
2022-06-27,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,753,2022-06-27
2022-07-04,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,2073,2022-07-04
2022-07-11,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,1503,2022-07-11
2022-07-18,10.5,10.5,10.5,10.5,10.5,704,2022-07-18
2022-07-25,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,8523,2022-07-25
2022-08-01,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,2033,2022-08-01
2022-08-08,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,544,2022-08-08
2022-08-15,11.300000190734863,11.300000190734863,11.300000190734863,11.100000381469727,11.100000381469727,549,2022-08-15
2022-08-22,11.5,11.5,11.5,11.5,11.5,418,2022-08-22
2022-08-29,12.100000381469727,12.100000381469727,12.100000381469727,11.699999809265137,11.699999809265137,10171,2022-08-29
2022-09-05,13.25,13.25,13.25,12.300000190734863,12.300000190734863,948,2022-09-05
2022-09-12,14.5,14.5,14.5,13.5,13.5,1993,2022-09-12
2022-09-19,15.899999618530273,15.899999618530273,15.899999618530273,14.75,14.75,6388,2022-09-19
2022-09-26,17.100000381469727,17.100000381469727,17.100000381469727,16.200000762939453,16.200000762939453,556,2022-09-26
2022-10-03,18.399999618530273,18.399999618530273,18.399999618530273,17.399999618530273,17.399999618530273,771,2022-10-03
2022-10-10,20.149999618530273,20.149999618530273,20.149999618530273,18.75,18.75,1523,2022-10-10
2022-10-17,21.75,21.75,21.75,20.549999237060547,20.549999237060547,4236,2022-10-17
2022-10-24,23.450000762939453,23.450000762939453,23.450000762939453,22.149999618530273,22.149999618530273,13224,2022-10-24
2022-10-31,25.75,25.75,25.75,23.899999618530273,23.899999618530273,2234,2022-10-31
2022-11-07,27.75,27.75,27.75,26.25,26.25,1789,2022-11-07
2022-11-14,30.5,30.5,30.5,28.299999237060547,28.299999237060547,2964,2022-11-14
2022-11-21,32.900001525878906,32.900001525878906,32.900001525878906,31.100000381469727,31.100000381469727,2067,2022-11-21
2022-11-28,33.54999923706055,33.54999923706055,33.54999923706055,33.54999923706055,33.54999923706055,3623,2022-11-28
2022-12-05,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,18788,2022-12-05
2022-12-12,34.849998474121094,34.849998474121094,34.849998474121094,34.849998474121094,34.849998474121094,7874,2022-12-12
2022-12-19,35.5,35.5,35.5,35.5,35.5,4348,2022-12-19
2022-12-26,36.20000076293945,36.20000076293945,36.20000076293945,36.20000076293945,36.20000076293945,17655,2022-12-26
2023-01-02,39.849998474121094,39.849998474121094,39.849998474121094,36.900001525878906,36.900001525878906,9406,2023-01-02
2023-01-09,43.849998474121094,43.849998474121094,43.849998474121094,40.599998474121094,40.599998474121094,107472,2023-01-09
2023-01-16,48.25,48.25,48.25,44.70000076293945,44.70000076293945,6067,2023-01-16
2023-01-23,52.150001525878906,52.150001525878906,52.150001525878906,49.20000076293945,49.20000076293945,5511,2023-01-23
2023-01-30,57.45000076293945,57.45000076293945,57.45000076293945,53.150001525878906,53.150001525878906,6455,2023-01-30
2023-02-06,63.25,63.25,63.25,57.45000076293945,58.54999923706055,39201,2023-02-06
2023-02-13,69.69999694824219,69.69999694824219,69.69999694824219,64.5,64.5,32066,2023-02-13
2023-02-20,76.80000305175781,76.80000305175781,76.80000305175781,71.05000305175781,71.05000305175781,5459,2023-02-20
2023-02-27,84.6500015258789,84.6500015258789,84.6500015258789,78.30000305175781,78.30000305175781,8927,2023-02-27
2023-03-06,84.55000305175781,84.55000305175781,89.75,84.55000305175781,86.30000305175781,58033,2023-03-06
2023-03-13,76.44999694824219,76.44999694824219,82.8499984741211,76.44999694824219,82.8499984741211,10434,2023-03-13
2023-03-20,69.19999694824219,69.19999694824219,74.94999694824219,69.19999694824219,74.94999694824219,3361,2023-03-20
2023-03-27,63.900001525878906,63.900001525878906,67.8499984741211,63.900001525878906,67.8499984741211,8896,2023-03-27
2023-04-03,60.20000076293945,60.20000076293945,62.650001525878906,60.20000076293945,62.650001525878906,6314,2023-04-03
2023-04-10,57.849998474121094,57.849998474121094,60.150001525878906,56.70000076293945,59.0,131424,2023-04-10
2023-04-17,52.400001525878906,52.400001525878906,56.70000076293945,52.400001525878906,56.70000076293945,8699,2023-04-17
2023-04-24,47.45000076293945,47.45000076293945,51.349998474121094,47.45000076293945,51.349998474121094,6652,2023-04-24
2023-05-01,47.400001525878906,47.400001525878906,47.45000076293945,44.70000076293945,47.45000076293945,69282,2023-05-01
2023-05-08,50.20000076293945,50.20000076293945,52.20000076293945,47.650001525878906,47.79999923706055,64049,2023-05-08
2023-05-15,45.45000076293945,45.45000076293945,49.20000076293945,45.45000076293945,49.20000076293945,9088,2023-05-15
2023-05-22,49.70000076293945,49.70000076293945,49.70000076293945,44.54999923706055,45.5,97465,2023-05-22
2023-05-29,54.75,54.75,54.75,49.5,50.0,35467,2023-05-29
2023-06-05,60.29999923706055,60.29999923706055,60.29999923706055,55.79999923706055,55.79999923706055,66056,2023-06-05
2023-06-12,66.5,66.5,66.5,61.5,61.5,27815,2023-06-12
2023-06-19,67.75,67.75,70.5,65.1500015258789,67.80000305175781,114568,2023-06-19
2023-06-26,69.8499984741211,69.8499984741211,70.94999694824219,67.0999984741211,69.0999984741211,80129,2023-06-26
2023-07-03,63.20000076293945,63.20000076293945,70.80000305175781,63.20000076293945,69.8499984741211,21764,2023-07-03
2023-07-10,57.20000076293945,57.20000076293945,61.95000076293945,57.20000076293945,61.95000076293945,7405,2023-07-10
2023-07-17,51.75,51.75,56.04999923706055,51.75,56.04999923706055,12451,2023-07-17
2023-07-24,46.849998474121094,46.849998474121094,50.75,46.849998474121094,50.75,13357,2023-07-24
2023-07-31,47.75,47.75,47.75,44.150001525878906,45.95000076293945,41460,2023-07-31
2023-08-07,52.54999923706055,52.54999923706055,52.54999923706055,48.70000076293945,48.70000076293945,78057,2023-08-07
2023-08-14,48.54999923706055,48.54999923706055,53.0,48.54999923706055,52.0,9642,2023-08-14
2023-08-21,46.25,46.25,47.650001525878906,45.75,47.599998474121094,345761,2023-08-21
2023-08-28,41.900001525878906,41.900001525878906,46.5,41.900001525878906,45.349998474121094,22657,2023-08-28
2023-09-04,41.04999923706055,41.04999923706055,42.650001525878906,39.5,41.099998474121094,67887,2023-09-04
2023-09-11,39.79999923706055,39.79999923706055,41.75,38.349998474121094,41.75,92836,2023-09-11
2023-09-18,40.150001525878906,40.150001525878906,41.400001525878906,39.650001525878906,40.400001525878906,34672,2023-09-18
2023-09-25,39.650001525878906,39.650001525878906,41.0,39.150001525878906,40.0,26398,2023-09-25
2023-10-02,37.150001525878906,37.150001525878906,40.0,37.150001525878906,39.650001525878906,31763,2023-10-02
2023-10-09,35.0,35.0,37.75,35.0,36.400001525878906,69219,2023-10-09
2023-10-16,33.25,33.25,35.75,33.20000076293945,34.349998474121094,33627,2023-10-16
2023-10-23,31.549999237060547,31.549999237060547,33.900001525878906,30.950000762939453,32.650001525878906,24505,2023-10-23
2023-10-30,29.5,29.5,32.150001525878906,29.0,32.150001525878906,46003,2023-10-30
2023-11-06,31.149999618530273,31.149999618530273,31.149999618530273,29.600000381469727,29.600000381469727,94986,2023-11-06
2023-11-13,32.75,32.75,32.75,31.299999237060547,32.349998474121094,139385,2023-11-13
2023-11-20,29.700000762939453,29.700000762939453,33.400001525878906,29.700000762939453,33.400001525878906,78524,2023-11-20
2023-11-27,27.450000762939453,27.450000762939453,30.25,27.450000762939453,29.700000762939453,79542,2023-11-27
2023-12-04,24.899999618530273,24.899999618530273,26.899999618530273,24.899999618530273,26.899999618530273,86142,2023-12-04
2023-12-11,22.600000381469727,22.600000381469727,24.399999618530273,22.600000381469727,24.399999618530273,150797,2023-12-11
2023-12-18,20.549999237060547,20.549999237060547,22.600000381469727,20.549999237060547,22.600000381469727,640746,2023-12-18
2023-12-25,19.25,19.25,20.549999237060547,19.0,20.549999237060547,678109,2023-12-25
2024-01-01,17.5,17.5,18.899999618530273,17.5,18.899999618530273,538193,2024-01-01
2024-01-08,15.899999618530273,15.899999618530273,17.149999618530273,15.899999618530273,17.149999618530273,340005,2024-01-08
2024-01-15,16.200000762939453,16.200000762939453,16.200000762939453,15.0,15.899999618530273,296374,2024-01-15
2024-01-22,17.399999618530273,17.399999618530273,17.399999618530273,16.200000762939453,16.200000762939453,22725,2024-01-22
2024-01-29,19.100000381469727,19.100000381469727,19.100000381469727,17.700000762939453,17.700000762939453,124121,2024-01-29
2024-02-05,20.950000762939453,20.950000762939453,20.950000762939453,19.450000762939453,19.450000762939453,263439,2024-02-05
2024-02-12,23.0,23.0,23.0,21.350000381469727,21.350000381469727,404094,2024-02-12
2024-02-19,25.25,25.25,25.25,23.450000762939453,23.450000762939453,58759,2024-02-19
2024-02-26,27.75,27.75,27.75,25.75,25.75,102556,2024-02-26
2024-03-04,28.299999237060547,28.299999237060547,29.950000762939453,28.299999237060547,28.850000381469727,336161,2024-03-04
2024-03-11,25.649999618530273,25.649999618530273,27.75,25.649999618530273,27.75,96064,2024-03-11
2024-03-18,23.25,23.25,25.149999618530273,23.25,25.149999618530273,17298,2024-03-18
2024-03-25,21.950000762939453,21.950000762939453,23.700000762939453,21.950000762939453,23.25,417183,2024-03-25
2024-04-01,22.350000381469727,22.350000381469727,22.350000381469727,20.75,21.549999237060547,256467,2024-04-01
2024-04-08,23.200000762939453,23.200000762939453,24.100000381469727,22.75,22.75,129949,2024-04-08
2024-04-15,22.200000762939453,22.200000762939453,22.850000381469727,21.850000381469727,22.75,211224,2024-04-15
2024-04-22,22.75,22.75,23.75,21.75,22.200000762939453,294170,2024-04-22
2024-04-29,22.700000762939453,22.700000762939453,23.649999618530273,22.299999237060547,22.75,120682,2024-04-29
2024-05-06,21.899999618530273,21.899999618530273,23.149999618530273,21.350000381469727,22.700000762939453,161247,2024-05-06
2024-05-13,22.049999237060547,22.049999237060547,22.5,21.350000381469727,21.549999237060547,103517,2024-05-13
2024-05-20,21.799999237060547,21.799999237060547,22.450000762939453,21.350000381469727,22.100000381469727,117757,2024-05-20
2024-05-27,21.299999237060547,21.299999237060547,22.100000381469727,20.5,21.399999618530273,142197,2024-05-27
2024-06-03,20.5,20.5,21.600000381469727,19.700000762939453,21.600000381469727,122462,2024-06-03
2024-06-10,21.790000915527344,21.790000915527344,22.25,20.450000762939453,20.90999984741211,129977,2024-06-10
2024-06-17,20.8700008392334,20.8700008392334,22.209999084472656,20.700000762939453,21.790000915527344,126912,2024-06-17
2024-06-24,20.65999984741211,20.65999984741211,21.40999984741211,20.34000015258789,20.8700008392334,105137,2024-06-24
2024-07-01,21.020000457763672,21.020000457763672,21.709999084472656,20.549999237060547,21.049999237060547,148072,2024-07-01
2024-07-08,20.75,20.75,21.479999542236328,20.219999313354492,21.0,171744,2024-07-08
2024-07-15,20.479999542236328,20.479999542236328,21.290000915527344,20.299999237060547,21.139999389648438,121723,2024-07-15
2024-07-22,21.350000381469727,21.350000381469727,21.350000381469727,20.059999465942383,20.780000686645508,183746,2024-07-22
2024-07-29,22.799999237060547,22.799999237060547,23.5,21.049999237060547,21.760000228881836,334115,2024-07-29
2024-08-05,22.100000381469727,22.100000381469727,23.139999389648438,21.8700008392334,22.799999237060547,149632,2024-08-05
2024-08-12,22.09000015258789,22.09000015258789,22.989999771118164,21.65999984741211,21.65999984741211,120226,2024-08-12
2024-08-19,24.229999542236328,24.229999542236328,24.229999542236328,21.709999084472656,21.709999084472656,172565,2024-08-19
2024-08-26,25.68000030517578,25.68000030517578,25.68000030517578,23.719999313354492,24.709999084472656,488984,2024-08-26
2024-09-02,28.18000030517578,28.18000030517578,28.31999969482422,26.170000076293945,26.190000534057617,550937,2024-09-02
2024-09-09,25.520000457763672,25.520000457763672,28.739999771118164,25.520000457763672,28.739999771118164,253146,2024-09-09
2024-09-16,24.93000030517578,24.93000030517578,25.809999465942383,24.209999084472656,25.010000228881836,223681,2024-09-16
2024-09-23,24.0,24.0,25.399999618530273,23.850000381469727,25.0,101317,2024-09-23
2024-09-30,23.739999771118164,23.739999771118164,24.100000381469727,23.110000610351562,23.969999313354492,113076,2024-09-30
2024-10-07,23.93000030517578,23.93000030517578,24.239999771118164,23.139999389648438,24.209999084472656,198182,2024-10-07
2024-10-14,23.459999084472656,23.459999084472656,24.110000610351562,22.940000534057617,24.0,69034,2024-10-14
2024-10-21,21.979999542236328,21.979999542236328,23.84000015258789,21.979999542236328,23.15999984741211,105993,2024-10-21
2024-10-28,22.670000076293945,22.670000076293945,22.950000762939453,21.459999084472656,22.40999984741211,54193,2024-10-28
2024-11-04,25.020000457763672,25.020000457763672,25.020000457763672,22.700000762939453,23.110000610351562,152453,2024-11-04
2024-11-11,24.229999542236328,24.229999542236328,25.889999389648438,24.229999542236328,25.100000381469727,108745,2024-11-11
2024-11-18,22.799999237060547,22.799999237060547,24.229999542236328,22.799999237060547,24.229999542236328,61591,2024-11-18
2024-11-25,22.299999237060547,22.299999237060547,22.84000015258789,21.020000457763672,22.799999237060547,111848,2024-11-25
2024-12-02,23.950000762939453,23.950000762939453,23.969999313354492,22.31999969482422,22.739999771118164,109425,2024-12-02
2024-12-09,23.139999389648438,23.139999389648438,24.889999389648438,23.040000915527344,24.420000076293945,130931,2024-12-09
2024-12-16,22.850000381469727,22.850000381469727,23.84000015258789,22.059999465942383,23.549999237060547,93048,2024-12-16
2024-12-23,23.280000686645508,23.280000686645508,24.100000381469727,22.510000228881836,23.299999237060547,107860,2024-12-23
2024-12-30,23.479999542236328,23.479999542236328,24.43000030517578,22.809999465942383,23.219999313354492,147490,2024-12-30
2025-01-06,21.469999313354492,21.469999313354492,23.940000534057617,21.190000534057617,23.940000534057617,74775,2025-01-06
2025-01-13,20.479999542236328,20.479999542236328,21.799999237060547,20.190000534057617,21.799999237060547,101112,2025-01-13
2025-01-20,19.510000228881836,19.510000228881836,21.200000762939453,19.510000228881836,20.809999465942383,55477,2025-01-20
2025-01-27,19.450000762939453,19.450000762939453,19.450000762939453,17.989999771118164,19.110000610351562,50168,2025-01-27
2025-02-03,21.239999771118164,21.239999771118164,21.239999771118164,19.059999465942383,19.829999923706055,77730,2025-02-03
2025-02-10,23.3700008392334,23.3700008392334,23.43000030517578,21.65999984741211,21.65999984741211,221010,2025-02-10
2025-02-17,25.770000457763672,25.770000457763672,25.770000457763672,23.399999618530273,23.829999923706055,184486,2025-02-17
2025-02-24,23.75,23.75,26.280000686645508,23.75,26.270000457763672,85973,2025-02-24
2025-03-03,21.450000762939453,21.450000762939453,23.270000457763672,21.450000762939453,23.270000457763672,54310,2025-03-03
2025-03-10,21.610000610351562,21.610000610351562,21.860000610351562,20.59000015258789,21.020000457763672,179797,2025-03-10
2025-03-17,20.889999389648438,20.889999389648438,22.09000015258789,20.540000915527344,21.610000610351562,102517,2025-03-17
2025-03-24,20.25,20.25,21.190000534057617,19.5,21.1200008392334,99738,2025-03-24
2025-03-31,21.899999618530273,21.899999618530273,21.899999618530273,20.0,20.25,65670,2025-03-31
2025-04-07,23.420000076293945,23.420000076293945,23.420000076293945,21.459999084472656,22.329999923706055,116750,2025-04-07
2025-04-14,24.3799991607666,24.3799991607666,24.3799991607666,22.950000762939453,23.8799991607666,90186,2025-04-14
2025-04-21,24.68000030517578,24.68000030517578,25.299999237060547,23.889999389648438,24.25,270674,2025-04-21
2025-04-28,23.149999618530273,23.149999618530273,24.989999771118164,23.149999618530273,24.989999771118164,33961,2025-04-28
2025-05-05,21.450000762939453,21.450000762939453,23.18000030517578,21.18000030517578,22.719999313354492,47657,2025-05-05
2025-05-12,23.649999618530273,23.649999618530273,23.649999618530273,21.450000762939453,21.450000762939453,73563,2025-05-12
2025-05-19,26.100000381469727,26.100000381469727,26.100000381469727,24.1200008392334,24.1200008392334,233815,2025-05-19
2025-05-26,26.739999771118164,26.739999771118164,27.25,26.079999923706055,26.6200008392334,199780,2025-05-26
2025-06-02,29.40999984741211,29.40999984741211,29.40999984741211,26.8700008392334,26.950000762939453,146129,2025-06-02
2025-06-09,30.770000457763672,30.770000457763672,31.59000015258789,28.81999969482422,29.989999771118164,430920,2025-06-09
2025-06-16,27.790000915527344,27.790000915527344,30.149999618530273,27.790000915527344,30.149999618530273,46391,2025-06-16
2025-06-23,28.020000457763672,28.020000457763672,28.299999237060547,26.139999389648438,27.229999542236328,155768,2025-06-23
2025-06-30,28.649999618530273,28.649999618530273,29.40999984741211,27.950000762939453,28.15999984741211,111656,2025-06-30
2025-07-07,26.739999771118164,26.739999771118164,28.799999237060547,26.65999984741211,28.649999618530273,91135,2025-07-07
2025-07-14,26.770000457763672,26.770000457763672,27.799999237060547,26.25,26.739999771118164,42427,2025-07-14
