Date,Adj Close_RAJRILTD.NS,Close_RAJRILTD.NS,High_RAJRILTD.NS,Low_RAJRILTD.NS,Open_RAJRILTD.NS,Volume_RAJRILTD.NS,Date
2020-07-13,20.0,20.0,20.0,20.0,20.0,0,2020-07-13
2020-07-20,15.0,15.0,15.0,15.0,15.0,3682,2020-07-20
2020-07-27,10.0,10.0,15.0,10.0,10.0,27961,2020-07-27
2020-08-03,10.0,10.0,10.0,5.0,5.0,6123,2020-08-03
2020-08-10,10.0,10.0,15.0,10.0,10.0,6899,2020-08-10
2020-08-17,15.0,15.0,15.0,10.0,10.0,5927,2020-08-17
2020-08-24,15.0,15.0,15.0,10.0,15.0,4753,2020-08-24
2020-08-31,10.0,10.0,15.0,10.0,10.0,7145,2020-08-31
2020-09-07,10.0,10.0,15.0,10.0,10.0,1722,2020-09-07
2020-09-14,15.0,15.0,15.0,10.0,10.0,14405,2020-09-14
2020-09-21,15.0,15.0,15.0,5.0,15.0,16922,2020-09-21
2020-09-28,10.0,10.0,15.0,10.0,10.0,3925,2020-09-28
2020-10-05,10.0,10.0,15.0,5.0,10.0,5509,2020-10-05
2020-10-12,15.0,15.0,15.0,10.0,15.0,7137,2020-10-12
2020-10-19,10.0,10.0,20.0,10.0,10.0,35022,2020-10-19
2020-10-26,10.0,10.0,20.0,10.0,10.0,11852,2020-10-26
2020-11-02,15.0,15.0,15.0,10.0,15.0,7308,2020-11-02
2020-11-09,15.0,15.0,15.0,10.0,15.0,14648,2020-11-09
2020-11-16,15.0,15.0,20.0,10.0,15.0,30229,2020-11-16
2020-11-23,15.0,15.0,20.0,10.0,15.0,27419,2020-11-23
2020-11-30,15.0,15.0,20.0,15.0,15.0,13882,2020-11-30
2020-12-07,20.0,20.0,25.0,15.0,20.0,92624,2020-12-07
2020-12-14,30.0,30.0,35.0,20.0,25.0,126714,2020-12-14
2020-12-21,30.0,30.0,30.0,20.0,25.0,63106,2020-12-21
2020-12-28,25.0,25.0,30.0,25.0,30.0,32265,2020-12-28
2021-01-04,35.0,35.0,35.0,25.0,30.0,124161,2021-01-04
2021-01-11,20.0,20.0,35.0,15.0,30.0,28867,2021-01-11
2021-01-18,15.0,15.0,25.0,15.0,25.0,27910,2021-01-18
2021-01-25,15.0,15.0,20.0,15.0,15.0,4621,2021-01-25
2021-02-01,20.0,20.0,20.0,10.0,15.0,7994,2021-02-01
2021-02-08,25.0,25.0,30.0,15.0,20.0,50136,2021-02-08
2021-02-15,20.0,20.0,25.0,20.0,25.0,15150,2021-02-15
2021-02-22,25.0,25.0,25.0,20.0,20.0,15153,2021-02-22
2021-03-01,25.0,25.0,25.0,20.0,25.0,13303,2021-03-01
2021-03-08,20.0,20.0,25.0,20.0,25.0,9910,2021-03-08
2021-03-15,25.0,25.0,25.0,15.0,20.0,11642,2021-03-15
2021-03-22,20.0,20.0,25.0,20.0,25.0,8515,2021-03-22
2021-03-29,25.0,25.0,25.0,15.0,20.0,14273,2021-03-29
2021-04-05,25.0,25.0,25.0,15.0,25.0,20505,2021-04-05
2021-04-12,20.0,20.0,25.0,15.0,20.0,24050,2021-04-12
2021-04-19,25.0,25.0,25.0,15.0,25.0,17981,2021-04-19
2021-04-26,20.0,20.0,25.0,20.0,20.0,19207,2021-04-26
2021-05-03,25.0,25.0,25.0,20.0,25.0,22097,2021-05-03
2021-05-10,25.0,25.0,25.0,20.0,25.0,29323,2021-05-10
2021-05-17,20.0,20.0,25.0,20.0,25.0,52715,2021-05-17
2021-05-24,20.0,20.0,25.0,20.0,20.0,23363,2021-05-24
2021-05-31,25.0,25.0,25.0,20.0,20.0,38907,2021-05-31
2021-06-07,40.0,40.0,40.0,20.0,20.0,157824,2021-06-07
2021-06-14,45.0,45.0,60.0,40.0,45.0,215599,2021-06-14
2021-06-21,30.0,30.0,40.0,30.0,40.0,36131,2021-06-21
2021-06-28,35.0,35.0,35.0,25.0,30.0,31919,2021-06-28
