Date,Adj Close_PAVNAIND.NS,Close_PAVNAIND.NS,High_PAVNAIND.NS,Low_PAVNAIND.NS,Open_PAVNAIND.NS,Volume_PAVNAIND.NS,Date
2021-03-22,82.06739044189453,82.55000305175781,83.5,82.55000305175781,82.94999694824219,33600,2021-03-22
2021-03-29,82.09223937988281,82.57499694824219,83.0999984741211,82.55000305175781,82.55000305175781,27200,2021-03-29
2021-04-05,82.06739044189453,82.55000305175781,82.57499694824219,82.55000305175781,82.57499694824219,62400,2021-04-05
2021-04-12,82.51476287841797,83.0,83.0,82.5250015258789,82.55000305175781,68800,2021-04-12
2021-04-19,82.48990631103516,82.9749984741211,82.9749984741211,82.55000305175781,82.55000305175781,25600,2021-04-19
2021-04-26,82.06739044189453,82.55000305175781,83.0,82.55000305175781,82.55000305175781,43200,2021-04-26
2021-05-03,83.0118408203125,83.5,84.25,82.55000305175781,82.55000305175781,27200,2021-05-03
2021-05-10,82.06739044189453,82.55000305175781,84.0,82.55000305175781,82.55000305175781,14400,2021-05-10
2021-05-17,82.06739044189453,82.55000305175781,86.0,82.55000305175781,82.55000305175781,20800,2021-05-17
2021-05-24,83.0118408203125,83.5,85.9749984741211,83.25,85.9749984741211,19200,2021-05-24
2021-05-31,82.53961181640625,83.0250015258789,84.0,82.55000305175781,83.0,19200,2021-05-31
2021-06-07,82.51476287841797,83.0,86.0,83.0,83.5,16000,2021-06-07
2021-06-14,85.99430084228516,86.5,99.0,82.57499694824219,82.75,46400,2021-06-14
2021-06-21,86.49137878417969,87.0,90.44999694824219,86.5,87.5,17600,2021-06-21
2021-06-28,86.98844909667969,87.5,87.5,87.0,87.0,1600,2021-06-28
2021-07-05,89.97091674804688,90.5,90.5,86.5,87.5,8000,2021-07-05
2021-07-12,94.94168090820312,95.5,95.5,87.5,87.5,92800,2021-07-12
2021-07-19,99.41537475585938,100.0,107.5,92.0,92.0,97600,2021-07-19
2021-07-26,95.93583679199219,96.5,97.0,96.5,97.0,4800,2021-07-26
2021-08-02,95.46361541748047,96.0250015258789,97.5,96.0,97.5,12800,2021-08-02
2021-08-09,91.21360778808594,91.75,96.0250015258789,91.75,96.0250015258789,4800,2021-08-09
2021-08-16,89.47383880615234,90.0,91.75,90.0,91.75,4800,2021-08-16
2021-08-23,89.47383880615234,90.0,90.0,90.0,90.0,6400,2021-08-23
2021-08-30,89.47383880615234,90.0,90.0,90.0,90.0,8000,2021-08-30
2021-09-06,99.36566162109375,99.94999694824219,99.94999694824219,90.0,90.0,6400,2021-09-06
