Date,Adj Close_RADICO.NS,Close_RADICO.NS,High_RADICO.NS,Low_RADICO.NS,Open_RADICO.NS,Volume_RADICO.NS,Date
2020-07-13,385.4863586425781,391.1499938964844,393.70001220703125,367.04998779296875,380.04998779296875,1292355,2020-07-13
2020-07-20,388.0979919433594,393.79998779296875,414.0,384.0,396.5,4874167,2020-07-20
2020-07-27,363.1643371582031,368.5,397.79998779296875,363.70001220703125,395.0,1787753,2020-07-27
2020-08-03,380.8051452636719,386.3999938964844,390.29998779296875,360.5,366.0,1659650,2020-08-03
2020-08-10,392.13861083984375,397.8999938964844,406.8999938964844,375.5,388.0,1878913,2020-08-10
2020-08-17,397.756103515625,403.6000061035156,415.0,384.1499938964844,400.0,1569679,2020-08-17
2020-08-24,409.1506042480469,413.1000061035156,429.8999938964844,401.45001220703125,408.25,2163579,2020-08-24
2020-08-31,402.8612976074219,406.75,416.6499938964844,390.1000061035156,411.0,1448478,2020-08-31
2020-09-07,390.2331848144531,394.0,409.8500061035156,376.3999938964844,409.29998779296875,2576709,2020-09-07
2020-09-14,447.8273010253906,452.1499938964844,472.0,400.0,405.25,5417245,2020-09-14
2020-09-21,400.88043212890625,404.75,455.95001220703125,393.0,451.0,1979166,2020-09-21
2020-09-28,400.13763427734375,404.0,417.79998779296875,398.0,407.3500061035156,1336888,2020-09-28
2020-10-05,408.85345458984375,412.79998779296875,434.0,402.1499938964844,406.6000061035156,1804992,2020-10-05
2020-10-12,419.84735107421875,423.8999938964844,428.54998779296875,402.6499938964844,410.0,1467430,2020-10-12
2020-10-19,443.6178894042969,447.8999938964844,457.0,384.0,420.1000061035156,1751340,2020-10-19
2020-10-26,432.82208251953125,437.0,460.0,432.25,447.8999938964844,1528284,2020-10-26
2020-11-02,431.08880615234375,435.25,446.6499938964844,418.45001220703125,433.0,1236528,2020-11-02
2020-11-09,459.96014404296875,464.3999938964844,471.75,437.0,437.0,2223944,2020-11-09
2020-11-16,445.1531066894531,449.45001220703125,466.04998779296875,444.3500061035156,451.29998779296875,760226,2020-11-16
2020-11-23,450.15478515625,454.5,455.0,440.1000061035156,449.45001220703125,1350000,2020-11-23
2020-11-30,469.1217041015625,473.6499938964844,485.0,449.6000061035156,454.5,2131925,2020-11-30
2020-12-07,450.89764404296875,455.25,479.45001220703125,452.75,475.8999938964844,1104959,2020-12-07
2020-12-14,454.3641662597656,458.75,475.79998779296875,453.20001220703125,457.79998779296875,1264413,2020-12-14
2020-12-21,444.45977783203125,448.75,464.8500061035156,422.0,456.5,849979,2020-12-21
2020-12-28,452.13568115234375,456.5,462.0,443.0,450.1000061035156,1549095,2020-12-28
2021-01-04,503.7870788574219,508.6499938964844,515.0,453.1000061035156,459.0,5391007,2021-01-04
2021-01-11,501.0138854980469,505.8500061035156,522.5499877929688,500.5,514.0,2571640,2021-01-11
2021-01-18,509.92779541015625,514.8499755859375,529.8499755859375,485.0,503.1499938964844,2211596,2021-01-18
2021-01-25,484.77069091796875,489.45001220703125,520.75,480.8500061035156,518.0,1448491,2021-01-25
2021-02-01,508.1945495605469,513.0999755859375,548.7999877929688,490.6000061035156,495.0,3277346,2021-02-01
2021-02-08,538.1058349609375,543.2999877929688,548.4000244140625,505.54998779296875,513.5499877929688,1818896,2021-02-08
2021-02-15,549.89208984375,555.2000122070312,580.7000122070312,547.0499877929688,549.8499755859375,2283994,2021-02-15
2021-02-22,564.2039794921875,569.6500244140625,576.7999877929688,541.0,556.9000244140625,1004992,2021-02-22
2021-03-01,582.6261596679688,588.25,627.7999877929688,560.0,579.9500122070312,2163882,2021-03-01
2021-03-08,566.779052734375,572.25,650.0,565.0,586.5,1551637,2021-03-08
2021-03-15,527.012939453125,532.0999755859375,579.9000244140625,516.0,574.7999877929688,1553534,2021-03-15
2021-03-22,555.1414184570312,560.5,577.3499755859375,527.1500244140625,534.9000244140625,1788852,2021-03-22
2021-03-29,559.6973266601562,565.0999755859375,577.0,552.0999755859375,560.5,673407,2021-03-29
2021-04-05,537.957275390625,543.1500244140625,565.0,540.0,565.0,826439,2021-04-05
2021-04-12,511.264892578125,516.2000122070312,539.9000244140625,495.6499938964844,539.9000244140625,791651,2021-04-12
2021-04-19,511.0173645019531,515.9500122070312,523.9500122070312,494.0,515.0,542480,2021-04-19
2021-04-26,561.9259033203125,567.3499755859375,582.9500122070312,511.04998779296875,519.0499877929688,1537832,2021-04-26
2021-05-03,549.19873046875,554.5,575.5499877929688,545.9500122070312,565.5,671589,2021-05-03
2021-05-10,541.0276489257812,546.25,579.0,545.0,545.25,696779,2021-05-10
2021-05-17,583.6165161132812,589.25,620.0,537.0999755859375,548.8499755859375,3826092,2021-05-17
2021-05-24,604.6633911132812,610.5,643.0,575.5499877929688,597.0,2961942,2021-05-24
2021-05-31,642.349609375,648.5499877929688,666.9500122070312,607.0,611.5999755859375,7086739,2021-05-31
2021-06-07,704.1035766601562,710.9000244140625,742.2999877929688,651.5,652.0999755859375,7351424,2021-06-07
2021-06-14,781.2587890625,788.7999877929688,803.8499755859375,701.9500122070312,710.9000244140625,8572966,2021-06-14
2021-06-21,760.1129150390625,767.4500122070312,825.0,761.4500122070312,770.0,3228109,2021-06-21
2021-06-28,754.2197265625,761.5,783.2999877929688,746.4500122070312,767.5,3148632,2021-06-28
2021-07-05,770.7601318359375,778.2000122070312,785.0,736.5,768.2000122070312,1677324,2021-07-05
2021-07-12,783.1901245117188,790.75,799.4000244140625,751.1500244140625,781.0,1365592,2021-07-12
2021-07-19,853.4617919921875,861.7000122070312,874.7999877929688,781.7000122070312,790.0,4335078,2021-07-19
2021-07-26,894.4659423828125,903.0999755859375,917.9000244140625,820.0,862.0,4949152,2021-07-26
2021-08-02,866.4365844726562,874.7999877929688,913.5,868.0,910.0999755859375,1743764,2021-08-02
2021-08-09,911.7492065429688,920.5499877929688,945.0,840.0,871.7000122070312,4574521,2021-08-09
2021-08-16,875.895263671875,884.3499755859375,932.7000122070312,880.0,916.5,1980078,2021-08-16
2021-08-23,857.12646484375,865.4000244140625,908.9000244140625,833.0,891.0,2015396,2021-08-23
2021-08-30,886.1463623046875,894.7000122070312,923.9000244140625,859.75,870.0,1862042,2021-08-30
2021-09-06,900.458251953125,909.1500244140625,927.7999877929688,886.0,895.0,1321726,2021-09-06
2021-09-13,916.0079956054688,924.8499755859375,958.0,890.0999755859375,908.9500122070312,3225083,2021-09-13
2021-09-20,884.7101440429688,893.25,965.0,882.25,917.0,5890230,2021-09-20
2021-09-27,890.3385009765625,896.5999755859375,913.9000244140625,864.0499877929688,896.0,1915661,2021-09-27
2021-10-04,964.2686157226562,971.0499877929688,988.9000244140625,898.1500244140625,902.5,5346361,2021-10-04
2021-10-11,1087.6510009765625,1095.300048828125,1214.800048828125,970.0,974.7999877929688,9643135,2021-10-11
2021-10-18,1116.5477294921875,1124.4000244140625,1174.0,1080.1500244140625,1132.0,1837910,2021-10-18
2021-10-25,1111.4337158203125,1119.25,1172.0,1046.699951171875,1107.0,1987918,2021-10-25
