Date,Adj Close_BHARATFORG.NS,Close_BHARATFORG.NS,High_BHARATFORG.NS,Low_BHARATFORG.NS,Open_BHARATFORG.NS,Volume_BHARATFORG.NS,Date
2020-07-13,364.6771240234375,377.45001220703125,386.0,362.95001220703125,371.95001220703125,11243106,2020-07-13
2020-07-20,371.10211181640625,384.1000061035156,397.6000061035156,376.8500061035156,382.79998779296875,15087976,2020-07-20
2020-07-27,369.02490234375,381.95001220703125,398.0,379.25,384.0,10392262,2020-07-27
2020-08-03,394.00006103515625,407.79998779296875,413.8999938964844,376.0,380.20001220703125,12132782,2020-08-03
2020-08-10,478.200927734375,494.95001220703125,511.8999938964844,406.6000061035156,430.0,57296228,2020-08-10
2020-08-17,473.2252197265625,489.79998779296875,504.8500061035156,482.04998779296875,496.95001220703125,15959389,2020-08-17
2020-08-24,485.2539367675781,502.25,522.0999755859375,491.1499938964844,492.79998779296875,18576800,2020-08-24
2020-08-31,472.1141662597656,488.6499938964844,512.7000122070312,476.0,506.0,14109287,2020-08-31
2020-09-07,447.7185974121094,463.3999938964844,495.6499938964844,454.3500061035156,493.1000061035156,10532410,2020-09-07
2020-09-14,463.12884521484375,479.3500061035156,487.54998779296875,465.0,465.25,12543069,2020-09-14
2020-09-21,429.8446350097656,444.8999938964844,483.79998779296875,427.5,479.3500061035156,10531189,2020-09-21
2020-09-28,432.9846496582031,448.1499938964844,459.3500061035156,444.1000061035156,452.0,4960431,2020-09-28
2020-10-05,450.037353515625,465.79998779296875,478.0,454.3999938964844,458.04998779296875,12116160,2020-10-05
2020-10-12,437.1874694824219,452.5,476.75,439.5,468.0,11798006,2020-10-12
2020-10-19,478.3458557128906,495.1000061035156,498.75,445.75,455.20001220703125,13265762,2020-10-19
2020-10-26,436.028076171875,451.29998779296875,495.8999938964844,447.25,495.1000061035156,10753801,2020-10-26
2020-11-02,460.9067077636719,477.04998779296875,486.8500061035156,445.0,454.0,10729443,2020-11-02
2020-11-09,467.76641845703125,484.1499938964844,539.6500244140625,478.0,480.6000061035156,22727618,2020-11-09
2020-11-16,480.4714050292969,497.29998779296875,518.0,481.1000061035156,481.1000061035156,12362892,2020-11-16
2020-11-23,491.1474914550781,508.3500061035156,525.7000122070312,491.20001220703125,500.6000061035156,15768567,2020-11-23
2020-11-30,533.2721557617188,551.9500122070312,565.5,499.29998779296875,508.3500061035156,19321482,2020-11-30
2020-12-07,533.5137329101562,552.2000122070312,562.0,535.0,555.7999877929688,14710829,2020-12-07
2020-12-14,536.846923828125,555.6500244140625,567.25,538.2999877929688,555.0,13360311,2020-12-14
2020-12-21,508.7799377441406,526.5999755859375,554.9500122070312,492.1000061035156,550.0,14744901,2020-12-21
2020-12-28,519.8907470703125,538.0999755859375,540.0,513.3499755859375,530.0,7092635,2020-12-28
2021-01-04,582.8843994140625,603.2999877929688,606.0,534.2000122070312,546.5,22592360,2021-01-04
2021-01-11,592.78759765625,613.5499877929688,676.9000244140625,597.9000244140625,604.0,26764720,2021-01-11
2021-01-18,608.1012573242188,629.4000244140625,644.5,579.25,612.5499877929688,16043568,2021-01-18
2021-01-25,564.0443115234375,583.7999877929688,636.0,562.0,635.2999877929688,10723590,2021-01-25
2021-02-01,596.9902954101562,617.9000244140625,668.0,576.5,587.0,14446510,2021-02-01
2021-02-08,618.4390869140625,640.0999755859375,666.6500244140625,620.0,621.0,17573872,2021-02-08
2021-02-15,582.5945434570312,603.0,653.4000244140625,595.0499877929688,635.5499877929688,14448296,2021-02-15
