Date,Adj Close_ELIN.NS,Close_ELIN.NS,High_ELIN.NS,Low_ELIN.NS,Open_ELIN.NS,Volume_ELIN.NS,Date
2022-12-26,226.26019287109375,227.64999389648438,245.0,225.60000610351562,244.0,8019373,2022-12-26
2023-01-02,220.74407958984375,222.10000610351562,233.75,217.6999969482422,231.3000030517578,3287732,2023-01-02
2023-01-09,218.6569061279297,220.0,227.9499969482422,207.10000610351562,223.0500030517578,1198743,2023-01-09
2023-01-16,221.73797607421875,223.10000610351562,233.6999969482422,221.0,221.0,979011,2023-01-16
2023-01-23,207.42588806152344,208.6999969482422,224.4499969482422,207.0,223.0,353459,2023-01-23
2023-01-30,193.1634979248047,194.35000610351562,210.85000610351562,187.35000610351562,207.1999969482422,558855,2023-01-30
2023-02-06,188.59156799316406,189.75,196.39999389648438,186.5,192.0,474013,2023-02-06
2023-02-13,152.6622772216797,153.60000610351562,176.9499969482422,152.5,175.0,1352855,2023-02-13
2023-02-20,147.7424774169922,148.64999389648438,160.25,148.0,154.35000610351562,584395,2023-02-20
2023-02-27,148.48789978027344,149.39999389648438,153.6999969482422,141.5,148.75,789097,2023-02-27
2023-03-06,146.10256958007812,147.0,152.10000610351562,145.8000030517578,150.89999389648438,571657,2023-03-06
2023-03-13,145.00927734375,145.89999389648438,150.1999969482422,142.1999969482422,146.0,525825,2023-03-13
2023-03-20,141.77911376953125,142.64999389648438,151.6999969482422,139.0500030517578,149.89999389648438,456869,2023-03-20
2023-03-27,119.81404113769531,120.55000305175781,146.10000610351562,116.0,143.0,1188190,2023-03-27
2023-04-03,137.60475158691406,138.4499969482422,142.60000610351562,121.5,121.5,857821,2023-04-03
2023-04-10,133.2813262939453,134.10000610351562,139.5,133.0,139.4499969482422,365296,2023-04-10
2023-04-17,131.3432159423828,132.14999389648438,139.9499969482422,130.0,136.0500030517578,466168,2023-04-17
2023-04-24,133.6788787841797,134.5,136.5,127.05000305175781,133.1999969482422,525883,2023-04-24
2023-05-01,134.07643127441406,134.89999389648438,143.89999389648438,131.9499969482422,134.5,941855,2023-05-01
2023-05-08,128.16275024414062,128.9499969482422,139.5,128.6999969482422,135.85000610351562,1117205,2023-05-08
2023-05-15,135.12002563476562,135.9499969482422,138.0,128.60000610351562,129.4499969482422,928328,2023-05-15
2023-05-22,149.0345458984375,149.9499969482422,159.0,133.0,136.3000030517578,3426865,2023-05-22
2023-05-29,139.29437255859375,140.14999389648438,155.89999389648438,131.5,151.10000610351562,2948605,2023-05-29
2023-06-05,145.90379333496094,146.8000030517578,147.6999969482422,140.10000610351562,142.0,1226862,2023-06-05
2023-06-12,167.2725372314453,168.3000030517578,176.0,147.25,147.75,6949127,2023-06-12
2023-06-19,164.34054565429688,165.35000610351562,172.0,161.5,169.35000610351562,1791124,2023-06-19
2023-06-26,169.75726318359375,170.8000030517578,179.0,163.35000610351562,165.35000610351562,2158608,2023-06-26
2023-07-03,162.05458068847656,163.0500030517578,181.5,161.60000610351562,171.64999389648438,2674766,2023-07-03
2023-07-10,156.2899932861328,157.25,166.8000030517578,151.25,163.60000610351562,1736220,2023-07-10
2023-07-17,149.38241577148438,150.3000030517578,159.89999389648438,148.3000030517578,158.9499969482422,965193,2023-07-17
2023-07-24,148.1897430419922,149.10000610351562,151.64999389648438,144.60000610351562,150.85000610351562,823216,2023-07-24
2023-07-31,150.12783813476562,151.0500030517578,155.0,147.60000610351562,149.0,774589,2023-07-31
2023-08-07,142.57423400878906,143.4499969482422,153.75,141.1999969482422,151.8000030517578,1280900,2023-08-07
2023-08-14,148.0406494140625,148.9499969482422,151.6999969482422,141.3000030517578,144.3000030517578,702713,2023-08-14
2023-08-21,156.93601989746094,157.89999389648438,161.5,147.0,149.85000610351562,2144188,2023-08-21
2023-08-28,175.7703399658203,176.85000610351562,178.1999969482422,156.0500030517578,158.0,4831024,2023-08-28
2023-09-04,175.52186584472656,176.60000610351562,184.9499969482422,170.0500030517578,179.0,3311284,2023-09-04
2023-09-11,164.2908477783203,165.3000030517578,179.0,157.9499969482422,177.9499969482422,1620566,2023-09-11
2023-09-18,162.25335693359375,163.25,168.5500030517578,161.3000030517578,166.4499969482422,648600,2023-09-18
2023-09-25,172.5,172.5,176.0,161.0,163.0,1338942,2023-09-25
2023-10-02,187.8000030517578,187.8000030517578,194.10000610351562,169.0,172.5,3739112,2023-10-02
2023-10-09,184.60000610351562,184.60000610351562,194.35000610351562,175.75,185.85000610351562,2206889,2023-10-09
2023-10-16,175.8000030517578,175.8000030517578,187.10000610351562,175.1999969482422,185.6999969482422,976921,2023-10-16
2023-10-23,165.60000610351562,165.60000610351562,179.1999969482422,154.1999969482422,177.64999389648438,1425060,2023-10-23
2023-10-30,171.5,171.5,174.0,161.0500030517578,165.5,818367,2023-10-30
2023-11-06,152.8000030517578,152.8000030517578,176.60000610351562,150.35000610351562,171.0,2196217,2023-11-06
2023-11-13,153.9499969482422,153.9499969482422,158.0500030517578,151.39999389648438,155.0,949175,2023-11-13
