Date,Adj Close_BOMDYEING.NS,Close_BOMDYEING.NS,High_BOMDYEING.NS,Low_BOMDYEING.NS,Open_BOMDYEING.NS,Volume_BOMDYEING.NS,Date
2020-07-13,70.70046997070312,71.0999984741211,75.19999694824219,68.4000015258789,73.4000015258789,5559993,2020-07-13
2020-07-20,64.93306732177734,65.30000305175781,73.44999694824219,64.5,71.19999694824219,9258841,2020-07-20
2020-07-27,58.668460845947266,59.0,65.30000305175781,58.599998474121094,65.25,6611055,2020-07-27
2020-08-03,66.57378387451172,66.94999694824219,68.0999984741211,58.29999923706055,58.29999923706055,12582104,2020-08-03
2020-08-10,67.36929321289062,67.75,70.69999694824219,66.19999694824219,67.6500015258789,13456123,2020-08-10
2020-08-17,70.7999038696289,71.19999694824219,73.5,66.75,68.6500015258789,17349539,2020-08-17
2020-08-24,72.63951110839844,73.05000305175781,79.30000305175781,68.19999694824219,72.4000015258789,28089631,2020-08-24
2020-08-31,66.0268783569336,66.4000015258789,73.80000305175781,65.4000015258789,73.69999694824219,7382767,2020-08-31
2020-09-07,64.78390502929688,65.1500015258789,67.05000305175781,62.29999923706055,66.80000305175781,5228229,2020-09-07
2020-09-14,67.61788940429688,68.0,71.44999694824219,65.5999984741211,65.69999694824219,9383281,2020-09-14
2020-09-21,62.89458084106445,63.25,68.30000305175781,60.29999923706055,68.0,4684786,2020-09-21
2020-09-28,63.441490173339844,63.79999923706055,65.80000305175781,62.599998474121094,63.70000076293945,4277657,2020-09-28
2020-10-05,63.292335510253906,63.650001525878906,67.30000305175781,63.20000076293945,63.900001525878906,5074970,2020-10-05
2020-10-12,65.6291275024414,66.0,67.80000305175781,61.29999923706055,64.25,5867180,2020-10-12
2020-10-19,63.3420524597168,63.70000076293945,66.19999694824219,62.5,66.0,4945526,2020-10-19
2020-10-26,61.40300750732422,61.75,64.25,61.400001525878906,64.0,4263648,2020-10-26
2020-11-02,65.43025207519531,65.80000305175781,66.80000305175781,60.900001525878906,62.099998474121094,5906349,2020-11-02
2020-11-09,64.78390502929688,65.1500015258789,66.30000305175781,62.900001525878906,66.1500015258789,5667185,2020-11-09
2020-11-16,67.81676483154297,68.19999694824219,72.0,64.44999694824219,64.44999694824219,13829699,2020-11-16
2020-11-23,70.60102844238281,71.0,74.5999984741211,68.1500015258789,68.3499984741211,20959673,2020-11-23
