Date,Adj Close_SPLPETRO.NS,Close_SPLPETRO.NS,High_SPLPETRO.NS,Low_SPLPETRO.NS,Open_SPLPETRO.NS,Volume_SPLPETRO.NS,Date
2020-07-13,87.50033569335938,97.44999694824219,100.80000305175781,88.0250015258789,92.4000015258789,495692,2020-07-13
2020-07-20,84.51481628417969,94.125,100.5,89.0,98.05000305175781,588148,2020-07-20
2020-07-27,81.86601257324219,91.17500305175781,92.4749984741211,87.875,92.4749984741211,209034,2020-07-27
2020-08-03,81.10281372070312,90.32499694824219,95.4749984741211,88.2750015258789,92.0,192254,2020-08-03
2020-08-10,83.63936614990234,93.1500015258789,99.5,91.07499694824219,91.1500015258789,360776,2020-08-10
2020-08-17,94.52640533447266,105.2750015258789,108.5,92.0999984741211,92.5,1127550,2020-08-17
2020-08-24,98.94856262207031,110.19999694824219,118.4000015258789,101.125,106.9749984741211,1505288,2020-08-24
2020-08-31,94.70599365234375,105.4749984741211,113.94999694824219,103.0,113.0,379324,2020-08-31
2020-09-07,94.189697265625,104.9000015258789,108.5,98.75,105.44999694824219,191942,2020-09-07
2020-09-14,104.96448516845703,116.9000015258789,117.5,105.30000305175781,105.30000305175781,361366,2020-09-14
2020-09-21,109.13433837890625,120.67500305175781,122.44999694824219,106.9749984741211,116.9000015258789,1156090,2020-09-21
2020-09-28,114.62836456298828,126.75,133.47500610351562,122.5,122.5999984741211,640396,2020-09-28
2020-10-05,111.62134552001953,123.42500305175781,130.22500610351562,119.80000305175781,127.5,460132,2020-10-05
2020-10-12,112.3448257446289,124.2249984741211,125.94999694824219,119.05000305175781,124.75,175628,2020-10-12
2020-10-19,122.65460205078125,135.625,139.27499389648438,124.17500305175781,125.0,840188,2020-10-19
2020-10-26,116.66317749023438,129.0,143.0,123.4000015258789,143.0,851040,2020-10-26
2020-11-02,122.45113372802734,135.39999389648438,138.1999969482422,120.5,129.64999389648438,385348,2020-11-02
2020-11-09,128.59466552734375,140.85000610351562,142.0,133.97500610351562,135.0500030517578,340468,2020-11-09
2020-11-16,145.5762939453125,159.4499969482422,160.5500030517578,139.1750030517578,140.64999389648438,1106514,2020-11-16
2020-11-23,149.15977478027344,163.375,166.39999389648438,154.0,162.5,868720,2020-11-23
2020-11-30,168.67494201660156,184.75,192.5,157.5,163.375,1155218,2020-11-30
2020-12-07,169.5423126220703,185.6999969482422,199.875,178.4499969482422,186.25,902390,2020-12-07
2020-12-14,170.8889617919922,187.1750030517578,203.4499969482422,184.9499969482422,185.5,790698,2020-12-14
2020-12-21,161.667724609375,177.0749969482422,186.9499969482422,162.85000610351562,183.60000610351562,685896,2020-12-21
2020-12-28,165.9131622314453,181.72500610351562,183.72500610351562,169.10000610351562,177.0749969482422,565762,2020-12-28
2021-01-04,166.80332946777344,182.6999969482422,184.89999389648438,169.5,184.0,861048,2021-01-04
2021-01-11,171.1400146484375,187.4499969482422,198.0500030517578,181.0,185.0,1478656,2021-01-11
2021-01-18,179.8818817138672,197.02499389648438,217.5,188.0,189.22500610351562,3446590,2021-01-18
2021-01-25,167.25979614257812,183.1999969482422,203.4250030517578,180.6999969482422,199.5,883576,2021-01-25
2021-02-01,165.68492126464844,181.47500610351562,193.25,174.1999969482422,184.75,747038,2021-02-01
2021-02-08,174.65505981445312,191.3000030517578,202.5,182.125,182.5,667302,2021-02-08
2021-02-15,174.6778564453125,191.3249969482422,198.3000030517578,189.875,190.0,469674,2021-02-15
2021-02-22,185.7250213623047,203.4250030517578,209.5,189.0500030517578,194.22500610351562,949960,2021-02-22
2021-03-01,191.40841674804688,209.64999389648438,218.77499389648438,204.5,205.5,1459796,2021-03-01
2021-03-08,198.80364990234375,217.75,224.0,209.35000610351562,211.0,1030646,2021-03-08
2021-03-15,190.31283569335938,208.4499969482422,224.10000610351562,202.5500030517578,220.0,599092,2021-03-15
2021-03-22,185.29136657714844,202.9499969482422,215.0,196.0,208.9499969482422,246678,2021-03-22
2021-03-29,192.64096069335938,211.0,212.02499389648438,202.5,202.9499969482422,116432,2021-03-29
2021-04-05,227.67694091796875,249.375,251.25,206.375,214.5,1793552,2021-04-05
2021-04-12,235.82537841796875,258.29998779296875,269.25,238.4499969482422,245.77499389648438,1607486,2021-04-12
2021-04-19,296.47076416015625,324.7250061035156,348.45001220703125,247.5,260.0,5738872,2021-04-19
2021-04-26,332.2371826171875,363.8999938964844,367.5,315.04998779296875,335.45001220703125,3085686,2021-04-26
2021-05-03,325.54949951171875,356.57501220703125,381.95001220703125,344.0,372.0,3036996,2021-05-03
2021-05-10,319.24981689453125,349.67498779296875,362.5,347.25,356.57501220703125,1206042,2021-05-10
2021-05-17,333.0816955566406,364.82501220703125,365.1000061035156,332.5249938964844,359.8999938964844,3519872,2021-05-17
2021-05-24,340.59100341796875,373.04998779296875,407.5,358.0,367.0,4338158,2021-05-24
2021-05-31,351.3186340332031,384.79998779296875,397.3500061035156,377.42498779296875,380.0,1508374,2021-05-31
