Date,Adj Close_AJAXENGG.NS,Close_AJAXENGG.NS,High_AJAXENGG.NS,Low_AJAXENGG.NS,Open_AJAXENGG.NS,Volume_AJAXENGG.NS,Date
2025-02-17,603.0999755859375,603.0999755859375,628.8499755859375,566.0,576.0,10565018,2025-02-17
2025-02-24,595.0499877929688,595.0499877929688,617.4000244140625,583.4500122070312,595.0,1953174,2025-02-24
2025-03-03,602.3499755859375,602.3499755859375,619.75,566.0499877929688,588.5,1664701,2025-03-03
2025-03-10,590.1500244140625,590.1500244140625,620.0,577.2000122070312,611.0,1304779,2025-03-10
2025-03-17,601.4000244140625,601.4000244140625,658.2999877929688,580.3499755859375,589.0,4781529,2025-03-17
2025-03-24,593.7999877929688,593.7999877929688,627.8499755859375,582.2999877929688,600.7000122070312,2321319,2025-03-24
2025-03-31,610.0999755859375,610.0999755859375,635.0,586.2999877929688,593.7999877929688,1333919,2025-03-31
2025-04-07,622.6500244140625,622.6500244140625,638.0,549.0999755859375,549.0999755859375,939145,2025-04-07
2025-04-14,700.6500244140625,700.6500244140625,714.9000244140625,620.0,622.6500244140625,3178204,2025-04-14
2025-04-21,668.5999755859375,668.5999755859375,734.3499755859375,633.9000244140625,701.0,2697065,2025-04-21
2025-04-28,652.7999877929688,652.7999877929688,690.25,625.8499755859375,668.5999755859375,912691,2025-04-28
2025-05-05,662.6500244140625,662.6500244140625,705.4500122070312,624.4500122070312,657.9000244140625,1884717,2025-05-05
2025-05-12,671.6500244140625,671.6500244140625,756.2000122070312,668.1500244140625,699.0,2183543,2025-05-12
2025-05-19,682.1500244140625,682.1500244140625,706.9000244140625,660.5999755859375,680.0,963835,2025-05-19
2025-05-26,652.9000244140625,652.9000244140625,695.0,649.9000244140625,686.0,1264517,2025-05-26
2025-06-02,622.75,622.75,660.9000244140625,611.0499877929688,659.8499755859375,1292973,2025-06-02
2025-06-09,609.0499877929688,609.0499877929688,627.9500122070312,597.0999755859375,625.9000244140625,690526,2025-06-09
2025-06-16,602.5,602.5,622.5,582.0,603.0499877929688,553230,2025-06-16
2025-06-23,628.75,628.75,642.5,592.3499755859375,597.0,922398,2025-06-23
2025-06-30,662.7000122070312,662.7000122070312,669.5999755859375,620.0499877929688,632.9500122070312,1081019,2025-06-30
2025-07-07,688.25,688.25,712.9000244140625,664.0499877929688,669.9000244140625,1220229,2025-07-07
2025-07-14,691.8499755859375,691.8499755859375,697.4000244140625,676.0,686.0,228025,2025-07-14
