Date,Adj Close_BIOFILCHEM.NS,Close_BIOFILCHEM.NS,High_BIOFILCHEM.NS,Low_BIOFILCHEM.NS,Open_BIOFILCHEM.NS,Volume_BIOFILCHEM.NS,Date
2020-07-13,17.0,17.0,17.0,15.449999809265137,15.449999809265137,66431,2020-07-13
2020-07-20,21.549999237060547,21.549999237060547,21.549999237060547,17.850000381469727,17.850000381469727,311499,2020-07-20
2020-07-27,27.350000381469727,27.350000381469727,27.350000381469727,22.600000381469727,22.600000381469727,185925,2020-07-27
2020-08-03,23.450000762939453,23.450000762939453,26.0,21.25,26.0,312060,2020-08-03
2020-08-10,29.799999237060547,29.799999237060547,29.799999237060547,24.0,24.600000381469727,216938,2020-08-10
2020-08-17,37.900001525878906,37.900001525878906,37.900001525878906,31.25,31.25,108433,2020-08-17
2020-08-24,35.849998474121094,35.849998474121094,43.5,35.849998474121094,39.75,359367,2020-08-24
2020-08-31,33.900001525878906,33.900001525878906,34.099998474121094,29.299999237060547,34.099998474121094,135391,2020-08-31
2020-09-07,43.150001525878906,43.150001525878906,43.150001525878906,35.45000076293945,35.54999923706055,387726,2020-09-07
2020-09-14,54.900001525878906,54.900001525878906,54.900001525878906,43.04999923706055,45.29999923706055,394081,2020-09-14
2020-09-21,47.0,47.0,59.04999923706055,47.0,57.599998474121094,221066,2020-09-21
2020-09-28,57.04999923706055,57.04999923706055,57.04999923706055,44.650001525878906,44.650001525878906,289313,2020-09-28
2020-10-05,72.6500015258789,72.6500015258789,72.6500015258789,58.0,58.79999923706055,256374,2020-10-05
2020-10-12,75.8499984741211,75.8499984741211,76.25,62.349998474121094,76.25,366318,2020-10-12
2020-10-19,96.6500015258789,96.6500015258789,96.6500015258789,75.6500015258789,79.5999984741211,593839,2020-10-19
2020-10-26,100.94999694824219,100.94999694824219,116.5,96.69999694824219,101.4000015258789,433594,2020-10-26
2020-11-02,116.44999694824219,116.44999694824219,116.44999694824219,91.19999694824219,95.94999694824219,458825,2020-11-02
2020-11-09,141.10000610351562,141.10000610351562,141.10000610351562,115.9000015258789,122.25,535553,2020-11-09
2020-11-16,171.4499969482422,171.4499969482422,171.4499969482422,134.39999389648438,134.39999389648438,279879,2020-11-16
2020-11-23,218.75,218.75,218.75,179.5500030517578,180.0,781583,2020-11-23
2020-11-30,265.79998779296875,265.79998779296875,265.79998779296875,207.85000610351562,218.75,600029,2020-11-30
2020-12-07,339.1499938964844,339.1499938964844,339.1499938964844,279.0,279.04998779296875,390469,2020-12-07
2020-12-14,262.5,262.5,356.1000061035156,262.5,356.1000061035156,300666,2020-12-14
2020-12-21,213.89999389648438,213.89999389648438,249.39999389648438,213.89999389648438,249.39999389648438,35530,2020-12-21
2020-12-28,183.0,183.0,203.25,165.60000610351562,203.25,580281,2020-12-28
2021-01-04,173.0500030517578,173.0500030517578,211.8000030517578,173.0500030517578,192.14999389648438,738846,2021-01-04
2021-01-11,148.0500030517578,148.0500030517578,169.8000030517578,148.0500030517578,164.39999389648438,471859,2021-01-11
2021-01-18,126.19999694824219,126.19999694824219,140.64999389648438,120.6500015258789,140.64999389648438,544294,2021-01-18
2021-01-25,102.9000015258789,102.9000015258789,119.9000015258789,102.9000015258789,119.9000015258789,54329,2021-01-25
2021-02-01,88.55000305175781,88.55000305175781,99.9000015258789,83.94999694824219,97.80000305175781,1486170,2021-02-01
2021-02-08,71.44999694824219,71.44999694824219,90.44999694824219,68.80000305175781,84.94999694824219,595559,2021-02-08
2021-02-15,67.5999984741211,67.5999984741211,68.69999694824219,58.29999923706055,67.9000015258789,463694,2021-02-15
2021-02-22,86.1500015258789,86.1500015258789,86.1500015258789,70.94999694824219,70.94999694824219,372582,2021-02-22
2021-03-01,90.0,90.0,99.80000305175781,90.0,90.44999694824219,361581,2021-03-01
2021-03-08,78.4000015258789,78.4000015258789,89.75,77.6500015258789,85.5,868182,2021-03-08
2021-03-15,69.55000305175781,69.55000305175781,78.0,62.95000076293945,78.0,242990,2021-03-15
2021-03-22,70.19999694824219,70.19999694824219,80.44999694824219,66.5,72.55000305175781,276471,2021-03-22
2021-03-29,69.0999984741211,69.0999984741211,70.19999694824219,65.0999984741211,70.19999694824219,108574,2021-03-29
2021-04-05,70.94999694824219,70.94999694824219,75.75,68.0,69.0999984741211,246042,2021-04-05
2021-04-12,65.75,65.75,70.8499984741211,62.650001525878906,70.8499984741211,188995,2021-04-12
2021-04-19,70.94999694824219,70.94999694824219,70.94999694824219,62.5,63.0,171021,2021-04-19
2021-04-26,74.0999984741211,74.0999984741211,85.5,74.0999984741211,74.44999694824219,439109,2021-04-26
2021-05-03,76.05000305175781,76.05000305175781,77.0,70.4000015258789,70.4000015258789,399479,2021-05-03
2021-05-10,73.19999694824219,73.19999694824219,79.4000015258789,72.44999694824219,79.4000015258789,263064,2021-05-10
2021-05-17,71.1500015258789,71.1500015258789,75.80000305175781,70.0,74.0,224594,2021-05-17
2021-05-24,69.6500015258789,69.6500015258789,72.0,69.5,71.0,203905,2021-05-24
2021-05-31,70.0,70.0,71.1500015258789,67.55000305175781,70.5999984741211,215468,2021-05-31
2021-06-07,71.5,71.5,77.69999694824219,67.5,70.0,282656,2021-06-07
2021-06-14,70.1500015258789,70.1500015258789,73.94999694824219,65.0,73.44999694824219,354933,2021-06-14
2021-06-21,66.9000015258789,66.9000015258789,70.5,65.0,68.05000305175781,200566,2021-06-21
2021-06-28,67.19999694824219,67.19999694824219,70.5,61.70000076293945,66.9000015258789,342360,2021-06-28
2021-07-05,66.9000015258789,66.9000015258789,69.5,65.8499984741211,67.5,189837,2021-07-05
2021-07-12,83.44999694824219,83.44999694824219,92.1500015258789,65.5,66.5,2520105,2021-07-12
2021-07-19,70.0999984741211,70.0999984741211,79.30000305175781,68.5999984741211,79.30000305175781,771584,2021-07-19
2021-07-26,70.25,70.25,74.5,68.44999694824219,72.0,398187,2021-07-26
2021-08-02,69.4000015258789,69.4000015258789,73.0,67.0,71.9000015258789,379250,2021-08-02
2021-08-09,67.6500015258789,67.6500015258789,70.4000015258789,64.0,70.4000015258789,199413,2021-08-09
2021-08-16,62.29999923706055,62.29999923706055,69.44999694824219,61.599998474121094,69.44999694824219,125232,2021-08-16
2021-08-23,64.6500015258789,64.6500015258789,67.69999694824219,57.099998474121094,62.29999923706055,171527,2021-08-23
2021-08-30,63.70000076293945,63.70000076293945,66.75,62.04999923706055,66.75,97292,2021-08-30
2021-09-06,63.349998474121094,63.349998474121094,64.94999694824219,62.5,64.0999984741211,75340,2021-09-06
2021-09-13,63.150001525878906,63.150001525878906,64.94999694824219,62.849998474121094,64.0,126549,2021-09-13
2021-09-20,63.95000076293945,63.95000076293945,65.0,60.04999923706055,60.04999923706055,97281,2021-09-20
2021-09-27,63.04999923706055,63.04999923706055,64.9000015258789,62.04999923706055,64.9000015258789,98714,2021-09-27
2021-10-04,69.3499984741211,69.3499984741211,69.3499984741211,63.0,63.900001525878906,269349,2021-10-04
2021-10-11,67.0,67.0,75.30000305175781,66.69999694824219,74.0,383748,2021-10-11
2021-10-18,62.650001525878906,62.650001525878906,69.55000305175781,62.25,65.25,197450,2021-10-18
2021-10-25,61.099998474121094,61.099998474121094,67.25,60.0,64.8499984741211,137547,2021-10-25
2021-11-01,62.349998474121094,62.349998474121094,64.4000015258789,60.349998474121094,63.650001525878906,53245,2021-11-01
2021-11-08,61.650001525878906,61.650001525878906,63.79999923706055,61.0,63.79999923706055,84800,2021-11-08
2021-11-15,60.5,60.5,62.849998474121094,60.099998474121094,62.849998474121094,83310,2021-11-15
2021-11-22,60.04999923706055,60.04999923706055,61.75,54.45000076293945,60.20000076293945,202141,2021-11-22
2021-11-29,59.54999923706055,59.54999923706055,64.94999694824219,57.0,59.0,143487,2021-11-29
2021-12-06,61.0,61.0,63.0,58.70000076293945,60.75,140893,2021-12-06
2021-12-13,60.20000076293945,60.20000076293945,63.849998474121094,59.04999923706055,61.0,158482,2021-12-13
2021-12-20,59.900001525878906,59.900001525878906,61.900001525878906,57.79999923706055,59.04999923706055,113644,2021-12-20
2021-12-27,62.349998474121094,62.349998474121094,63.20000076293945,58.5,59.150001525878906,300513,2021-12-27
2022-01-03,74.19999694824219,74.19999694824219,74.19999694824219,60.099998474121094,63.400001525878906,742705,2022-01-03
2022-01-10,88.9000015258789,88.9000015258789,107.0,78.0,81.0,5389460,2022-01-10
2022-01-17,88.05000305175781,88.05000305175781,94.3499984741211,75.1500015258789,88.5,1223244,2022-01-17
2022-01-24,77.3499984741211,77.3499984741211,90.0,76.69999694824219,90.0,388100,2022-01-24
2022-01-31,77.6500015258789,77.6500015258789,82.0,77.0,77.0,269029,2022-01-31
2022-02-07,70.30000305175781,70.30000305175781,79.94999694824219,69.75,79.94999694824219,215850,2022-02-07
2022-02-14,66.94999694824219,66.94999694824219,75.9000015258789,62.0,66.80000305175781,210447,2022-02-14
2022-02-21,62.29999923706055,62.29999923706055,67.6500015258789,55.5,65.1500015258789,180326,2022-02-21
2022-02-28,62.29999923706055,62.29999923706055,64.5,59.099998474121094,59.099998474121094,72929,2022-02-28
2022-03-07,66.05000305175781,66.05000305175781,69.80000305175781,59.0,62.29999923706055,214768,2022-03-07
2022-03-14,63.54999923706055,63.54999923706055,67.30000305175781,61.5,66.94999694824219,79596,2022-03-14
2022-03-21,60.900001525878906,60.900001525878906,64.6500015258789,60.0,62.400001525878906,137836,2022-03-21
2022-03-28,61.099998474121094,61.099998474121094,63.0,55.650001525878906,62.29999923706055,216226,2022-03-28
2022-04-04,65.75,65.75,72.3499984741211,62.099998474121094,63.45000076293945,403474,2022-04-04
2022-04-11,64.0999984741211,64.0999984741211,67.5,58.95000076293945,67.5,118173,2022-04-11
2022-04-18,64.05000305175781,64.05000305175781,65.44999694824219,61.04999923706055,65.0,118255,2022-04-18
2022-04-25,62.0,62.0,68.75,61.5,65.0,164953,2022-04-25
2022-05-02,60.70000076293945,60.70000076293945,67.5999984741211,57.349998474121094,61.900001525878906,157154,2022-05-02
2022-05-09,58.900001525878906,58.900001525878906,62.75,54.150001525878906,59.29999923706055,98942,2022-05-09
2022-05-16,58.150001525878906,58.150001525878906,61.900001525878906,56.54999923706055,59.95000076293945,65336,2022-05-16
2022-05-23,55.5,55.5,60.650001525878906,54.0,57.599998474121094,79605,2022-05-23
2022-05-30,56.099998474121094,56.099998474121094,58.400001525878906,54.0,54.0,61597,2022-05-30
2022-06-06,55.29999923706055,55.29999923706055,57.29999923706055,54.95000076293945,57.29999923706055,47886,2022-06-06
2022-06-13,44.95000076293945,44.95000076293945,55.0,43.900001525878906,55.0,173004,2022-06-13
2022-06-20,53.150001525878906,53.150001525878906,56.900001525878906,39.599998474121094,44.95000076293945,837275,2022-06-20
2022-06-27,50.04999923706055,50.04999923706055,55.0,45.349998474121094,53.849998474121094,108431,2022-06-27
2022-07-04,56.70000076293945,56.70000076293945,62.5,44.349998474121094,51.099998474121094,671849,2022-07-04
2022-07-11,54.04999923706055,54.04999923706055,59.79999923706055,53.099998474121094,56.0,178620,2022-07-11
2022-07-18,54.04999923706055,54.04999923706055,56.0,52.599998474121094,56.0,119423,2022-07-18
2022-07-25,51.0,51.0,54.900001525878906,49.650001525878906,53.5,109617,2022-07-25
2022-08-01,53.5,53.5,55.54999923706055,51.0,51.0,119726,2022-08-01
2022-08-08,52.650001525878906,52.650001525878906,52.95000076293945,49.400001525878906,49.400001525878906,92101,2022-08-08
2022-08-15,51.0,51.0,53.25,50.5,52.650001525878906,70066,2022-08-15
2022-08-22,52.599998474121094,52.599998474121094,55.599998474121094,51.20000076293945,55.599998474121094,155595,2022-08-22
2022-08-29,51.900001525878906,51.900001525878906,53.75,50.849998474121094,50.849998474121094,64961,2022-08-29
2022-09-05,52.79999923706055,52.79999923706055,54.599998474121094,51.599998474121094,53.45000076293945,124137,2022-09-05
2022-09-12,52.099998474121094,52.099998474121094,54.900001525878906,51.04999923706055,53.849998474121094,104389,2022-09-12
2022-09-19,49.849998474121094,49.849998474121094,52.75,49.20000076293945,51.150001525878906,61900,2022-09-19
2022-09-26,47.79999923706055,47.79999923706055,52.5,46.5,52.5,78418,2022-09-26
2022-10-03,50.599998474121094,50.599998474121094,51.349998474121094,46.650001525878906,48.45000076293945,59151,2022-10-03
2022-10-10,48.099998474121094,48.099998474121094,51.79999923706055,48.04999923706055,50.849998474121094,73567,2022-10-10
2022-10-17,47.849998474121094,47.849998474121094,51.0,47.099998474121094,51.0,60235,2022-10-17
2022-10-24,47.0,47.0,48.95000076293945,46.54999923706055,48.099998474121094,49325,2022-10-24
