Date,Adj Close_BYKE.NS,Close_BYKE.NS,High_BYKE.NS,Low_BYKE.NS,Open_BYKE.NS,Volume_BYKE.NS,Date
2020-07-13,14.899999618530273,14.899999618530273,16.25,14.5,16.25,139910,2020-07-13
2020-07-20,15.300000190734863,15.300000190734863,17.100000381469727,14.350000381469727,14.949999809265137,323825,2020-07-20
2020-07-27,14.399999618530273,14.399999618530273,15.300000190734863,13.199999809265137,15.300000190734863,527984,2020-07-27
2020-08-03,14.100000381469727,14.100000381469727,14.75,13.699999809265137,14.100000381469727,216577,2020-08-03
2020-08-10,15.199999809265137,15.199999809265137,16.799999237060547,13.649999618530273,14.100000381469727,1117246,2020-08-10
2020-08-17,15.5,15.5,16.350000381469727,15.0,15.5,699336,2020-08-17
2020-08-24,15.399999618530273,15.399999618530273,15.949999809265137,15.050000190734863,15.949999809265137,255827,2020-08-24
2020-08-31,14.5,14.5,15.600000381469727,14.199999809265137,15.149999618530273,236894,2020-08-31
2020-09-07,15.0,15.0,15.699999809265137,11.75,14.199999809265137,269968,2020-09-07
2020-09-14,14.149999618530273,14.149999618530273,15.0,13.850000381469727,15.0,160250,2020-09-14
2020-09-21,13.350000381469727,13.350000381469727,14.800000190734863,11.850000381469727,14.149999618530273,400474,2020-09-21
2020-09-28,13.75,13.75,14.5,13.149999618530273,13.5,87002,2020-09-28
2020-10-05,13.600000381469727,13.600000381469727,13.949999809265137,13.100000381469727,13.699999809265137,74640,2020-10-05
2020-10-12,13.300000190734863,13.300000190734863,13.899999618530273,12.75,13.399999618530273,84877,2020-10-12
2020-10-19,13.199999809265137,13.199999809265137,13.550000190734863,12.800000190734863,13.0,102733,2020-10-19
2020-10-26,13.5,13.5,13.649999618530273,13.100000381469727,13.149999618530273,70105,2020-10-26
2020-11-02,13.449999809265137,13.449999809265137,13.899999618530273,13.149999618530273,13.199999809265137,73422,2020-11-02
2020-11-09,14.649999618530273,14.649999618530273,15.199999809265137,13.149999618530273,13.600000381469727,290591,2020-11-09
2020-11-16,14.050000190734863,14.050000190734863,15.800000190734863,13.5,14.449999809265137,699779,2020-11-16
2020-11-23,14.149999618530273,14.149999618530273,14.600000381469727,13.649999618530273,14.0,338088,2020-11-23
2020-11-30,19.950000762939453,19.950000762939453,20.450000762939453,13.5,14.149999618530273,2862546,2020-11-30
2020-12-07,20.549999237060547,20.549999237060547,21.25,17.5,20.5,1601255,2020-12-07
2020-12-14,19.950000762939453,19.950000762939453,23.149999618530273,19.950000762939453,21.0,865205,2020-12-14
2020-12-21,19.549999237060547,19.549999237060547,20.399999618530273,17.950000762939453,19.0,320177,2020-12-21
2020-12-28,20.299999237060547,20.299999237060547,20.299999237060547,18.299999237060547,18.899999618530273,277173,2020-12-28
2021-01-04,22.399999618530273,22.399999618530273,23.100000381469727,20.299999237060547,20.299999237060547,587617,2021-01-04
2021-01-11,20.700000762939453,20.700000762939453,23.100000381469727,20.049999237060547,22.850000381469727,164367,2021-01-11
2021-01-18,19.600000381469727,19.600000381469727,21.299999237060547,19.450000762939453,21.299999237060547,133594,2021-01-18
2021-01-25,19.399999618530273,19.399999618530273,20.399999618530273,18.549999237060547,18.700000762939453,108157,2021-01-25
2021-02-01,19.850000381469727,19.850000381469727,20.600000381469727,18.75,19.950000762939453,112408,2021-02-01
2021-02-08,19.200000762939453,19.200000762939453,20.350000381469727,17.649999618530273,20.0,156892,2021-02-08
2021-02-15,18.399999618530273,18.399999618530273,19.5,17.649999618530273,19.0,181855,2021-02-15
2021-02-22,18.450000762939453,18.450000762939453,21.0,18.100000381469727,19.25,260292,2021-02-22
2021-03-01,22.0,22.0,22.0,18.25,18.450000762939453,405282,2021-03-01
2021-03-08,21.850000381469727,21.850000381469727,25.700000762939453,21.5,22.899999618530273,694833,2021-03-08
2021-03-15,21.899999618530273,21.899999618530273,23.899999618530273,20.350000381469727,22.450000762939453,674266,2021-03-15
2021-03-22,18.25,18.25,22.25,18.200000762939453,22.25,425815,2021-03-22
2021-03-29,18.850000381469727,18.850000381469727,19.200000762939453,18.049999237060547,18.25,165207,2021-03-29
2021-04-05,20.200000762939453,20.200000762939453,22.25,17.850000381469727,19.299999237060547,639248,2021-04-05
2021-04-12,18.850000381469727,18.850000381469727,20.200000762939453,16.399999618530273,20.200000762939453,248813,2021-04-12
2021-04-19,18.299999237060547,18.299999237060547,19.200000762939453,17.200000762939453,19.200000762939453,208985,2021-04-19
