Date,Adj Close_INDIAMART.NS,Close_INDIAMART.NS,High_INDIAMART.NS,Low_INDIAMART.NS,Open_INDIAMART.NS,Volume_INDIAMART.NS,Date
2020-07-13,998.7740478515625,1025.300048828125,1102.550048828125,1017.5,1102.550048828125,1247112,2020-07-13
2020-07-20,1195.913330078125,1227.675048828125,1255.0,1030.0,1035.0,5907638,2020-07-20
2020-07-27,1377.5638427734375,1414.1500244140625,1435.0,1170.5,1237.5,3122530,2020-07-27
2020-08-03,1502.6661376953125,1542.574951171875,1572.5,1394.0,1423.0,3831642,2020-08-03
2020-08-10,1423.007080078125,1460.800048828125,1555.675048828125,1438.0,1544.0,544870,2020-08-10
2020-08-17,1575.433837890625,1617.2750244140625,1637.5,1450.5,1462.5,868468,2020-08-17
2020-08-24,1720.0916748046875,1765.7750244140625,1935.0,1650.0,1657.4749755859375,2146304,2020-08-24
2020-08-31,1993.456787109375,2046.4000244140625,2364.0,1775.0999755859375,1794.5,4944170,2020-08-31
2020-09-07,2322.322509765625,2384.0,2461.60009765625,2074.0,2124.5,3098236,2020-09-07
2020-09-14,2437.756591796875,2502.5,2613.5,2405.02490234375,2413.0,1615432,2020-09-14
2020-09-21,2559.01123046875,2626.97509765625,2649.72509765625,2189.949951171875,2521.27490234375,1908992,2020-09-21
2020-09-28,2432.44775390625,2497.050048828125,2743.75,2437.5,2689.5,1256280,2020-09-28
2020-10-05,2435.56494140625,2500.25,2675.0,2390.0,2475.0,1355636,2020-10-05
2020-10-12,2436.3681640625,2501.074951171875,2575.0,2440.550048828125,2520.0,792258,2020-10-12
2020-10-19,2435.0537109375,2499.72509765625,2525.39990234375,2302.89990234375,2525.0,612102,2020-10-19
2020-10-26,2360.3134765625,2423.0,2522.22509765625,2412.5,2513.02490234375,328868,2020-10-26
2020-11-02,2411.82080078125,2475.875,2512.22509765625,2335.0,2423.0,450660,2020-11-02
2020-11-09,4850.91650390625,4979.75,5020.0,2257.5,2500.5,565783,2020-11-09
2020-11-16,2432.958984375,2497.574951171875,2548.85009765625,2365.0,2497.35009765625,598138,2020-11-16
2020-11-23,2480.325927734375,2546.199951171875,2619.300048828125,2315.39990234375,2512.5,922934,2020-11-23
2020-11-30,2494.353759765625,2560.60009765625,2600.14990234375,2499.5,2546.199951171875,639704,2020-11-30
2020-12-07,2609.666015625,2678.97509765625,2710.0,2505.5,2582.0,808200,2020-12-07
2020-12-14,2960.57177734375,3039.199951171875,3074.5,2640.02490234375,2699.5,1372966,2020-12-14
2020-12-21,3025.47265625,3105.824951171875,3175.0,2455.5,3094.0,1125614,2020-12-21
2020-12-28,3428.104248046875,3519.14990234375,3827.5,3087.5,3129.97509765625,1490462,2020-12-28
2021-01-04,3648.768798828125,3745.675048828125,3807.5,3498.10009765625,3592.0,1671108,2021-01-04
2021-01-11,3791.966064453125,3892.675048828125,4187.35009765625,3755.10009765625,3773.074951171875,3031672,2021-01-11
2021-01-18,3844.641845703125,3946.75,4045.02490234375,3642.5,3925.175048828125,2571160,2021-01-18
2021-01-25,3800.343017578125,3901.27490234375,4042.574951171875,3775.0,3990.0,872676,2021-01-25
2021-02-01,4763.92724609375,4890.4501953125,4975.0,3705.5,3929.074951171875,2723556,2021-02-01
2021-02-08,4486.1298828125,4605.27490234375,4955.2998046875,4355.0,4935.97509765625,1562526,2021-02-08
2021-02-15,4304.0888671875,4418.39990234375,4660.0,4186.0498046875,4634.2998046875,1300678,2021-02-15
2021-02-22,4186.68212890625,4297.875,4731.89990234375,4250.0498046875,4425.0,1473412,2021-02-22
2021-03-01,3928.87939453125,4033.22509765625,4403.9501953125,4003.0,4350.0,1276976,2021-03-01
