Date,Adj Close_MAHLOG.NS,Close_MAHLOG.NS,High_MAHLOG.NS,Low_MAHLOG.NS,Open_MAHLOG.NS,Volume_MAHLOG.NS,Date
2020-07-13,306.9737854003906,316.70001220703125,321.95001220703125,302.04998779296875,316.70001220703125,100517,2020-07-13
2020-07-20,300.4310607910156,309.95001220703125,325.0,302.3500061035156,317.0,156666,2020-07-20
2020-07-27,290.044677734375,297.79998779296875,315.0,273.29998779296875,310.0,442954,2020-07-27
2020-08-03,285.90533447265625,293.54998779296875,309.54998779296875,288.8500061035156,305.3999938964844,200879,2020-08-03
2020-08-10,285.90533447265625,293.54998779296875,305.04998779296875,285.25,296.45001220703125,885972,2020-08-10
2020-08-17,364.01678466796875,373.75,377.6499938964844,291.6000061035156,295.8999938964844,2796091,2020-08-17
2020-08-24,376.6294860839844,386.70001220703125,398.0,350.54998779296875,370.0,653713,2020-08-24
2020-08-31,342.73577880859375,351.8999938964844,390.0,345.1000061035156,388.0,253579,2020-08-31
2020-09-07,316.5849914550781,325.04998779296875,355.04998779296875,310.1000061035156,351.8999938964844,239112,2020-09-07
2020-09-14,334.60321044921875,343.54998779296875,351.1000061035156,324.0,324.0,138995,2020-09-14
2020-09-21,308.6959533691406,316.95001220703125,343.54998779296875,309.8999938964844,343.54998779296875,227099,2020-09-21
2020-09-28,341.4209289550781,350.54998779296875,355.0,318.6499938964844,320.0,309374,2020-09-28
2020-10-05,325.9837341308594,334.70001220703125,365.0,332.25,353.54998779296875,118933,2020-10-05
2020-10-12,323.5001220703125,332.1499938964844,347.0,325.5,335.0,125330,2020-10-12
2020-10-19,347.75164794921875,357.04998779296875,360.1499938964844,325.0,334.8999938964844,427270,2020-10-19
2020-10-26,346.5829162597656,355.8500061035156,364.0,344.1499938964844,355.5,149438,2020-10-26
2020-11-02,368.5943908691406,378.45001220703125,385.0,350.0,358.0,273717,2020-11-02
2020-11-09,387.2943115234375,397.6499938964844,401.3999938964844,370.0,385.5,174750,2020-11-09
2020-11-16,376.19122314453125,386.25,404.0,380.0,389.6000061035156,317425,2020-11-16
2020-11-23,384.6646728515625,394.95001220703125,402.0,375.1499938964844,396.0,417745,2020-11-23
2020-11-30,387.8787536621094,398.25,408.54998779296875,388.8999938964844,394.95001220703125,186777,2020-11-30
2020-12-07,395.5242919921875,406.1000061035156,427.95001220703125,382.54998779296875,402.0,530375,2020-12-07
2020-12-14,403.7542419433594,414.54998779296875,421.0,401.1000061035156,418.0,549828,2020-12-14
2020-12-21,401.0758972167969,411.79998779296875,430.0,370.04998779296875,407.1499938964844,368348,2020-12-21
2020-12-28,409.25714111328125,420.20001220703125,424.8500061035156,410.0,421.0,367710,2020-12-28
2021-01-04,430.2945556640625,441.79998779296875,447.0,415.1499938964844,423.6000061035156,376138,2021-01-04
2021-01-11,414.6625671386719,425.75,460.54998779296875,420.29998779296875,445.79998779296875,297478,2021-01-11
2021-01-18,479.13861083984375,491.95001220703125,543.8499755859375,411.8999938964844,422.04998779296875,1623222,2021-01-18
2021-01-25,459.26983642578125,471.54998779296875,514.4500122070312,468.0,495.8500061035156,372059,2021-01-25
2021-02-01,487.56329345703125,500.6000061035156,509.3999938964844,439.6000061035156,472.3500061035156,684358,2021-02-01
2021-02-08,474.6096496582031,487.29998779296875,525.0,484.0,505.0,274132,2021-02-08
2021-02-15,474.8044738769531,487.5,510.0,483.45001220703125,487.29998779296875,286421,2021-02-15
2021-02-22,469.25286865234375,481.79998779296875,493.75,465.0,483.20001220703125,340043,2021-02-22
2021-03-01,510.4512939453125,524.0999755859375,552.2999877929688,475.0,490.0,1910857,2021-03-01
2021-03-08,551.4550170898438,566.2000122070312,602.0,524.2999877929688,532.7999877929688,1289262,2021-03-08
2021-03-15,505.82501220703125,519.3499755859375,615.0,509.75,570.0,870987,2021-03-15
2021-03-22,535.238525390625,549.5499877929688,557.5,506.3999938964844,519.0,380664,2021-03-22
2021-03-29,559.7822265625,574.75,590.9000244140625,532.6500244140625,549.5499877929688,147558,2021-03-29
2021-04-05,524.7684936523438,538.7999877929688,582.6500244140625,524.9500122070312,577.5,609465,2021-04-05
2021-04-12,524.6223754882812,538.6500244140625,545.4500122070312,508.1499938964844,537.9000244140625,211409,2021-04-12
2021-04-19,507.48077392578125,521.0499877929688,540.25,509.25,539.9500122070312,434762,2021-04-19
2021-04-26,520.1908569335938,534.0999755859375,577.7000122070312,506.04998779296875,521.6500244140625,594241,2021-04-26
2021-05-03,527.6417236328125,541.75,550.0,498.04998779296875,538.7999877929688,494025,2021-05-03
2021-05-10,521.3596801757812,535.2999877929688,565.0,528.2000122070312,542.0,217155,2021-05-10
2021-05-17,519.99609375,533.9000244140625,567.0,520.0,535.0,1465012,2021-05-17
2021-05-24,515.4672241210938,529.25,548.0,522.0499877929688,537.9000244140625,380725,2021-05-24
2021-05-31,537.5274047851562,551.9000244140625,578.0999755859375,524.3499755859375,534.7000122070312,1182957,2021-05-31
2021-06-07,571.4210815429688,586.7000122070312,595.0,553.2000122070312,557.2999877929688,1783957,2021-06-07
2021-06-14,559.1004028320312,574.0499877929688,611.9500122070312,567.0499877929688,593.9000244140625,811360,2021-06-14
2021-06-21,556.3247680664062,571.2000122070312,590.0,565.25,570.0,410701,2021-06-21
2021-06-28,546.0007934570312,560.5999755859375,578.5,548.0,578.5,515528,2021-06-28
2021-07-05,553.695068359375,568.5,592.75,558.0,565.9000244140625,598485,2021-07-05
2021-07-12,566.6973266601562,581.8499755859375,599.0,555.0,572.8499755859375,395118,2021-07-12
2021-07-19,578.2874755859375,593.75,630.9500122070312,558.9500122070312,579.9000244140625,899082,2021-07-19
2021-07-26,732.0554809570312,748.4000244140625,806.0999755859375,590.0,595.9500122070312,5691077,2021-07-26
2021-08-02,671.50732421875,686.5,821.0,681.0999755859375,740.0,4671226,2021-08-02
2021-08-09,678.9902954101562,694.1500244140625,715.0,641.7999877929688,692.9000244140625,617269,2021-08-09
2021-08-16,702.6128540039062,718.2999877929688,740.0,691.0,699.9000244140625,829900,2021-08-16
2021-08-23,749.368896484375,766.0999755859375,793.7000122070312,696.0499877929688,723.9000244140625,2371085,2021-08-23
2021-08-30,707.35693359375,723.1500244140625,820.0,716.7999877929688,805.0,1190955,2021-08-30
2021-09-06,704.4224853515625,720.1500244140625,740.0,702.5,727.8499755859375,498725,2021-09-06
2021-09-13,711.5140380859375,727.4000244140625,735.0,695.7999877929688,724.0,783623,2021-09-13
2021-09-20,708.1394653320312,723.9500122070312,765.0,710.5999755859375,724.7999877929688,574878,2021-09-20
2021-09-27,715.3778076171875,731.3499755859375,753.5499877929688,705.5499877929688,725.0,456710,2021-09-27
2021-10-04,734.5498046875,750.9500122070312,790.0,730.5499877929688,733.0,615115,2021-10-04
2021-10-11,736.3593139648438,752.7999877929688,772.5,736.0,751.0,363331,2021-10-11
2021-10-18,675.1754760742188,690.25,760.2000122070312,670.5499877929688,760.0,646336,2021-10-18
2021-10-25,633.994873046875,648.1500244140625,711.8499755859375,640.3499755859375,671.0,1048083,2021-10-25
2021-11-01,656.0523071289062,670.7000122070312,675.0,614.2999877929688,622.0,520547,2021-11-01
2021-11-08,715.9647216796875,731.9500122070312,740.7999877929688,672.2999877929688,674.8499755859375,821602,2021-11-08
2021-11-15,727.213623046875,743.4500122070312,778.9000244140625,734.1500244140625,736.7999877929688,376408,2021-11-15
2021-11-22,700.7053833007812,716.3499755859375,814.0,689.0,743.5,1422808,2021-11-22
2021-11-29,702.5638427734375,718.25,729.0,635.2000122070312,700.0999755859375,2313871,2021-11-29
2021-12-06,675.2242431640625,690.2999877929688,718.0,680.0,715.5499877929688,242195,2021-12-06
2021-12-13,644.754638671875,659.1500244140625,707.0,651.2000122070312,707.0,494458,2021-12-13
2021-12-20,649.1563720703125,663.6500244140625,688.0,632.0,649.8499755859375,461968,2021-12-20
2021-12-27,665.9318237304688,680.7999877929688,686.3499755859375,651.0999755859375,659.4500122070312,214476,2021-12-27
2022-01-03,695.0321044921875,710.5499877929688,727.75,668.9500122070312,683.0,558253,2022-01-03
2022-01-10,691.0216674804688,706.4500122070312,725.0,687.25,710.0,251232,2022-01-10
2022-01-17,695.6190185546875,711.1500244140625,744.0,703.0,707.9000244140625,440828,2022-01-17
2022-01-24,574.5715942382812,587.4000244140625,721.25,582.8499755859375,714.9000244140625,1192052,2022-01-24
2022-01-31,561.1218872070312,573.6500244140625,612.7999877929688,568.0,604.7999877929688,702724,2022-01-31
2022-02-07,478.7607727050781,489.45001220703125,576.9000244140625,485.0,572.0,814561,2022-02-07
2022-02-14,411.8056335449219,421.0,489.0,405.1000061035156,479.0,2814596,2022-02-14
2022-02-21,421.244873046875,430.6499938964844,463.0,391.1000061035156,418.0,1455662,2022-02-21
2022-02-28,407.50177001953125,416.6000061035156,436.0,396.0,425.0,1771747,2022-02-28
2022-03-07,420.8536376953125,430.25,438.04998779296875,402.0,416.6000061035156,956035,2022-03-07
2022-03-14,444.7696838378906,454.70001220703125,459.0,425.0,430.25,345024,2022-03-14
