Date,Adj Close_ADANIPOWER.NS,Close_ADANIPOWER.NS,High_ADANIPOWER.NS,Low_ADANIPOWER.NS,Open_ADANIPOWER.NS,Volume_ADANIPOWER.NS,Date
2020-07-13,35.5,35.5,36.150001525878906,34.54999923706055,35.849998474121094,9899796,2020-07-13
2020-07-20,35.0,35.0,36.0,34.849998474121094,35.54999923706055,11333562,2020-07-20
2020-07-27,35.400001525878906,35.400001525878906,36.45000076293945,35.0,35.0,14668143,2020-07-27
2020-08-03,36.650001525878906,36.650001525878906,36.900001525878906,35.099998474121094,35.099998474121094,20300573,2020-08-03
2020-08-10,37.150001525878906,37.150001525878906,38.95000076293945,36.650001525878906,36.650001525878906,21788713,2020-08-10
2020-08-17,39.150001525878906,39.150001525878906,39.95000076293945,36.70000076293945,37.20000076293945,32709586,2020-08-17
2020-08-24,39.25,39.25,41.599998474121094,38.29999923706055,39.45000076293945,53293995,2020-08-24
2020-08-31,37.599998474121094,37.599998474121094,41.150001525878906,36.70000076293945,39.5,46280163,2020-08-31
2020-09-07,37.400001525878906,37.400001525878906,38.150001525878906,36.70000076293945,37.900001525878906,11800700,2020-09-07
2020-09-14,37.400001525878906,37.400001525878906,37.79999923706055,36.849998474121094,37.70000076293945,10640627,2020-09-14
2020-09-21,36.599998474121094,36.599998474121094,37.79999923706055,36.04999923706055,37.45000076293945,10541498,2020-09-21
2020-09-28,37.04999923706055,37.04999923706055,37.54999923706055,36.650001525878906,36.900001525878906,4986379,2020-09-28
2020-10-05,36.599998474121094,36.599998474121094,37.29999923706055,36.04999923706055,37.099998474121094,3938939,2020-10-05
2020-10-12,36.0,36.0,36.900001525878906,35.900001525878906,36.099998474121094,5278179,2020-10-12
2020-10-19,35.349998474121094,35.349998474121094,36.349998474121094,34.5,36.099998474121094,5266352,2020-10-19
2020-10-26,35.75,35.75,36.099998474121094,34.849998474121094,35.349998474121094,5398287,2020-10-26
2020-11-02,37.70000076293945,37.70000076293945,39.95000076293945,35.599998474121094,36.0,28859353,2020-11-02
2020-11-09,36.400001525878906,36.400001525878906,38.20000076293945,35.75,38.20000076293945,12287987,2020-11-09
2020-11-16,38.0,38.0,40.0,36.150001525878906,36.150001525878906,43056333,2020-11-16
2020-11-23,38.5,38.5,39.29999923706055,38.04999923706055,38.45000076293945,22226206,2020-11-23
2020-11-30,59.599998474121094,59.599998474121094,63.95000076293945,38.5,38.5,263116521,2020-11-30
2020-12-07,44.45000076293945,44.45000076293945,61.5,44.45000076293945,60.5,192679666,2020-12-07
2020-12-14,47.349998474121094,47.349998474121094,48.95000076293945,44.5,44.95000076293945,85555452,2020-12-14
2020-12-21,47.900001525878906,47.900001525878906,48.650001525878906,42.75,47.349998474121094,43943620,2020-12-21
2020-12-28,50.150001525878906,50.150001525878906,51.79999923706055,47.75,48.25,45171263,2020-12-28
