Date,Adj Close_TRF.NS,Close_TRF.NS,High_TRF.NS,Low_TRF.NS,Open_TRF.NS,Volume_TRF.NS,Date
2020-07-13,81.4000015258789,81.4000015258789,81.4000015258789,72.0,76.5,128664,2020-07-13
2020-07-20,79.0999984741211,79.0999984741211,88.0,78.5,86.30000305175781,278278,2020-07-20
2020-07-27,77.1500015258789,77.1500015258789,82.19999694824219,75.80000305175781,79.1500015258789,71064,2020-07-27
2020-08-03,88.9000015258789,88.9000015258789,93.80000305175781,76.3499984741211,77.19999694824219,836910,2020-08-03
2020-08-10,106.94999694824219,106.94999694824219,124.69999694824219,88.69999694824219,88.8499984741211,2024434,2020-08-10
2020-08-17,94.4000015258789,94.4000015258789,101.6500015258789,90.3499984741211,101.6500015258789,103066,2020-08-17
2020-08-24,89.94999694824219,89.94999694824219,95.75,88.0999984741211,92.4000015258789,58970,2020-08-24
2020-08-31,84.30000305175781,84.30000305175781,93.19999694824219,82.0999984741211,88.5,31143,2020-08-31
2020-09-07,79.8499984741211,79.8499984741211,85.0,77.0,85.0,28294,2020-09-07
2020-09-14,85.0999984741211,85.0999984741211,89.80000305175781,80.0999984741211,81.0,49624,2020-09-14
2020-09-21,78.75,78.75,87.5,71.8499984741211,85.0999984741211,45800,2020-09-21
2020-09-28,80.0,80.0,81.94999694824219,77.30000305175781,77.30000305175781,30834,2020-09-28
2020-10-05,78.0999984741211,78.0999984741211,82.0,77.5999984741211,81.0,40020,2020-10-05
2020-10-12,75.55000305175781,75.55000305175781,80.0,74.19999694824219,79.94999694824219,30934,2020-10-12
2020-10-19,74.80000305175781,74.80000305175781,77.9000015258789,72.05000305175781,76.0,43163,2020-10-19
2020-10-26,73.0,73.0,77.4000015258789,72.0,75.9000015258789,41029,2020-10-26
2020-11-02,73.25,73.25,74.80000305175781,70.75,73.0,21193,2020-11-02
2020-11-09,82.6500015258789,82.6500015258789,85.44999694824219,72.55000305175781,75.69999694824219,98573,2020-11-09
2020-11-16,78.5,78.5,82.25,76.05000305175781,81.4000015258789,55656,2020-11-16
2020-11-23,84.1500015258789,84.1500015258789,85.80000305175781,79.0,79.0999984741211,116607,2020-11-23
2020-11-30,88.1500015258789,88.1500015258789,91.80000305175781,82.30000305175781,84.1500015258789,115636,2020-11-30
2020-12-07,112.5,112.5,116.9000015258789,91.0,92.0,780874,2020-12-07
2020-12-14,98.94999694824219,98.94999694824219,111.80000305175781,97.5,110.4000015258789,155724,2020-12-14
2020-12-21,97.4000015258789,97.4000015258789,99.9000015258789,88.69999694824219,94.5,61133,2020-12-21
2020-12-28,98.8499984741211,98.8499984741211,100.5,95.0,95.0,35856,2020-12-28
2021-01-04,100.44999694824219,100.44999694824219,102.8499984741211,98.0,98.8499984741211,68416,2021-01-04
2021-01-11,101.4000015258789,101.4000015258789,105.19999694824219,98.0,102.9000015258789,108379,2021-01-11
2021-01-18,97.1500015258789,97.1500015258789,102.69999694824219,96.80000305175781,100.0,52850,2021-01-18
2021-01-25,93.30000305175781,93.30000305175781,99.0,91.0,97.1500015258789,18274,2021-01-25
2021-02-01,101.19999694824219,101.19999694824219,105.05000305175781,92.80000305175781,93.0,68606,2021-02-01
2021-02-08,104.44999694824219,104.44999694824219,108.19999694824219,98.0,102.0,190177,2021-02-08
2021-02-15,98.1500015258789,98.1500015258789,103.5999984741211,96.0,100.0,131648,2021-02-15
2021-02-22,96.75,96.75,101.0,94.75,98.6500015258789,69838,2021-02-22
2021-03-01,99.80000305175781,99.80000305175781,104.1500015258789,96.0,96.80000305175781,151316,2021-03-01
2021-03-08,97.80000305175781,97.80000305175781,104.0,97.30000305175781,98.19999694824219,81005,2021-03-08
2021-03-15,91.5,91.5,100.19999694824219,89.0999984741211,98.0999984741211,94688,2021-03-15
2021-03-22,81.30000305175781,81.30000305175781,93.30000305175781,80.69999694824219,90.0,119615,2021-03-22
2021-03-29,88.80000305175781,88.80000305175781,89.8499984741211,80.30000305175781,81.30000305175781,53369,2021-03-29
2021-04-05,97.30000305175781,97.30000305175781,102.69999694824219,83.19999694824219,88.80000305175781,189554,2021-04-05
2021-04-12,88.4000015258789,88.4000015258789,95.69999694824219,87.3499984741211,95.5999984741211,59245,2021-04-12
2021-04-19,87.25,87.25,92.0,84.0,89.69999694824219,45704,2021-04-19
2021-04-26,93.5,93.5,97.3499984741211,87.05000305175781,88.25,122224,2021-04-26
2021-05-03,98.0999984741211,98.0999984741211,105.9000015258789,91.25,93.5,271152,2021-05-03
2021-05-10,96.94999694824219,96.94999694824219,103.4000015258789,95.0,99.6500015258789,132876,2021-05-10
2021-05-17,97.44999694824219,97.44999694824219,101.0,95.0,101.0,106945,2021-05-17
2021-05-24,111.44999694824219,111.44999694824219,116.05000305175781,98.0999984741211,105.0,892723,2021-05-24
2021-05-31,106.1500015258789,106.1500015258789,120.0,104.44999694824219,111.94999694824219,699876,2021-05-31
2021-06-07,125.5999984741211,125.5999984741211,137.6999969482422,107.0,108.4000015258789,1585340,2021-06-07
2021-06-14,118.9000015258789,118.9000015258789,131.60000610351562,114.0,127.19999694824219,515031,2021-06-14
2021-06-21,127.25,127.25,131.9499969482422,117.3499984741211,124.0,421652,2021-06-21
2021-06-28,141.89999389648438,141.89999389648438,170.0,127.25,129.0,3055016,2021-06-28
2021-07-05,138.64999389648438,138.64999389648438,153.0,128.9499969482422,134.85000610351562,174824,2021-07-05
2021-07-12,131.75,131.75,145.5500030517578,130.35000610351562,138.0,91070,2021-07-12
2021-07-19,123.3499984741211,123.3499984741211,137.5,121.3499984741211,137.0,52220,2021-07-19
2021-07-26,121.30000305175781,121.30000305175781,124.0,112.25,120.0,46165,2021-07-26
2021-08-02,114.05000305175781,114.05000305175781,127.0,109.94999694824219,120.4000015258789,63664,2021-08-02
2021-08-09,116.1500015258789,116.1500015258789,123.69999694824219,109.1500015258789,109.1500015258789,105261,2021-08-09
2021-08-16,103.55000305175781,103.55000305175781,118.94999694824219,102.94999694824219,116.0,65422,2021-08-16
