Date,Adj Close_MCL.NS,Close_MCL.NS,High_MCL.NS,Low_MCL.NS,Open_MCL.NS,Volume_MCL.NS,Date
2020-07-13,76.4000015258789,76.4000015258789,79.0,76.30000305175781,79.0,8400,2020-07-13
2020-07-20,78.0,78.0,80.94999694824219,73.0999984741211,80.94999694824219,8400,2020-07-20
2020-07-27,62.95000076293945,62.95000076293945,78.0,62.400001525878906,75.0,67200,2020-07-27
2020-08-03,70.5,70.5,80.5,66.94999694824219,68.0,34800,2020-08-03
2020-08-10,72.4000015258789,72.4000015258789,73.0,70.0,70.5,6000,2020-08-10
2020-08-17,75.6500015258789,75.6500015258789,81.69999694824219,70.0,71.0,44867,2020-08-17
2020-08-24,78.44999694824219,78.44999694824219,80.0,74.1500015258789,74.1500015258789,48684,2020-08-24
2020-08-31,73.44999694824219,73.44999694824219,78.44999694824219,70.19999694824219,72.0999984741211,15616,2020-08-31
2020-09-07,74.0,74.0,77.94999694824219,66.0,73.44999694824219,40620,2020-09-07
2020-09-14,71.0999984741211,71.0999984741211,77.5,60.29999923706055,74.0,26119,2020-09-14
2020-09-21,67.5,67.5,76.55000305175781,64.05000305175781,73.8499984741211,41449,2020-09-21
2020-09-28,69.05000305175781,69.05000305175781,72.05000305175781,65.05000305175781,65.05000305175781,8287,2020-09-28
2020-10-05,68.5,68.5,71.9000015258789,60.25,69.05000305175781,8560,2020-10-05
2020-10-12,66.6500015258789,66.6500015258789,70.0,62.29999923706055,68.5,8978,2020-10-12
2020-10-19,65.0,65.0,68.0,63.099998474121094,67.94999694824219,2507,2020-10-19
2020-10-26,61.849998474121094,61.849998474121094,67.80000305175781,54.29999923706055,62.79999923706055,16434,2020-10-26
2020-11-02,61.0,61.0,63.0,58.0,61.5,34836,2020-11-02
2020-11-09,60.400001525878906,60.400001525878906,63.099998474121094,55.54999923706055,60.0,16397,2020-11-09
2020-11-16,61.0,61.0,62.70000076293945,55.04999923706055,58.54999923706055,12246,2020-11-16
2020-11-23,61.54999923706055,61.54999923706055,62.25,55.0,62.25,42695,2020-11-23
2020-11-30,84.3499984741211,84.3499984741211,87.69999694824219,60.0,61.54999923706055,180731,2020-11-30
2020-12-07,79.30000305175781,79.30000305175781,85.9000015258789,75.80000305175781,85.0,59482,2020-12-07
2020-12-14,113.5999984741211,113.5999984741211,115.94999694824219,75.05000305175781,82.94999694824219,487916,2020-12-14
