Date,Adj Close_MAHSEAMLES.NS,Close_MAHSEAMLES.NS,High_MAHSEAMLES.NS,Low_MAHSEAMLES.NS,Open_MAHSEAMLES.NS,Volume_MAHSEAMLES.NS,Date
2020-07-13,105.94636535644531,112.05000305175781,119.9749984741211,110.55000305175781,119.5,1565236,2020-07-13
2020-07-20,105.21358489990234,111.2750015258789,115.30000305175781,110.2750015258789,112.94999694824219,639010,2020-07-20
2020-07-27,92.73261260986328,98.07499694824219,114.2249984741211,97.5,112.19999694824219,1601258,2020-07-27
2020-08-03,99.23310852050781,104.94999694824219,109.5,96.82499694824219,98.07499694824219,1097686,2020-08-03
2020-08-10,100.29683685302734,106.07499694824219,110.94999694824219,104.0,107.0,631688,2020-08-10
2020-08-17,118.07276153564453,124.875,129.89999389648438,105.5,107.44999694824219,3124146,2020-08-17
2020-08-24,112.8250732421875,119.32499694824219,133.5,119.0,126.5,2395788,2020-08-24
2020-08-31,109.65755462646484,115.9749984741211,122.75,111.0,122.75,808108,2020-08-31
2020-09-07,106.46640014648438,112.5999984741211,119.75,108.5,118.7750015258789,543712,2020-09-07
2020-09-14,111.3831558227539,117.80000305175781,123.6500015258789,113.25,114.0,936816,2020-09-14
2020-09-21,105.65367889404297,110.5,119.44999694824219,105.125,117.80000305175781,385564,2020-09-21
2020-09-28,106.77715301513672,111.67500305175781,113.9749984741211,108.55000305175781,110.625,211940,2020-09-28
2020-10-05,103.93262481689453,108.69999694824219,115.4749984741211,107.4749984741211,112.25,375822,2020-10-05
2020-10-12,104.62583923339844,109.42500305175781,110.25,107.0,108.25,291668,2020-10-12
2020-10-19,107.42254638671875,112.3499984741211,113.4749984741211,107.92500305175781,108.05000305175781,224972,2020-10-19
2020-10-26,105.96441650390625,110.82499694824219,113.9749984741211,108.5250015258789,112.92500305175781,475826,2020-10-26
2020-11-02,115.76487731933594,121.07499694824219,121.9749984741211,107.2750015258789,111.4000015258789,862454,2020-11-02
2020-11-09,115.45413208007812,120.75,124.0,115.7750015258789,121.5250015258789,1148160,2020-11-09
2020-11-16,117.50984954833984,122.9000015258789,127.0,119.80000305175781,119.9000015258789,1419900,2020-11-16
2020-11-23,123.96380615234375,129.64999389648438,131.0500030517578,122.5999984741211,126.0,1209522,2020-11-23
2020-11-30,151.2377471923828,158.1750030517578,165.5,129.64999389648438,129.64999389648438,3659036,2020-11-30
2020-12-07,148.32151794433594,155.125,162.5,146.5,157.97500610351562,1147428,2020-12-07
2020-12-14,150.0664520263672,156.9499969482422,164.875,150.0,155.125,971116,2020-12-14
2020-12-21,159.17373657226562,166.47500610351562,177.1999969482422,154.5,177.1999969482422,2243016,2020-12-21
2020-12-28,152.86318969726562,159.875,171.35000610351562,157.5,169.5,906048,2020-12-28
2021-01-04,152.91099548339844,159.9250030517578,166.5,158.5,163.9499969482422,1455572,2021-01-04
2021-01-11,148.2259063720703,155.02499389648438,162.5,154.47500610351562,160.9499969482422,389020,2021-01-11
2021-01-18,145.6204071044922,152.3000030517578,158.5,151.5,154.8249969482422,483642,2021-01-18
2021-01-25,133.5491180419922,139.6750030517578,153.85000610351562,139.25,153.02499389648438,429018,2021-01-25
2021-02-01,135.65261840820312,141.875,148.5500030517578,138.5,140.375,435056,2021-02-01
2021-02-08,136.96734619140625,143.25,147.39999389648438,140.75,142.0500030517578,299308,2021-02-08
2021-02-15,134.98333740234375,141.1750030517578,146.0,139.5500030517578,143.4499969482422,471894,2021-02-15
2021-02-22,134.40963745117188,140.5749969482422,148.5,139.5500030517578,142.47500610351562,1225576,2021-02-22
2021-03-01,139.50111389160156,145.89999389648438,157.0,139.97500610351562,140.5500030517578,1734654,2021-03-01
2021-03-08,136.1785125732422,142.4250030517578,156.5,141.0,146.5500030517578,1246934,2021-03-08
2021-03-15,134.8638153076172,141.0500030517578,142.72500610351562,136.25,140.8249969482422,817124,2021-03-15
2021-03-22,131.2782745361328,137.3000030517578,142.3249969482422,136.14999389648438,141.375,465144,2021-03-22
2021-03-29,135.8438720703125,142.0749969482422,150.0,134.52499389648438,137.3000030517578,508864,2021-03-29
2021-04-05,134.43357849121094,140.60000610351562,145.0500030517578,138.125,140.0500030517578,475276,2021-04-05
2021-04-12,129.0791473388672,135.0,140.0,132.5,140.0,741510,2021-04-12
2021-04-19,128.62496948242188,134.52499389648438,136.875,133.0500030517578,133.77499389648438,1239036,2021-04-19
2021-04-26,138.4015350341797,144.75,152.5,134.5,134.52499389648438,1794896,2021-04-26
2021-05-03,143.7559356689453,150.35000610351562,153.89999389648438,143.14999389648438,144.0749969482422,1806296,2021-05-03
2021-05-10,138.9035186767578,145.27499389648438,160.5,144.47500610351562,152.25,3521702,2021-05-10
2021-05-17,139.83575439453125,146.25,155.0,140.125,140.125,630908,2021-05-17
2021-05-24,140.9831085205078,147.4499969482422,152.0500030517578,145.60000610351562,145.60000610351562,755958,2021-05-24
2021-05-31,137.03904724121094,143.3249969482422,149.9499969482422,142.5500030517578,147.5,795484,2021-05-31
2021-06-07,147.31756591796875,154.0749969482422,156.60000610351562,143.25,143.75,1986962,2021-06-07
2021-06-14,146.09848022460938,152.8000030517578,166.85000610351562,150.3249969482422,156.0,5699292,2021-06-14
2021-06-21,152.50465393066406,159.5,164.0,150.02499389648438,150.02499389648438,1304372,2021-06-21
