Date,Adj Close_EIEL.NS,Close_EIEL.NS,High_EIEL.NS,Low_EIEL.NS,Open_EIEL.NS,Volume_EIEL.NS,Date
2024-11-25,207.07000732421875,207.07000732421875,233.6999969482422,205.0500030517578,220.0,55409608,2024-11-25
2024-12-02,251.3000030517578,251.3000030517578,275.70001220703125,208.10000610351562,209.0,132457888,2024-12-02
2024-12-09,294.4100036621094,294.4100036621094,302.4200134277344,252.5,252.75,139364518,2024-12-09
2024-12-16,320.9200134277344,320.9200134277344,391.6000061035156,303.8399963378906,305.0,287397195,2024-12-16
2024-12-23,319.8599853515625,319.8599853515625,354.6499938964844,300.0,324.3500061035156,86385571,2024-12-23
2024-12-30,325.45001220703125,325.45001220703125,339.8500061035156,293.04998779296875,316.1000061035156,76544855,2024-12-30
2025-01-06,285.70001220703125,285.70001220703125,329.20001220703125,281.0,328.45001220703125,29493444,2025-01-06
2025-01-13,275.95001220703125,275.95001220703125,290.0,263.04998779296875,281.3999938964844,20325785,2025-01-13
2025-01-20,249.25,249.25,282.5,247.1999969482422,278.0,15804093,2025-01-20
2025-01-27,257.45001220703125,257.45001220703125,271.6000061035156,218.5,243.0,23954912,2025-01-27
2025-02-03,278.8500061035156,278.8500061035156,296.95001220703125,244.0,252.4499969482422,41351184,2025-02-03
2025-02-10,228.8000030517578,228.8000030517578,278.79998779296875,227.5,278.79998779296875,21128705,2025-02-10
2025-02-17,234.64999389648438,234.64999389648438,250.89999389648438,221.35000610351562,227.0,17780853,2025-02-17
2025-02-24,206.85000610351562,206.85000610351562,233.4499969482422,195.10000610351562,230.0,19649669,2025-02-24
2025-03-03,208.22999572753906,208.22999572753906,216.9600067138672,187.10000610351562,209.8800048828125,25629516,2025-03-03
2025-03-10,195.36000061035156,195.36000061035156,211.89999389648438,191.3000030517578,208.9499969482422,8688262,2025-03-10
2025-03-17,217.02000427246094,217.02000427246094,222.8000030517578,191.0,197.0,11605477,2025-03-17
2025-03-24,222.00999450683594,222.00999450683594,233.39999389648438,212.02000427246094,220.99000549316406,15753090,2025-03-24
2025-03-31,211.72000122070312,211.72000122070312,226.49000549316406,209.14999389648438,222.00999450683594,6717983,2025-03-31
2025-04-07,205.41000366210938,205.41000366210938,212.0,182.0,182.0,6538764,2025-04-07
2025-04-14,216.99000549316406,216.99000549316406,219.3000030517578,205.41000366210938,205.41000366210938,3602096,2025-04-14
2025-04-21,208.10000610351562,208.10000610351562,225.88999938964844,205.2899932861328,216.89999389648438,7033016,2025-04-21
2025-04-28,195.99000549316406,195.99000549316406,212.39999389648438,195.66000366210938,204.0,4147686,2025-04-28
2025-05-05,192.6999969482422,192.6999969482422,211.8000030517578,188.0,200.0,8671491,2025-05-05
2025-05-12,215.13999938964844,215.13999938964844,216.75999450683594,199.1999969482422,201.1999969482422,7367809,2025-05-12
2025-05-19,228.02999877929688,228.02999877929688,236.63999938964844,209.52000427246094,216.99000549316406,16480324,2025-05-19
2025-05-26,237.92999267578125,237.92999267578125,268.79998779296875,227.58999633789062,231.49000549316406,36251638,2025-05-26
2025-06-02,225.3000030517578,225.3000030517578,237.82000732421875,224.0,233.0,15672788,2025-06-02
2025-06-09,219.13999938964844,219.13999938964844,234.0,215.0,227.3000030517578,8548861,2025-06-09
2025-06-16,215.14999389648438,215.14999389648438,222.5800018310547,208.32000732421875,218.13999938964844,6338381,2025-06-16
2025-06-23,237.85000610351562,237.85000610351562,252.0,209.86000061035156,210.0,91299674,2025-06-23
2025-06-30,232.36000061035156,232.36000061035156,245.39999389648438,231.27000427246094,238.5,11880139,2025-06-30
2025-07-07,275.6000061035156,275.6000061035156,283.95001220703125,228.00999450683594,232.3000030517578,99823636,2025-07-07
2025-07-14,269.6499938964844,269.6499938964844,287.989990234375,265.0199890136719,280.0,33390545,2025-07-14
