Date,Adj Close_INSECTICID.NS,Close_INSECTICID.NS,High_INSECTICID.NS,Low_INSECTICID.NS,Open_INSECTICID.NS,Volume_INSECTICID.NS,Date
2021-06-14,490.8594970703125,499.1333312988281,539.2333374023438,400.0,421.3333435058594,4792935,2021-06-14
2021-06-21,481.5825500488281,489.70001220703125,520.0,472.6666564941406,500.0,607384,2021-06-21
2021-06-28,483.6149597167969,491.76666259765625,500.0,481.3333435058594,493.26666259765625,238413,2021-06-28
2021-07-05,492.236328125,500.5333251953125,516.6333618164062,483.3333435058594,494.1666564941406,527333,2021-07-05
2021-07-12,485.4834899902344,493.6666564941406,519.3333129882812,490.0,505.3333435058594,295365,2021-07-12
2021-07-19,494.89154052734375,503.23333740234375,529.7999877929688,490.0,493.3333435058594,472061,2021-07-19
2021-07-26,513.7405395507812,522.4000244140625,531.3333129882812,494.70001220703125,505.3333435058594,487414,2021-07-26
2021-08-02,531.0487670898438,540.0,564.6666870117188,527.3333129882812,527.3333129882812,759182,2021-08-02
2021-08-09,499.8414611816406,508.26666259765625,558.9666748046875,493.3999938964844,540.6666870117188,435077,2021-08-09
2021-08-16,464.3726501464844,472.20001220703125,515.9666748046875,466.6666564941406,511.79998779296875,265687,2021-08-16
2021-08-23,471.0599060058594,479.0,486.6666564941406,455.76666259765625,483.23333740234375,238932,2021-08-23
2021-08-30,493.48199462890625,501.79998779296875,516.2000122070312,477.5666809082031,484.6666564941406,167567,2021-08-30
2021-09-06,484.20501708984375,492.3666687011719,506.3333435058594,480.0,506.3333435058594,138287,2021-09-06
2021-09-13,464.6020812988281,472.4333190917969,494.6666564941406,470.0,494.6666564941406,147111,2021-09-13
2021-09-20,459.3899841308594,467.1333312988281,479.26666259765625,461.3333435058594,464.0,138909,2021-09-20
2021-09-27,447.719970703125,455.26666259765625,472.6666564941406,449.4333190917969,466.6666564941406,161288,2021-09-27
2021-10-04,468.9947204589844,476.8999938964844,482.9333190917969,456.0,472.0,185444,2021-10-04
2021-10-11,463.38922119140625,471.20001220703125,499.3666687011719,469.3333435058594,479.29998779296875,153726,2021-10-11
2021-10-18,434.3782653808594,441.70001220703125,475.1333312988281,434.6333312988281,475.1333312988281,127559,2021-10-18
2021-10-25,418.8729248046875,425.9333190917969,460.0,420.0666809082031,441.3333435058594,250440,2021-10-25
2021-11-01,437.7546081542969,445.1333312988281,457.0666809082031,422.9666748046875,428.0666809082031,142161,2021-11-01
2021-11-08,430.7067565917969,437.9666748046875,447.29998779296875,424.6666564941406,446.0,188230,2021-11-08
2021-11-15,434.1815490722656,441.5,449.9666748046875,426.6666564941406,440.1666564941406,126081,2021-11-15
2021-11-22,406.6784362792969,413.5333251953125,443.73333740234375,406.79998779296875,443.73333740234375,260791,2021-11-22
2021-11-29,425.0357360839844,432.20001220703125,439.0,396.6666564941406,415.6333312988281,460105,2021-11-29
2021-12-06,436.5089416503906,443.8666687011719,451.9666748046875,420.0333251953125,436.0,360640,2021-12-06
2021-12-13,415.7914733886719,422.79998779296875,454.1000061035156,421.23333740234375,443.3666687011719,210429,2021-12-13
2021-12-20,430.73956298828125,438.0,443.4333190917969,400.1000061035156,420.0,263206,2021-12-20
2021-12-27,464.0448303222656,471.8666687011719,476.0,424.0333251953125,440.20001220703125,358476,2021-12-27
2022-01-03,469.58477783203125,477.5,495.1333312988281,470.0,476.4666748046875,260282,2022-01-03
2022-01-10,467.3884582519531,475.26666259765625,487.9666748046875,468.0,477.5,203163,2022-01-10
2022-01-17,462.53692626953125,470.3333435058594,488.6666564941406,457.9333190917969,476.0,146810,2022-01-17
2022-01-24,469.0602722167969,476.9666748046875,488.6666564941406,430.0,472.70001220703125,136682,2022-01-24
2022-01-31,465.651123046875,473.5,494.6666564941406,466.79998779296875,479.3666687011719,171023,2022-01-31
2022-02-07,446.9988098144531,454.5333251953125,481.8333435058594,446.79998779296875,473.3333435058594,95526,2022-02-07
2022-02-14,441.4261169433594,448.8666687011719,471.5333251953125,423.8666687011719,450.0,169428,2022-02-14
2022-02-21,400.3517761230469,407.1000061035156,456.6666564941406,388.6666564941406,448.9333190917969,243156,2022-02-21
2022-02-28,426.2485656738281,433.4333190917969,444.0,400.6000061035156,407.1000061035156,81211,2022-02-28
2022-03-07,405.9572448730469,412.79998779296875,444.0,411.6666564941406,426.6666564941406,106839,2022-03-07
2022-03-14,417.856689453125,424.8999938964844,428.0,408.26666259765625,414.8666687011719,207364,2022-03-14
2022-03-21,401.8924560546875,408.6666564941406,432.6666564941406,407.3999938964844,427.3333435058594,82405,2022-03-21
2022-03-28,411.98895263671875,418.9333190917969,433.3333435058594,400.3999938964844,401.5333251953125,260153,2022-03-28
