Date,Adj Close_STYLAMIND.NS,Close_STYLAMIND.NS,High_STYLAMIND.NS,Low_STYLAMIND.NS,Open_STYLAMIND.NS,Volume_STYLAMIND.NS,Date
2021-08-02,1370.479736328125,1372.4000244140625,1419.9000244140625,1216.0,1280.0,210876,2021-08-02
2021-08-09,1092.6689453125,1094.199951171875,1398.550048828125,1030.0,1392.0,107746,2021-08-09
2021-08-16,1088.375,1089.9000244140625,1202.0,1030.0,1094.199951171875,78789,2021-08-16
2021-08-23,1083.2822265625,1084.800048828125,1111.0999755859375,1011.5499877929688,1100.0,38354,2021-08-23
2021-08-30,1038.9443359375,1040.4000244140625,1159.0,1025.0,1089.9000244140625,56131,2021-08-30
2021-09-06,1046.7332763671875,1048.199951171875,1066.1500244140625,1005.0,1058.800048828125,38573,2021-09-06
2021-09-13,1127.3204345703125,1128.9000244140625,1319.5999755859375,1048.0,1048.0,162303,2021-09-13
2021-09-20,1145.7945556640625,1147.4000244140625,1194.9000244140625,1055.0,1140.0,88485,2021-09-20
2021-09-27,1113.0404052734375,1114.5999755859375,1149.9000244140625,1040.0,1147.4000244140625,87614,2021-09-27
2021-10-04,1130.4161376953125,1132.0,1159.0,1081.0999755859375,1139.0,75709,2021-10-04
2021-10-11,1083.7314453125,1085.25,1140.0,1069.25,1140.0,35629,2021-10-11
2021-10-18,986.3179931640625,987.7000122070312,1140.0,975.5499877929688,1070.0,122162,2021-10-18
2021-10-25,1034.400634765625,1035.8499755859375,1055.0,927.25,987.0,99924,2021-10-25
2021-11-01,1085.02978515625,1086.550048828125,1121.449951171875,1004.7999877929688,1004.7999877929688,106286,2021-11-01
2021-11-08,1099.2098388671875,1100.75,1158.949951171875,1040.0,1093.949951171875,112500,2021-11-08
2021-11-15,1011.9320678710938,1013.3499755859375,1113.199951171875,1000.0,1100.75,46573,2021-11-15
2021-11-22,1037.9954833984375,1039.449951171875,1173.8499755859375,988.0,1014.0499877929688,102718,2021-11-22
2021-11-29,1063.8094482421875,1065.300048828125,1088.800048828125,982.5,1021.0,17755,2021-11-29
2021-12-06,1044.1868896484375,1045.6500244140625,1088.0,1006.25,1088.0,12606,2021-12-06
2021-12-13,992.010009765625,993.4000244140625,1095.0,977.5499877929688,1065.0,29805,2021-12-13
2021-12-20,1055.021728515625,1056.5,1090.0,955.0,993.0,42095,2021-12-20
2021-12-27,1056.6195068359375,1058.0999755859375,1123.0,1011.0,1018.2999877929688,52248,2021-12-27
