Date,Adj Close_KELLTONTEC.NS,Close_KELLTONTEC.NS,High_KELLTONTEC.NS,Low_KELLTONTEC.NS,Open_KELLTONTEC.NS,Volume_KELLTONTEC.NS,Date
2020-07-13,18.565914154052734,18.649999618530273,18.950000762939453,17.25,17.299999237060547,240505,2020-07-13
2020-07-20,21.55238914489746,21.649999618530273,21.649999618530273,17.799999237060547,18.5,1260720,2020-07-20
2020-07-27,20.805770874023438,20.899999618530273,23.0,20.399999618530273,22.0,2337545,2020-07-27
2020-08-03,19.063661575317383,19.149999618530273,22.950000762939453,18.850000381469727,20.899999618530273,1387787,2020-08-03
2020-08-10,19.76050567626953,19.850000381469727,20.899999618530273,18.200000762939453,19.049999237060547,632524,2020-08-10
2020-08-17,23.344274520874023,23.450000762939453,23.450000762939453,19.399999618530273,20.399999618530273,1368675,2020-08-17
2020-08-24,29.6656436920166,29.799999237060547,29.799999237060547,24.600000381469727,24.600000381469727,1810767,2020-08-24
2020-08-31,37.430477142333984,37.599998474121094,37.70000076293945,28.549999237060547,31.25,2985366,2020-08-31
2020-09-07,44.59801483154297,44.79999923706055,45.5,38.29999923706055,38.599998474121094,4354468,2020-09-07
2020-09-14,48.430660247802734,48.650001525878906,51.70000076293945,45.349998474121094,45.849998474121094,4611926,2020-09-14
2020-09-21,40.914695739746094,41.099998474121094,51.900001525878906,41.099998474121094,51.04999923706055,2778859,2020-09-21
2020-09-28,40.815147399902344,41.0,42.25,35.349998474121094,41.150001525878906,2940845,2020-09-28
2020-10-05,50.52119064331055,50.75,51.5,43.04999923706055,43.04999923706055,2686448,2020-10-05
2020-10-12,48.082237243652344,48.29999923706055,52.900001525878906,46.70000076293945,51.54999923706055,2445861,2020-10-12
2020-10-19,50.77006530761719,51.0,51.79999923706055,45.900001525878906,47.25,3344191,2020-10-19
2020-10-26,50.17277145385742,50.400001525878906,53.0,47.849998474121094,53.0,1901024,2020-10-26
2020-11-02,49.57547378540039,49.79999923706055,51.45000076293945,47.04999923706055,51.45000076293945,1148120,2020-11-02
2020-11-09,50.27231979370117,50.5,51.54999923706055,47.25,50.599998474121094,1902076,2020-11-09
2020-11-16,50.12299346923828,50.349998474121094,50.95000076293945,47.0,50.349998474121094,1145600,2020-11-16
2020-11-23,53.258792877197266,53.5,55.400001525878906,50.45000076293945,50.95000076293945,5789749,2020-11-23
2020-11-30,56.04616928100586,56.29999923706055,56.29999923706055,52.5,53.5,5027901,2020-11-30
2020-12-07,61.62092208862305,61.900001525878906,65.5,57.5,59.849998474121094,9849511,2020-12-07
2020-12-14,73.01929473876953,73.3499984741211,74.5,60.0,63.20000076293945,9267970,2020-12-14
2020-12-21,72.12335205078125,72.44999694824219,77.19999694824219,58.70000076293945,74.8499984741211,8162099,2020-12-21
2020-12-28,73.41749572753906,73.75,83.80000305175781,69.0,72.0,17597333,2020-12-28
2021-01-04,76.95149230957031,77.30000305175781,79.5,67.25,75.0,19988079,2021-01-04
2021-01-11,78.8429183959961,79.19999694824219,81.30000305175781,75.0999984741211,77.0,8606287,2021-01-11
2021-01-18,74.11433410644531,74.44999694824219,86.5,74.25,79.94999694824219,11696828,2021-01-18
2021-01-25,71.72515869140625,72.05000305175781,82.0,71.80000305175781,77.9000015258789,5025592,2021-01-25
2021-02-01,79.83840942382812,80.19999694824219,83.94999694824219,60.0,74.0,15861036,2021-02-01
2021-02-08,83.67105865478516,84.05000305175781,85.94999694824219,80.4000015258789,80.5999984741211,8284881,2021-02-08
2021-02-15,71.07809448242188,71.4000015258789,87.0,65.19999694824219,85.0,8706192,2021-02-15
2021-02-22,75.40847778320312,75.75,84.94999694824219,71.1500015258789,73.0999984741211,6864475,2021-02-22
2021-03-01,73.46726989746094,73.80000305175781,77.3499984741211,72.80000305175781,75.69999694824219,3358839,2021-03-01
2021-03-08,72.77042388916016,73.0999984741211,76.4000015258789,70.94999694824219,73.80000305175781,1867998,2021-03-08
2021-03-15,72.72064971923828,73.05000305175781,74.0,61.650001525878906,73.4000015258789,9303193,2021-03-15
2021-03-22,65.70243835449219,66.0,72.75,64.5,72.75,3638609,2021-03-22
2021-03-29,72.77042388916016,73.0999984741211,74.25,66.0,66.0,2835700,2021-03-29
2021-04-05,71.426513671875,71.75,74.4000015258789,68.5,74.4000015258789,2336869,2021-04-05
2021-04-12,66.54859924316406,66.8499984741211,70.94999694824219,66.0,70.0999984741211,1112513,2021-04-12
2021-04-19,66.05085754394531,66.3499984741211,68.0,61.0,62.599998474121094,3116155,2021-04-19
2021-04-26,66.10063171386719,66.4000015258789,70.75,65.80000305175781,68.0,2658436,2021-04-26
2021-05-03,63.61190414428711,63.900001525878906,66.75,63.150001525878906,66.0,1224739,2021-05-03
2021-05-10,63.512351989746094,63.79999923706055,68.44999694824219,62.900001525878906,65.0,2160968,2021-05-10
2021-05-17,63.16393280029297,63.45000076293945,64.75,62.5,64.75,1552773,2021-05-17
2021-05-24,74.2138900756836,74.55000305175781,76.5,63.75,64.0,12107352,2021-05-24
2021-05-31,76.60306549072266,76.94999694824219,79.25,68.19999694824219,74.5,9086106,2021-05-31
2021-06-07,87.6032485961914,88.0,92.0,77.05000305175781,77.5,23491074,2021-06-07
2021-06-14,70.28169250488281,70.5999984741211,89.8499984741211,70.5,88.80000305175781,21002914,2021-06-14
2021-06-21,70.23192596435547,70.55000305175781,75.75,69.5,70.4000015258789,6316656,2021-06-21
2021-06-28,70.28169250488281,70.5999984741211,72.30000305175781,66.5,71.4000015258789,10612828,2021-06-28
2021-07-05,63.114158630371094,63.400001525878906,73.05000305175781,61.0,72.19999694824219,21638806,2021-07-05
2021-07-12,62.21821594238281,62.5,66.8499984741211,55.849998474121094,64.5,19658659,2021-07-12
2021-07-19,60.028133392333984,60.29999923706055,62.5,59.25,61.79999923706055,5612605,2021-07-19
2021-07-26,55.548423767089844,55.79999923706055,60.5,54.349998474121094,60.150001525878906,11511636,2021-07-26
2021-08-02,55.59819412231445,55.849998474121094,59.400001525878906,55.0,55.95000076293945,4535974,2021-08-02
2021-08-09,55.05067443847656,55.29999923706055,57.900001525878906,49.29999923706055,57.900001525878906,4605093,2021-08-09
2021-08-16,43.1545524597168,43.349998474121094,55.900001525878906,41.650001525878906,55.900001525878906,5413058,2021-08-16
2021-08-23,43.950950622558594,44.150001525878906,47.5,39.29999923706055,44.0,5348792,2021-08-23
2021-08-30,47.38539123535156,47.599998474121094,49.79999923706055,43.75,45.099998474121094,4225705,2021-08-30
2021-09-06,48.629756927490234,48.849998474121094,52.0,47.0,47.0,2485221,2021-09-06
2021-09-13,51.96465301513672,52.20000076293945,57.400001525878906,48.5,49.25,7115999,2021-09-13
2021-09-20,52.349998474121094,52.349998474121094,53.79999923706055,49.0,51.0,2572316,2021-09-20
2021-09-27,50.75,50.75,52.95000076293945,48.5,52.95000076293945,1827801,2021-09-27
2021-10-04,52.04999923706055,52.04999923706055,54.400001525878906,50.400001525878906,51.20000076293945,2932281,2021-10-04
2021-10-11,51.599998474121094,51.599998474121094,53.54999923706055,50.54999923706055,52.29999923706055,2240832,2021-10-11
2021-10-18,49.5,49.5,53.5,49.25,52.349998474121094,2462337,2021-10-18
2021-10-25,46.900001525878906,46.900001525878906,49.95000076293945,46.29999923706055,49.75,1562516,2021-10-25
2021-11-01,49.099998474121094,49.099998474121094,49.400001525878906,46.599998474121094,47.400001525878906,727854,2021-11-01
2021-11-08,49.849998474121094,49.849998474121094,52.0,48.25,49.45000076293945,2031622,2021-11-08
2021-11-15,48.25,48.25,51.70000076293945,47.150001525878906,49.849998474121094,1618169,2021-11-15
2021-11-22,49.849998474121094,49.849998474121094,53.79999923706055,46.70000076293945,48.900001525878906,3649607,2021-11-22
2021-11-29,48.29999923706055,48.29999923706055,50.54999923706055,47.0,49.5,2070083,2021-11-29
2021-12-06,59.04999923706055,59.04999923706055,60.900001525878906,49.29999923706055,50.400001525878906,10003378,2021-12-06
2021-12-13,58.79999923706055,58.79999923706055,64.80000305175781,57.0,59.5,8518978,2021-12-13
2021-12-20,63.5,63.5,64.5,53.75,58.0,6584528,2021-12-20
2021-12-27,63.04999923706055,63.04999923706055,66.4000015258789,61.900001525878906,63.900001525878906,5986844,2021-12-27
2022-01-03,73.30000305175781,73.30000305175781,74.8499984741211,61.79999923706055,63.25,14682562,2022-01-03
2022-01-10,93.6500015258789,93.6500015258789,96.6500015258789,74.80000305175781,75.19999694824219,39408058,2022-01-10
2022-01-17,123.0,123.0,135.0,96.0,97.5,33209415,2022-01-17
2022-01-24,105.69999694824219,105.69999694824219,116.8499984741211,100.25,116.8499984741211,7633553,2022-01-24
2022-01-31,112.8499984741211,112.8499984741211,116.5,97.8499984741211,109.44999694824219,8930963,2022-01-31
2022-02-07,95.9000015258789,95.9000015258789,115.8499984741211,93.9000015258789,113.69999694824219,6901780,2022-02-07
2022-02-14,90.1500015258789,90.1500015258789,97.8499984741211,86.5999984741211,92.0,5305197,2022-02-14
2022-02-21,82.75,82.75,89.5,80.19999694824219,88.0,3999416,2022-02-21
