Date,Adj Close_TIL.NS,Close_TIL.NS,High_TIL.NS,Low_TIL.NS,Open_TIL.NS,Volume_TIL.NS,Date
2020-07-13,143.75,143.75,147.85000610351562,139.35000610351562,141.35000610351562,45356,2020-07-13
2020-07-20,138.35000610351562,138.35000610351562,144.9499969482422,136.5500030517578,143.89999389648438,22475,2020-07-20
2020-07-27,132.35000610351562,132.35000610351562,140.85000610351562,131.89999389648438,137.0500030517578,18613,2020-07-27
2020-08-03,140.14999389648438,140.14999389648438,142.0,123.25,133.85000610351562,27013,2020-08-03
2020-08-10,145.4499969482422,145.4499969482422,155.0,139.8000030517578,139.85000610351562,71472,2020-08-10
2020-08-17,153.5500030517578,153.5500030517578,159.8000030517578,145.10000610351562,149.64999389648438,52161,2020-08-17
2020-08-24,174.4499969482422,174.4499969482422,198.0,150.10000610351562,158.0,358190,2020-08-24
2020-08-31,153.8000030517578,153.8000030517578,174.89999389648438,145.10000610351562,173.5,29392,2020-08-31
2020-09-07,161.0500030517578,161.0500030517578,168.89999389648438,145.64999389648438,157.75,35287,2020-09-07
2020-09-14,152.85000610351562,152.85000610351562,168.0,150.0500030517578,159.39999389648438,25690,2020-09-14
2020-09-21,136.60000610351562,136.60000610351562,152.0,132.10000610351562,150.75,32627,2020-09-21
2020-09-28,140.0,140.0,144.89999389648438,138.14999389648438,139.3000030517578,7342,2020-09-28
2020-10-05,138.6999969482422,138.6999969482422,155.0,138.0,146.64999389648438,28178,2020-10-05
2020-10-12,136.0500030517578,136.0500030517578,144.0,133.9499969482422,139.0500030517578,13918,2020-10-12
2020-10-19,138.5500030517578,138.5500030517578,139.60000610351562,132.0500030517578,138.14999389648438,21193,2020-10-19
2020-10-26,131.0500030517578,131.0500030517578,139.85000610351562,130.5500030517578,138.60000610351562,16719,2020-10-26
2020-11-02,128.64999389648438,128.64999389648438,138.0,125.6500015258789,136.8000030517578,48187,2020-11-02
2020-11-09,134.5500030517578,134.5500030517578,138.0,125.25,132.0500030517578,47504,2020-11-09
2020-11-16,141.5,141.5,148.0,130.5,130.5,43751,2020-11-16
2020-11-23,143.60000610351562,143.60000610351562,146.35000610351562,133.60000610351562,137.3000030517578,38689,2020-11-23
2020-11-30,156.89999389648438,156.89999389648438,175.39999389648438,141.0500030517578,143.60000610351562,144840,2020-11-30
2020-12-07,183.4499969482422,183.4499969482422,190.0,155.0500030517578,157.0,119382,2020-12-07
2020-12-14,165.8000030517578,165.8000030517578,187.4499969482422,163.60000610351562,183.4499969482422,36924,2020-12-14
2020-12-21,167.64999389648438,167.64999389648438,170.85000610351562,143.0,169.9499969482422,41934,2020-12-21
2020-12-28,172.5500030517578,172.5500030517578,187.85000610351562,163.5,163.5500030517578,71320,2020-12-28
2021-01-04,181.0,181.0,191.39999389648438,172.5,173.39999389648438,89509,2021-01-04
