Date,Adj Close_DREAMFOLKS.NS,Close_DREAMFOLKS.NS,High_DREAMFOLKS.NS,Low_DREAMFOLKS.NS,Open_DREAMFOLKS.NS,Volume_DREAMFOLKS.NS,Date
2022-09-05,428.6815490722656,430.3999938964844,549.0,423.75,508.70001220703125,36796391,2022-09-05
2022-09-12,393.9706726074219,395.54998779296875,436.8999938964844,388.0,429.0,6772012,2022-09-12
2022-09-19,386.7994689941406,388.3500061035156,417.95001220703125,385.6000061035156,396.0,2516130,2022-09-19
2022-09-26,371.1123352050781,372.6000061035156,387.8999938964844,364.54998779296875,387.8999938964844,1315883,2022-09-26
2022-10-03,373.25372314453125,374.75,379.1000061035156,364.0,372.6000061035156,1246317,2022-10-03
2022-10-10,398.1041564941406,399.70001220703125,410.8999938964844,366.29998779296875,370.54998779296875,2128327,2022-10-10
2022-10-17,399.94671630859375,401.54998779296875,414.45001220703125,394.54998779296875,398.29998779296875,1560919,2022-10-17
2022-10-24,417.7254943847656,419.3999938964844,433.0,401.1000061035156,404.79998779296875,1249721,2022-10-24
2022-10-31,436.3009948730469,438.04998779296875,449.0,399.5,422.70001220703125,1816155,2022-10-31
2022-11-07,392.8750915527344,394.45001220703125,457.6000061035156,392.0,452.0,1325167,2022-11-07
2022-11-14,379.4787902832031,381.0,401.79998779296875,362.8500061035156,400.0,1036536,2022-11-14
2022-11-21,369.6681213378906,371.1499938964844,391.8500061035156,370.3999938964844,384.3500061035156,747062,2022-11-21
2022-11-28,372.9051513671875,374.3999938964844,378.3500061035156,364.04998779296875,374.0,1279281,2022-11-28
2022-12-05,373.7517395019531,375.25,387.0,370.5,379.0,930972,2022-12-05
2022-12-12,381.96881103515625,383.5,385.95001220703125,373.3999938964844,378.0,612862,2022-12-12
2022-12-19,364.6382751464844,366.1000061035156,433.75,365.20001220703125,383.20001220703125,3173592,2022-12-19
2022-12-26,362.945068359375,364.3999938964844,371.70001220703125,348.0,365.0,785042,2022-12-26
2023-01-02,375.9429626464844,377.45001220703125,384.54998779296875,359.3500061035156,364.8500061035156,404610,2023-01-02
2023-01-09,372.45697021484375,373.95001220703125,393.70001220703125,370.79998779296875,382.79998779296875,333132,2023-01-09
2023-01-16,406.4207763671875,408.04998779296875,417.79998779296875,371.0,374.3999938964844,913441,2023-01-16
2023-01-23,373.0545349121094,374.54998779296875,411.70001220703125,368.95001220703125,409.0,320000,2023-01-23
2023-01-30,369.0705261230469,370.54998779296875,391.54998779296875,360.0,374.95001220703125,473750,2023-01-30
2023-02-06,395.5643005371094,397.1499938964844,412.95001220703125,369.25,373.8999938964844,1169382,2023-02-06
2023-02-13,417.3768615722656,419.04998779296875,425.45001220703125,379.6000061035156,401.3999938964844,1318696,2023-02-13
2023-02-20,426.5401306152344,428.25,445.79998779296875,413.29998779296875,423.0,1679967,2023-02-20
2023-02-27,462.2967834472656,464.1499938964844,470.0,418.29998779296875,429.3999938964844,1550394,2023-02-27
2023-03-06,424.896728515625,426.6000061035156,471.8500061035156,421.6000061035156,467.8999938964844,758392,2023-03-06
2023-03-13,422.70550537109375,424.3999938964844,434.95001220703125,398.20001220703125,426.6499938964844,829845,2023-03-13
2023-03-20,414.8370361328125,416.5,442.1499938964844,414.04998779296875,425.5,516513,2023-03-20
2023-03-27,428.7313537597656,430.45001220703125,448.8999938964844,405.0,419.0,758792,2023-03-27
2023-04-03,433.9604187011719,435.70001220703125,455.95001220703125,430.0,436.6000061035156,355775,2023-04-03
2023-04-10,445.41448974609375,447.20001220703125,458.45001220703125,428.0,439.0,667814,2023-04-10
2023-04-17,436.3009948730469,438.04998779296875,473.5,431.6499938964844,445.6499938964844,860845,2023-04-17
2023-04-24,438.2929992675781,440.04998779296875,455.0,420.1000061035156,439.8500061035156,650878,2023-04-24
2023-05-01,426.9883728027344,428.70001220703125,447.5,421.3500061035156,440.04998779296875,623274,2023-05-01
2023-05-08,484.65716552734375,486.6000061035156,511.25,430.1000061035156,430.95001220703125,2945186,2023-05-08
2023-05-15,492.326416015625,494.29998779296875,509.0,474.70001220703125,488.6000061035156,926641,2023-05-15
2023-05-22,566.8277587890625,569.0999755859375,591.8499755859375,490.1499938964844,495.79998779296875,6079386,2023-05-22
2023-05-29,572.9532470703125,575.25,612.0,550.0,572.7999877929688,2843531,2023-05-29
2023-06-05,598.6502075195312,601.0499877929688,637.0,570.5499877929688,579.7999877929688,1966930,2023-06-05
2023-06-12,579.97509765625,582.2999877929688,604.75,566.1500244140625,604.75,1558916,2023-06-12
2023-06-19,567.9234008789062,570.2000122070312,587.25,545.25,582.9000244140625,1873865,2023-06-19
2023-06-26,643.918701171875,646.5,655.0,562.9500122070312,565.2000122070312,2532673,2023-06-26
2023-07-03,655.2732543945312,657.9000244140625,671.0,631.0999755859375,652.8499755859375,2063091,2023-07-03
2023-07-10,682.6634521484375,685.4000244140625,717.8499755859375,636.8499755859375,657.9000244140625,1859681,2023-07-10
2023-07-17,777.6825561523438,780.7999877929688,811.7000122070312,690.0,692.25,5535601,2023-07-17
2023-07-24,777.1845092773438,780.2999877929688,804.8499755859375,755.75,784.7999877929688,2208382,2023-07-24
2023-07-31,773.7482299804688,776.8499755859375,847.0,765.0499877929688,786.2999877929688,2665443,2023-07-31
