Date,Adj Close_NDRAUTO.NS,Close_NDRAUTO.NS,High_NDRAUTO.NS,Low_NDRAUTO.NS,Open_NDRAUTO.NS,Volume_NDRAUTO.NS,Date
2020-07-27,29.91069221496582,30.3125,30.3125,27.5,27.5,4164,2020-07-27
2020-08-03,29.688676834106445,30.087499618530273,31.825000762939453,27.174999237060547,31.825000762939453,124840,2020-08-03
2020-08-10,49.460567474365234,50.125,50.125,28.762500762939453,28.774999618530273,513640,2020-08-10
2020-08-17,65.655517578125,66.5374984741211,71.23750305175781,51.25,53.70000076293945,829440,2020-08-17
2020-08-24,50.95301818847656,51.63750076293945,63.212501525878906,51.51250076293945,63.212501525878906,630248,2020-08-24
2020-08-31,42.41767883300781,42.98749923706055,53.599998474121094,42.5,49.400001525878906,417200,2020-08-31
2020-09-07,35.485801696777344,35.962501525878906,43.17499923706055,35.037498474121094,43.17499923706055,186252,2020-09-07
2020-09-14,41.948974609375,42.51250076293945,44.11249923706055,35.29999923706055,35.29999923706055,303908,2020-09-14
2020-09-21,34.43738555908203,34.900001525878906,42.11249923706055,32.92499923706055,42.11249923706055,103912,2020-09-21
2020-09-28,31.958187103271484,32.38750076293945,36.724998474121094,31.774999618530273,34.900001525878906,98036,2020-09-28
2020-10-05,31.255130767822266,31.674999237060547,33.75,31.25,33.75,87408,2020-10-05
2020-10-12,30.79876136779785,31.212499618530273,33.6875,30.0,33.0,64892,2020-10-12
2020-10-19,34.03034973144531,34.48749923706055,34.48749923706055,30.137500762939453,32.11249923706055,78932,2020-10-19
2020-10-26,36.34920120239258,36.837501525878906,43.787498474121094,34.98749923706055,35.0,929072,2020-10-26
2020-11-02,34.98009490966797,35.45000076293945,38.150001525878906,32.38750076293945,38.150001525878906,219448,2020-11-02
2020-11-09,39.075077056884766,39.599998474121094,39.599998474121094,34.337501525878906,35.75,167832,2020-11-09
2020-11-16,38.470699310302734,38.98749923706055,43.650001525878906,37.724998474121094,37.724998474121094,150928,2020-11-16
2020-11-23,40.012489318847656,40.54999923706055,42.23749923706055,38.0,39.75,232860,2020-11-23
2020-11-30,41.295257568359375,41.849998474121094,44.224998474121094,40.54999923706055,40.54999923706055,206468,2020-11-30
2020-12-07,49.80592346191406,50.474998474121094,53.474998474121094,41.01250076293945,41.13750076293945,547160,2020-12-07
2020-12-14,48.99186706542969,49.650001525878906,51.95000076293945,47.875,51.95000076293945,182660,2020-12-14
2020-12-21,49.398895263671875,50.0625,53.162498474121094,45.25,49.650001525878906,260792,2020-12-21
