Date,Adj Close_PRABHA.NS,Close_PRABHA.NS,High_PRABHA.NS,Low_PRABHA.NS,Open_PRABHA.NS,Volume_PRABHA.NS,Date
2025-03-17,190.3699951171875,190.3699951171875,222.0500030517578,190.3699951171875,222.0500030517578,64830,2025-03-17
2025-03-24,179.92999267578125,179.92999267578125,190.3699951171875,155.0399932861328,180.85000610351562,458102,2025-03-24
2025-03-31,228.61000061035156,228.61000061035156,240.0,180.0,180.0,501412,2025-03-31
2025-04-07,221.44000244140625,221.44000244140625,234.85000610351562,206.0,210.5,229572,2025-04-07
2025-04-14,223.52999877929688,223.52999877929688,234.0,219.61000061035156,223.8000030517578,113097,2025-04-14
2025-04-21,192.86000061035156,192.86000061035156,225.0800018310547,185.35000610351562,224.6300048828125,210784,2025-04-21
2025-04-28,176.99000549316406,176.99000549316406,198.05999755859375,174.52999877929688,186.1999969482422,148839,2025-04-28
2025-05-05,172.89999389648438,172.89999389648438,186.39999389648438,160.99000549316406,166.3000030517578,180003,2025-05-05
2025-05-12,201.14999389648438,201.14999389648438,204.99000549316406,177.99000549316406,178.0500030517578,281827,2025-05-12
2025-05-19,219.47000122070312,219.47000122070312,228.0,201.0,206.8800048828125,321469,2025-05-19
2025-05-26,219.9499969482422,219.9499969482422,228.99000549316406,217.0399932861328,223.36000061035156,139312,2025-05-26
2025-06-02,209.14999389648438,209.14999389648438,225.00999450683594,208.32000732421875,217.0500030517578,174811,2025-06-02
2025-06-09,251.1999969482422,251.1999969482422,254.8000030517578,209.14999389648438,209.14999389648438,716314,2025-06-09
2025-06-16,252.3300018310547,252.3300018310547,265.010009765625,241.5,253.0,294190,2025-06-16
2025-06-23,288.07000732421875,288.07000732421875,307.19000244140625,244.5,251.00999450683594,1250826,2025-06-23
2025-06-30,294.29998779296875,294.29998779296875,307.95001220703125,276.3500061035156,291.5299987792969,484649,2025-06-30
2025-07-07,293.54998779296875,293.54998779296875,312.0,285.0,294.3500061035156,592763,2025-07-07
2025-07-14,302.3999938964844,302.3999938964844,304.8500061035156,286.70001220703125,290.29998779296875,189288,2025-07-14
