Date,Adj Close_TRIGYN.NS,Close_TRIGYN.NS,High_TRIGYN.NS,Low_TRIGYN.NS,Open_TRIGYN.NS,Volume_TRIGYN.NS,Date
2020-07-13,33.28071975708008,33.45000076293945,34.75,31.399999618530273,31.399999618530273,223729,2020-07-13
2020-07-20,32.93248748779297,33.099998474121094,34.400001525878906,31.899999618530273,33.900001525878906,141725,2020-07-20
2020-07-27,30.892864227294922,31.049999237060547,33.75,30.75,33.29999923706055,92850,2020-07-27
2020-08-03,35.0218620300293,35.20000076293945,35.95000076293945,30.149999618530273,32.349998474121094,152979,2020-08-03
2020-08-10,39.897064208984375,40.099998474121094,41.900001525878906,34.849998474121094,35.25,528880,2020-08-10
2020-08-17,55.7663459777832,56.04999923706055,56.04999923706055,44.099998474121094,44.099998474121094,768360,2020-08-17
2020-08-24,57.65673065185547,57.95000076293945,62.349998474121094,53.25,58.5,1285483,2020-08-24
2020-08-31,49.84645462036133,50.099998474121094,58.0,49.75,58.0,390864,2020-08-31
2020-09-07,49.19974899291992,49.45000076293945,53.70000076293945,47.5,50.150001525878906,496744,2020-09-07
2020-09-14,47.95607376098633,48.20000076293945,51.900001525878906,47.5,49.849998474121094,445583,2020-09-14
2020-09-21,47.29999923706055,47.29999923706055,49.5,44.150001525878906,48.599998474121094,246586,2020-09-21
2020-09-28,56.5,56.5,57.400001525878906,48.099998474121094,49.599998474121094,452960,2020-09-28
2020-10-05,53.79999923706055,53.79999923706055,57.79999923706055,51.20000076293945,56.5,568646,2020-10-05
2020-10-12,53.099998474121094,53.099998474121094,57.599998474121094,49.25,54.5,405950,2020-10-12
2020-10-19,51.45000076293945,51.45000076293945,54.79999923706055,50.599998474121094,53.099998474121094,235781,2020-10-19
2020-10-26,48.79999923706055,48.79999923706055,52.75,48.54999923706055,51.650001525878906,169903,2020-10-26
2020-11-02,51.95000076293945,51.95000076293945,53.0,47.0,49.70000076293945,204526,2020-11-02
2020-11-09,49.70000076293945,49.70000076293945,53.0,47.20000076293945,52.79999923706055,208547,2020-11-09
2020-11-16,59.900001525878906,59.900001525878906,60.75,48.900001525878906,48.900001525878906,889887,2020-11-16
2020-11-23,66.19999694824219,66.19999694824219,72.19999694824219,60.0,60.0,1203899,2020-11-23
2020-11-30,66.75,66.75,70.0,65.25,66.19999694824219,584953,2020-11-30
2020-12-07,65.55000305175781,65.55000305175781,69.69999694824219,64.0,67.30000305175781,353253,2020-12-07
2020-12-14,69.6500015258789,69.6500015258789,70.0,64.25,66.9000015258789,570123,2020-12-14
2020-12-21,73.0999984741211,73.0999984741211,73.19999694824219,63.099998474121094,69.94999694824219,860128,2020-12-21
2020-12-28,84.3499984741211,84.3499984741211,91.8499984741211,75.0,75.0,1953031,2020-12-28
2021-01-04,89.1500015258789,89.1500015258789,92.94999694824219,81.5,84.44999694824219,1218203,2021-01-04
2021-01-11,79.05000305175781,79.05000305175781,90.0,76.4000015258789,90.0,493038,2021-01-11
2021-01-18,73.30000305175781,73.30000305175781,81.4000015258789,72.5,77.19999694824219,412165,2021-01-18
2021-01-25,74.6500015258789,74.6500015258789,75.30000305175781,66.25,75.30000305175781,253587,2021-01-25
2021-02-01,74.69999694824219,74.69999694824219,80.0,70.19999694824219,75.0999984741211,392723,2021-02-01
2021-02-08,77.1500015258789,77.1500015258789,87.9000015258789,73.5999984741211,75.75,730722,2021-02-08
2021-02-15,71.05000305175781,71.05000305175781,77.94999694824219,69.4000015258789,77.94999694824219,444336,2021-02-15
2021-02-22,69.5,69.5,74.0,68.30000305175781,70.25,380237,2021-02-22
2021-03-01,68.05000305175781,68.05000305175781,73.0,67.3499984741211,71.69999694824219,422285,2021-03-01
2021-03-08,71.05000305175781,71.05000305175781,75.6500015258789,67.80000305175781,69.05000305175781,480733,2021-03-08
2021-03-15,67.19999694824219,67.19999694824219,74.0,64.05000305175781,71.69999694824219,383238,2021-03-15
