Date,Adj Close_PASUPTAC.NS,Close_PASUPTAC.NS,High_PASUPTAC.NS,Low_PASUPTAC.NS,Open_PASUPTAC.NS,Volume_PASUPTAC.NS,Date
2021-10-11,34.349998474121094,34.349998474121094,40.25,33.650001525878906,40.25,613361,2021-10-11
2021-10-18,31.950000762939453,31.950000762939453,35.0,30.5,34.5,368157,2021-10-18
2021-10-25,31.350000381469727,31.350000381469727,32.79999923706055,29.850000381469727,31.600000381469727,365228,2021-10-25
2021-11-01,32.25,32.25,32.849998474121094,29.649999618530273,32.150001525878906,318010,2021-11-01
2021-11-08,31.850000381469727,31.850000381469727,36.79999923706055,31.049999237060547,32.5,1303832,2021-11-08
2021-11-15,31.100000381469727,31.100000381469727,32.849998474121094,30.0,32.5,432288,2021-11-15
2021-11-22,30.299999237060547,30.299999237060547,32.20000076293945,29.5,31.899999618530273,418570,2021-11-22
2021-11-29,31.200000762939453,31.200000762939453,31.799999237060547,28.049999237060547,31.450000762939453,418831,2021-11-29
2021-12-06,32.599998474121094,32.599998474121094,34.79999923706055,30.450000762939453,31.850000381469727,846943,2021-12-06
2021-12-13,34.650001525878906,34.650001525878906,36.0,31.200000762939453,32.900001525878906,1224206,2021-12-13
2021-12-20,42.900001525878906,42.900001525878906,45.54999923706055,31.299999237060547,34.349998474121094,4850912,2021-12-20
2021-12-27,46.95000076293945,46.95000076293945,51.900001525878906,41.099998474121094,44.29999923706055,5213701,2021-12-27
2022-01-03,53.25,53.25,54.79999923706055,46.400001525878906,47.0,4471952,2022-01-03
2022-01-10,50.0,50.0,57.599998474121094,48.75,53.599998474121094,1982884,2022-01-10
2022-01-17,45.45000076293945,45.45000076293945,53.0,44.5,50.400001525878906,1423408,2022-01-17
2022-01-24,45.79999923706055,45.79999923706055,48.0,40.54999923706055,45.70000076293945,878177,2022-01-24
2022-01-31,47.5,47.5,48.54999923706055,44.5,46.900001525878906,743700,2022-01-31
2022-02-07,43.20000076293945,43.20000076293945,50.54999923706055,37.400001525878906,48.349998474121094,3447864,2022-02-07
2022-02-14,40.95000076293945,40.95000076293945,46.79999923706055,38.349998474121094,42.5,1034586,2022-02-14
2022-02-21,37.849998474121094,37.849998474121094,41.20000076293945,33.29999923706055,40.099998474121094,1166055,2022-02-21
2022-02-28,38.849998474121094,38.849998474121094,42.0,36.70000076293945,37.5,678238,2022-02-28
2022-03-07,41.150001525878906,41.150001525878906,41.70000076293945,37.0,37.29999923706055,561293,2022-03-07
2022-03-14,40.25,40.25,41.45000076293945,38.5,41.45000076293945,307584,2022-03-14
2022-03-21,40.79999923706055,40.79999923706055,43.95000076293945,39.650001525878906,40.95000076293945,657705,2022-03-21
2022-03-28,40.54999923706055,40.54999923706055,41.29999923706055,38.099998474121094,41.0,574137,2022-03-28
2022-04-04,44.150001525878906,44.150001525878906,45.599998474121094,40.099998474121094,41.45000076293945,839070,2022-04-04
2022-04-11,44.900001525878906,44.900001525878906,47.0,42.5,44.150001525878906,626965,2022-04-11
