Date,Adj Close_ARE&M.NS,Close_ARE&M.NS,High_ARE&M.NS,Low_ARE&M.NS,Open_ARE&M.NS,Volume_ARE&M.NS,Date
2023-10-16,618.6068725585938,628.0499877929688,647.7999877929688,624.4000244140625,644.9500122070312,845283,2023-10-16
2023-10-23,611.662841796875,621.0,630.0,599.0,628.0999755859375,1328724,2023-10-23
2023-10-30,611.712158203125,621.0499877929688,644.0,609.0,621.0,2030639,2023-10-30
2023-11-06,629.0967407226562,638.7000122070312,641.0,622.0,624.9500122070312,1507942,2023-11-06
2023-11-13,634.4140625,639.2000122070312,652.2000122070312,634.0499877929688,639.9500122070312,1291573,2023-11-13
2023-11-20,673.6182861328125,678.7000122070312,684.8499755859375,639.0,641.9500122070312,4465854,2023-11-20
2023-11-27,763.4407348632812,769.2000122070312,799.4500122070312,677.6500244140625,683.0,11702682,2023-11-27
2023-12-04,746.1709594726562,751.7999877929688,790.25,749.2000122070312,788.0,4315328,2023-12-04
2023-12-11,759.520263671875,765.25,785.0,753.0,754.4000244140625,2353667,2023-12-11
2023-12-18,755.1532592773438,760.8499755859375,799.5999755859375,728.5,768.9000244140625,3739501,2023-12-18
2023-12-25,809.8903198242188,816.0,831.0,763.0,764.0,5992999,2023-12-25
2024-01-01,828.6984252929688,834.9500122070312,843.0,807.0499877929688,819.6500244140625,2948674,2024-01-01
2024-01-08,796.4417724609375,802.4500122070312,840.0,791.25,840.0,2413926,2024-01-08
2024-01-15,802.09912109375,808.1500244140625,824.7999877929688,793.0,813.0,2425759,2024-01-15
2024-01-22,807.011962890625,813.0999755859375,818.4500122070312,777.8499755859375,818.4500122070312,1388982,2024-01-22
2024-01-29,888.5965576171875,895.2999877929688,903.5499877929688,813.9500122070312,814.7000122070312,6106210,2024-01-29
2024-02-05,864.1807250976562,870.7000122070312,915.5499877929688,855.0999755859375,903.9000244140625,2164906,2024-02-05
2024-02-12,856.1910400390625,862.6500244140625,878.9000244140625,810.0999755859375,870.7000122070312,1557990,2024-02-12
2024-02-19,848.6975708007812,855.0999755859375,887.25,828.7000122070312,865.8499755859375,2004727,2024-02-19
2024-02-26,842.3951416015625,848.75,858.5999755859375,817.0999755859375,857.0,1791565,2024-02-26
2024-03-04,862.8408203125,869.3499755859375,885.0,840.0499877929688,851.6500244140625,1957109,2024-03-04
2024-03-11,786.3677978515625,792.2999877929688,895.1500244140625,764.0,872.0,4822545,2024-03-11
2024-03-18,772.1748657226562,778.0,806.9000244140625,737.7000122070312,795.0,3192229,2024-03-18
2024-03-25,754.7066650390625,760.4000244140625,786.75,756.0,779.0,2002815,2024-03-25
2024-04-01,804.5307006835938,810.5999755859375,814.5,768.2999877929688,773.0,1587991,2024-04-01
2024-04-08,884.6760864257812,891.3499755859375,920.9500122070312,808.2999877929688,812.0,9879472,2024-04-08
2024-04-15,997.6737060546875,1005.2000122070312,1051.699951171875,850.0,865.0,29353945,2024-04-15
2024-04-22,1104.26953125,1112.5999755859375,1204.4000244140625,1013.3499755859375,1020.0,29233510,2024-04-22
2024-04-29,1119.6534423828125,1128.0999755859375,1138.699951171875,1091.0,1122.699951171875,3202347,2024-04-29
2024-05-06,1063.9239501953125,1071.949951171875,1173.25,1057.8499755859375,1137.0,7361222,2024-05-06
2024-05-13,1149.7266845703125,1158.4000244140625,1168.0,1013.3499755859375,1070.0,4982631,2024-05-13
2024-05-20,1201.0892333984375,1210.1500244140625,1238.0,1109.0999755859375,1164.0,7991203,2024-05-20
2024-05-27,1172.5047607421875,1181.3499755859375,1278.0,1172.0,1225.0,13995512,2024-05-27
2024-06-03,1390.6590576171875,1401.1500244140625,1448.699951171875,1000.0,1250.0,29349245,2024-06-03
2024-06-10,1329.0240478515625,1339.050048828125,1538.5999755859375,1321.0,1450.0,17357778,2024-06-10
2024-06-17,1398.748046875,1409.300048828125,1465.3499755859375,1339.050048828125,1341.0999755859375,12022054,2024-06-17
2024-06-24,1650.6973876953125,1663.1500244140625,1775.949951171875,1372.0,1409.050048828125,42196020,2024-06-24
2024-07-01,1681.9615478515625,1694.6500244140625,1729.800048828125,1621.75,1660.0,7605845,2024-07-01
2024-07-08,1603.6522216796875,1615.75,1745.0,1585.050048828125,1704.0,4885742,2024-07-08
2024-07-15,1529.3131103515625,1540.8499755859375,1658.5,1520.0,1636.0,3716475,2024-07-15
