Date,Adj Close_NRBBEARING.NS,Close_NRBBEARING.NS,High_NRBBEARING.NS,Low_NRBBEARING.NS,Open_NRBBEARING.NS,Volume_NRBBEARING.NS,Date
2020-07-13,76.0789794921875,80.0,82.80000305175781,76.9000015258789,80.0,464205,2020-07-13
2020-07-20,74.55740356445312,78.4000015258789,83.4000015258789,78.0,80.9000015258789,731811,2020-07-20
2020-07-27,73.93925476074219,77.75,80.5,76.30000305175781,77.25,483816,2020-07-27
2020-08-03,74.89025115966797,78.75,82.44999694824219,76.80000305175781,78.0,887353,2020-08-03
2020-08-10,72.75053405761719,76.5,79.69999694824219,76.05000305175781,79.69999694824219,886014,2020-08-10
2020-08-17,81.30941009521484,85.5,86.69999694824219,76.69999694824219,77.1500015258789,2897656,2020-08-17
2020-08-24,87.34818267822266,91.8499984741211,92.44999694824219,84.5,87.69999694824219,3640821,2020-08-24
2020-08-31,80.45352172851562,84.5999984741211,96.5,84.0,92.9000015258789,4700322,2020-08-31
2020-09-07,76.22163391113281,80.1500015258789,85.80000305175781,78.0,84.75,515757,2020-09-07
2020-09-14,75.50839233398438,79.4000015258789,84.80000305175781,79.1500015258789,81.8499984741211,742540,2020-09-14
2020-09-21,69.37451934814453,72.94999694824219,80.8499984741211,71.05000305175781,79.0,608179,2020-09-21
2020-09-28,69.37451934814453,72.94999694824219,75.94999694824219,72.25,74.9000015258789,765525,2020-09-28
2020-10-05,65.28527069091797,68.6500015258789,74.9000015258789,68.3499984741211,73.69999694824219,1174010,2020-10-05
2020-10-12,63.66859436035156,66.94999694824219,71.4000015258789,66.5,69.0,1273267,2020-10-12
2020-10-19,65.95097351074219,69.3499984741211,70.80000305175781,66.5999984741211,67.44999694824219,1063347,2020-10-19
2020-10-26,63.85879135131836,67.1500015258789,71.4000015258789,66.5,69.25,505199,2020-10-26
2020-11-02,65.90342712402344,69.30000305175781,69.55000305175781,66.69999694824219,68.9000015258789,379731,2020-11-02
2020-11-09,69.65982055664062,73.25,77.0,68.80000305175781,70.0,1784824,2020-11-09
2020-11-16,71.41914367675781,75.0999984741211,79.80000305175781,73.0,74.8499984741211,1365102,2020-11-16
2020-11-23,79.59762573242188,83.69999694824219,90.94999694824219,74.55000305175781,75.0999984741211,6056821,2020-11-23
2020-11-30,76.6971206665039,80.6500015258789,87.1500015258789,76.25,83.69999694824219,1721804,2020-11-30
2020-12-07,84.78052520751953,89.1500015258789,90.9000015258789,80.80000305175781,81.0999984741211,2999282,2020-12-07
2020-12-14,95.33647155761719,100.25,101.25,90.25,96.9000015258789,7870074,2020-12-14
2020-12-21,93.24430084228516,98.05000305175781,103.25,81.6500015258789,99.0,5670622,2020-12-21
2020-12-28,94.62322235107422,99.5,105.0,98.3499984741211,99.0,2869537,2020-12-28
2021-01-04,104.51349639892578,109.9000015258789,119.80000305175781,97.0999984741211,100.5999984741211,10947980,2021-01-04
2021-01-11,102.0884780883789,107.3499984741211,115.55000305175781,105.8499984741211,111.05000305175781,2401132,2021-01-11
2021-01-18,101.66053771972656,106.9000015258789,113.75,103.6500015258789,108.0,2070374,2021-01-18
2021-01-25,96.09727478027344,101.05000305175781,108.55000305175781,100.0,108.4000015258789,970623,2021-01-25
2021-02-01,106.36792755126953,111.8499984741211,117.0,100.44999694824219,102.44999694824219,3063664,2021-02-01
2021-02-08,111.59835052490234,117.3499984741211,123.9000015258789,113.30000305175781,115.19999694824219,6580662,2021-02-08
2021-02-15,111.21794891357422,116.94999694824219,120.0,114.69999694824219,118.30000305175781,1570436,2021-02-15
2021-02-22,111.02776336669922,116.75,119.1500015258789,112.1500015258789,116.0999984741211,1961788,2021-02-22
2021-03-01,111.07532501220703,116.80000305175781,125.5,115.5,117.5,3091617,2021-03-01
2021-03-08,113.16748809814453,119.0,120.94999694824219,115.55000305175781,117.44999694824219,1114990,2021-03-08
2021-03-15,102.18357849121094,107.44999694824219,122.9000015258789,102.0,120.25,1763835,2021-03-15
2021-03-22,102.84928131103516,108.1500015258789,114.0,106.30000305175781,107.94999694824219,970333,2021-03-22
2021-03-29,106.84341430664062,112.3499984741211,113.30000305175781,106.80000305175781,108.1500015258789,395646,2021-03-29
2021-04-05,104.84634399414062,110.25,111.94999694824219,107.25,110.80000305175781,851606,2021-04-05
2021-04-12,99.28307342529297,104.4000015258789,109.0,103.0,109.0,508431,2021-04-12
2021-04-19,97.4761962890625,102.5,105.94999694824219,99.0,104.0,983785,2021-04-19
