Date,Adj Close_AVL.NS,Close_AVL.NS,High_AVL.NS,Low_AVL.NS,Open_AVL.NS,Volume_AVL.NS,Date
2024-11-04,423.1980285644531,424.5,451.0,414.8999938964844,440.0,154829,2024-11-04
2024-11-11,456.0469665527344,457.45001220703125,470.0,412.6499938964844,416.1499938964844,784647,2024-11-11
2024-11-18,480.87060546875,482.3500061035156,488.0,431.54998779296875,450.1000061035156,442025,2024-11-18
2024-11-25,473.99176025390625,475.45001220703125,504.0,460.0,490.0,686741,2024-11-25
2024-12-02,478.278564453125,479.75,495.0,455.5,479.20001220703125,657516,2024-12-02
2024-12-09,487.05157470703125,488.54998779296875,524.4500122070312,465.95001220703125,480.0,908494,2024-12-09
2024-12-16,526.5301513671875,528.1500244140625,536.4500122070312,480.1499938964844,488.54998779296875,1326142,2024-12-16
2024-12-23,515.364501953125,516.9500122070312,546.5999755859375,500.20001220703125,530.0999755859375,544377,2024-12-23
2024-12-30,510.4794921875,512.0499877929688,525.0,502.8999938964844,524.7000122070312,490000,2024-12-30
2025-01-06,493.3821105957031,494.8999938964844,517.4500122070312,458.54998779296875,515.0,932016,2025-01-06
2025-01-13,502.9526672363281,504.5,514.0,467.54998779296875,499.75,371277,2025-01-13
2025-01-20,477.33148193359375,478.79998779296875,522.0,466.0,504.5,988250,2025-01-20
2025-01-27,460.93194580078125,462.3500061035156,492.04998779296875,402.1499938964844,471.25,2264318,2025-01-27
2025-02-03,475.13824462890625,476.6000061035156,491.0,457.8500061035156,462.3500061035156,1141924,2025-02-03
2025-02-10,402.7608947753906,404.0,474.0,385.6000061035156,470.1000061035156,1103302,2025-02-10
2025-02-17,410.08837890625,411.3500061035156,419.29998779296875,368.0,406.04998779296875,856775,2025-02-17
2025-02-24,433.0676574707031,434.3999938964844,445.0,399.04998779296875,405.20001220703125,557393,2025-02-24
2025-03-03,456.5454406738281,457.95001220703125,475.3999938964844,400.6000061035156,434.3999938964844,1119059,2025-03-03
2025-03-10,423.5469665527344,424.8500061035156,470.0,419.70001220703125,457.0,170429,2025-03-10
2025-03-17,435.7593994140625,437.1000061035156,458.0,414.54998779296875,427.0,526453,2025-03-17
2025-03-24,444.3828430175781,445.75,465.70001220703125,423.0,438.75,617730,2025-03-24
2025-03-31,431.3230285644531,432.6499938964844,459.70001220703125,428.5,448.0,699834,2025-03-31
2025-04-07,426.5377502441406,427.8500061035156,439.04998779296875,391.0,391.95001220703125,270113,2025-04-07
2025-04-14,437.30462646484375,438.6499938964844,449.5,429.8500061035156,429.8999938964844,115065,2025-04-14
2025-04-21,417.71490478515625,419.0,460.3999938964844,411.54998779296875,444.8999938964844,242199,2025-04-21
2025-04-28,404.605224609375,405.8500061035156,430.0,400.6000061035156,420.75,259115,2025-04-28
2025-05-05,411.0354309082031,412.29998779296875,430.0,394.1499938964844,407.8500061035156,448529,2025-05-05
2025-05-12,423.0484924316406,424.3500061035156,439.0,413.6000061035156,429.8999938964844,532522,2025-05-12
2025-05-19,420.3069152832031,421.6000061035156,438.75,410.79998779296875,426.45001220703125,529323,2025-05-19
2025-05-26,406.99786376953125,408.25,429.75,405.0,425.20001220703125,355929,2025-05-26
2025-06-02,384.1681213378906,385.3500061035156,410.0,369.70001220703125,409.0,740871,2025-06-02
2025-06-09,379.93115234375,381.1000061035156,410.0,379.54998779296875,385.3500061035156,956912,2025-06-09
2025-06-16,354.5093688964844,355.6000061035156,385.95001220703125,327.6000061035156,382.5,2504224,2025-06-16
2025-06-23,395.9817810058594,397.20001220703125,401.04998779296875,351.0,355.6000061035156,1567127,2025-06-23
2025-06-30,360.0921936035156,361.20001220703125,403.1499938964844,359.1000061035156,403.1499938964844,1363789,2025-06-30
2025-07-07,355.1075134277344,356.20001220703125,372.54998779296875,351.6000061035156,364.79998779296875,1021694,2025-07-07
2025-07-14,365.6499938964844,365.6499938964844,374.75,355.3500061035156,357.95001220703125,842534,2025-07-14
