Date,Adj Close_SRF.NS,Close_SRF.NS,High_SRF.NS,Low_SRF.NS,Open_SRF.NS,Volume_SRF.NS,Date
2020-07-13,749.7174072265625,762.6599731445312,774.5,752.3099975585938,766.0,2055660,2020-07-13
2020-07-20,745.1365966796875,758.0,782.8300170898438,754.0,767.7999877929688,4252055,2020-07-20
2020-07-27,745.755859375,758.6300048828125,806.0,744.4199829101562,761.7999877929688,9573415,2020-07-27
2020-08-03,802.417724609375,816.27001953125,824.5900268554688,757.0,757.0,9217260,2020-08-03
2020-08-10,821.8272094726562,834.9199829101562,861.5900268554688,812.719970703125,824.0,11668570,2020-08-10
2020-08-17,843.8463134765625,857.2899780273438,877.7899780273438,824.0,837.7999877929688,8408655,2020-08-17
2020-08-24,831.9459838867188,845.2000122070312,887.8300170898438,842.0,860.0999755859375,6706045,2020-08-24
2020-08-31,827.23095703125,840.4099731445312,874.9600219726562,802.75,846.7999877929688,6826025,2020-08-31
2020-09-07,828.0184326171875,841.2100219726562,856.3400268554688,807.0,840.5999755859375,4993275,2020-09-07
2020-09-14,850.047607421875,863.5900268554688,895.0,844.5999755859375,846.8900146484375,8775705,2020-09-14
2020-09-21,804.0306396484375,816.8400268554688,870.239990234375,798.719970703125,864.030029296875,4052935,2020-09-21
2020-09-28,809.7888793945312,822.6900024414062,865.9500122070312,813.8200073242188,827.719970703125,5245425,2020-09-28
2020-10-05,839.968017578125,853.3499755859375,859.5999755859375,818.5999755859375,824.9400024414062,4640170,2020-10-05
2020-10-12,876.2304077148438,890.1900024414062,901.4299926757812,851.010009765625,857.6099853515625,10371245,2020-10-12
2020-10-19,870.6393432617188,884.510009765625,910.22998046875,868.0,897.3200073242188,4934445,2020-10-19
2020-10-26,869.5075073242188,883.3599853515625,911.4600219726562,858.010009765625,885.0,4063770,2020-10-26
2020-11-02,977.80224609375,993.3800048828125,1014.7999877929688,866.8300170898438,883.3599853515625,15635205,2020-11-02
2020-11-09,1010.9637451171875,1027.0699462890625,1032.0,986.4099731445312,993.3900146484375,5738485,2020-11-09
2020-11-16,1001.4751586914062,1017.4299926757812,1043.0,991.5399780273438,1027.4100341796875,5255840,2020-11-16
2020-11-23,1010.6290893554688,1026.72998046875,1073.43994140625,1005.280029296875,1020.25,7904390,2020-11-23
2020-11-30,1049.85400390625,1066.5799560546875,1069.47998046875,1013.27001953125,1026.72998046875,3327065,2020-11-30
2020-12-07,1037.06787109375,1053.5899658203125,1089.5899658203125,1047.97998046875,1067.5799560546875,3316925,2020-12-07
2020-12-14,1094.4241943359375,1111.8599853515625,1122.9300537109375,1040.010009765625,1059.800048828125,6803655,2020-12-14
2020-12-21,1079.354248046875,1096.550048828125,1128.75,1021.6900024414062,1092.0,3597525,2020-12-21
2020-12-28,1118.4219970703125,1136.239990234375,1146.0,1090.0999755859375,1104.0,3706625,2020-12-28
2021-01-04,1164.83251953125,1183.3900146484375,1193.0,1118.0,1143.0,3941320,2021-01-04
2021-01-11,1147.5478515625,1165.8299560546875,1214.0999755859375,1160.0,1183.800048828125,4251310,2021-01-11
2021-01-18,1064.107421875,1081.06005859375,1192.4000244140625,1069.4000244140625,1168.0,7698890,2021-01-18
2021-01-25,1057.1480712890625,1073.989990234375,1104.780029296875,1048.0,1104.780029296875,5283980,2021-01-25
2021-02-01,1100.0087890625,1113.5799560546875,1148.0,1059.199951171875,1078.0,6107375,2021-02-01
2021-02-08,1109.4915771484375,1123.1800537109375,1151.5799560546875,1098.0,1117.800048828125,3440830,2021-02-08
2021-02-15,1090.0716552734375,1103.52001953125,1168.5,1083.9100341796875,1126.989990234375,3868575,2021-02-15
2021-02-22,1074.33544921875,1087.5899658203125,1119.0,1057.0799560546875,1108.6400146484375,4374765,2021-02-22
2021-03-01,1111.18115234375,1124.8900146484375,1164.0999755859375,1077.719970703125,1087.5999755859375,3586745,2021-03-01
2021-03-08,1106.1531982421875,1119.800048828125,1145.9100341796875,1114.0,1131.800048828125,1829185,2021-03-08
2021-03-15,1049.976318359375,1062.9300537109375,1125.0,1026.2099609375,1125.0,3924755,2021-03-15
2021-03-22,1041.797119140625,1054.6500244140625,1073.52001953125,1045.0,1054.0,2566775,2021-03-22
2021-03-29,1134.276123046875,1148.27001953125,1154.949951171875,1054.6500244140625,1054.6500244140625,3999135,2021-03-29
2021-04-05,1236.613525390625,1251.8699951171875,1272.9200439453125,1116.0,1154.0,8557350,2021-04-05
2021-04-12,1210.5155029296875,1225.449951171875,1266.0,1181.0,1240.0,3824585,2021-04-12
2021-04-19,1219.1392822265625,1234.1800537109375,1257.9100341796875,1192.030029296875,1205.1099853515625,3341770,2021-04-19
2021-04-26,1270.5447998046875,1286.219970703125,1318.0,1223.0400390625,1240.4000244140625,5399610,2021-04-26
2021-05-03,1240.525146484375,1255.8299560546875,1399.800048828125,1245.0,1286.0,15009895,2021-05-03
2021-05-10,1236.6431884765625,1251.9000244140625,1289.9000244140625,1236.239990234375,1260.0,5973240,2021-05-10
2021-05-17,1274.6343994140625,1290.3599853515625,1306.0,1252.010009765625,1259.5999755859375,3159485,2021-05-17
2021-05-24,1287.21923828125,1303.0999755859375,1317.800048828125,1275.5999755859375,1290.800048828125,3425540,2021-05-24
