Date,Adj Close_SIEMENS.NS,Close_SIEMENS.NS,High_SIEMENS.NS,Low_SIEMENS.NS,Open_SIEMENS.NS,Volume_SIEMENS.NS,Date
2020-07-13,1141.255859375,1158.949951171875,1172.0,1135.0,1144.0,2320535,2020-07-13
2020-07-20,1143.3731689453125,1161.0999755859375,1198.449951171875,1148.0,1164.4000244140625,3606782,2020-07-20
2020-07-27,1144.3087158203125,1162.050048828125,1165.0,1118.0999755859375,1156.1500244140625,3030063,2020-07-27
2020-08-03,1134.7568359375,1152.3499755859375,1184.699951171875,1142.0999755859375,1164.9000244140625,2847055,2020-08-03
2020-08-10,1193.397705078125,1211.9000244140625,1266.0,1120.800048828125,1143.0,9059186,2020-08-10
2020-08-17,1216.342041015625,1235.199951171875,1253.5999755859375,1207.449951171875,1223.699951171875,4111100,2020-08-17
2020-08-24,1202.50634765625,1221.1500244140625,1263.0,1212.25,1243.6500244140625,2794805,2020-08-24
2020-08-31,1200.3892822265625,1219.0,1234.3499755859375,1142.6500244140625,1225.0,3653602,2020-08-31
2020-09-07,1206.0023193359375,1224.699951171875,1233.8499755859375,1175.75,1220.0,2164572,2020-09-07
2020-09-14,1237.661376953125,1256.8499755859375,1311.800048828125,1215.199951171875,1235.0,5658975,2020-09-14
2020-09-21,1189.26171875,1207.699951171875,1259.9000244140625,1185.949951171875,1257.449951171875,3105768,2020-09-21
2020-09-28,1241.9942626953125,1261.25,1285.0,1211.8499755859375,1217.300048828125,2267220,2020-09-28
2020-10-05,1264.446044921875,1284.050048828125,1299.0,1260.0,1268.800048828125,2671360,2020-10-05
2020-10-12,1246.1300048828125,1265.449951171875,1288.25,1215.9000244140625,1281.550048828125,2690445,2020-10-12
2020-10-19,1259.4732666015625,1279.0,1304.9000244140625,1256.699951171875,1270.0,2310891,2020-10-19
2020-10-26,1248.3951416015625,1267.75,1313.949951171875,1249.0,1282.949951171875,2924855,2020-10-26
2020-11-02,1309.4976806640625,1329.800048828125,1353.5999755859375,1261.699951171875,1270.0,2138833,2020-11-02
