Date,Adj Close_EVERESTIND.NS,Close_EVERESTIND.NS,High_EVERESTIND.NS,Low_EVERESTIND.NS,Open_EVERESTIND.NS,Volume_EVERESTIND.NS,Date
2020-07-13,211.00881958007812,219.25,221.5,209.0500030517578,211.10000610351562,328587,2020-07-13
2020-07-20,201.5771942138672,209.4499969482422,235.0500030517578,204.89999389648438,221.8000030517578,1275022,2020-07-20
2020-07-27,200.08544921875,207.89999389648438,219.35000610351562,201.1999969482422,209.5,543377,2020-07-27
2020-08-03,207.73663330078125,215.85000610351562,223.0,210.0,210.0,561233,2020-08-03
2020-08-10,217.4088592529297,225.89999389648438,253.60000610351562,216.0,216.6999969482422,1678499,2020-08-10
2020-08-17,226.21493530273438,235.0500030517578,241.5,223.0,227.9499969482422,512472,2020-08-17
2020-08-24,234.35128784179688,242.4499969482422,255.9499969482422,234.75,236.75,964418,2020-08-24
2020-08-31,214.0527801513672,221.4499969482422,243.89999389648438,216.39999389648438,242.9499969482422,333590,2020-08-31
2020-09-07,208.54318237304688,215.75,227.0500030517578,210.0,221.4499969482422,263249,2020-09-07
2020-09-14,209.60643005371094,216.85000610351562,227.39999389648438,216.10000610351562,218.5,237179,2020-09-14
2020-09-21,195.10748291015625,201.85000610351562,218.4499969482422,193.14999389648438,213.10000610351562,237490,2020-09-21
2020-09-28,196.9440155029297,203.75,209.89999389648438,199.0,208.6999969482422,131505,2020-09-28
2020-10-05,206.46499633789062,213.60000610351562,221.89999389648438,202.0,203.75,345339,2020-10-05
2020-10-12,199.6021728515625,206.5,215.5,205.0,212.5,105058,2020-10-12
2020-10-19,213.32781982421875,220.6999969482422,223.0,202.5,207.25,198474,2020-10-19
2020-10-26,213.7144775390625,221.10000610351562,229.35000610351562,215.0500030517578,221.10000610351562,247719,2020-10-26
2020-11-02,217.87081909179688,225.39999389648438,242.0,217.75,220.85000610351562,430334,2020-11-02
2020-11-09,245.17715454101562,253.64999389648438,256.6499938964844,222.10000610351562,232.5,609706,2020-11-09
2020-11-16,255.8580780029297,264.70001220703125,278.6000061035156,252.85000610351562,252.85000610351562,704671,2020-11-16
2020-11-23,254.79483032226562,263.6000061035156,273.8999938964844,258.0,261.0,263744,2020-11-23
2020-11-30,277.94476318359375,287.54998779296875,297.0,261.0,263.6000061035156,583605,2020-11-30
2020-12-07,275.72161865234375,285.25,293.6000061035156,280.1000061035156,285.1000061035156,286026,2020-12-07
2020-12-14,286.4024963378906,296.29998779296875,314.0,275.70001220703125,287.5,599822,2020-12-14
2020-12-21,305.15447998046875,315.70001220703125,321.0,262.8500061035156,297.0,551486,2020-12-21
2020-12-28,313.22552490234375,324.04998779296875,332.75,312.1000061035156,317.8999938964844,588908,2020-12-28
2021-01-04,323.5198059082031,334.70001220703125,349.0,325.0,326.8500061035156,537171,2021-01-04
2021-01-11,299.2582702636719,309.6000061035156,336.45001220703125,307.3999938964844,334.79998779296875,275393,2021-01-11
2021-01-18,281.3761901855469,291.1000061035156,331.3999938964844,290.0,309.8500061035156,577262,2021-01-18
2021-01-25,267.7471923828125,277.0,295.5,266.6499938964844,294.79998779296875,221505,2021-01-25
