Date,Adj Close_JAGSNPHARM.NS,Close_JAGSNPHARM.NS,High_JAGSNPHARM.NS,Low_JAGSNPHARM.NS,Open_JAGSNPHARM.NS,Volume_JAGSNPHARM.NS,Date
2020-07-13,14.83804702758789,15.859999656677246,17.15999984741211,15.359999656677246,16.520000457763672,242725,2020-07-13
2020-07-20,14.856760025024414,15.880000114440918,16.399999618530273,15.420000076293945,16.3799991607666,265966,2020-07-20
2020-07-27,12.873363494873047,13.760000228881836,16.200000762939453,13.359999656677246,15.5,895689,2020-07-27
2020-08-03,13.004342079162598,13.899999618530273,14.579999923706055,13.619999885559082,14.359999656677246,1067812,2020-08-03
2020-08-10,13.228878021240234,14.140000343322754,15.0,14.020000457763672,14.100000381469727,3136190,2020-08-10
2020-08-17,15.492941856384277,16.559999465942383,17.1200008392334,14.079999923706055,14.4399995803833,3180381,2020-08-17
2020-08-24,14.800625801086426,15.819999694824219,18.0,15.600000381469727,16.799999237060547,1847666,2020-08-24
2020-08-31,13.73408317565918,14.680000305175781,16.079999923706055,13.9399995803833,15.880000114440918,723276,2020-08-31
2020-09-07,13.28501033782959,14.199999809265137,15.0,13.220000267028809,14.979999542236328,339954,2020-09-07
2020-09-14,15.623923301696777,16.700000762939453,17.399999618530273,13.600000381469727,14.960000038146973,1220831,2020-09-14
2020-09-21,14.127019882202148,15.100000381469727,17.200000762939453,13.640000343322754,16.940000534057617,822006,2020-09-21
2020-09-28,14.468602180480957,15.260000228881836,15.84000015258789,14.039999961853027,15.319999694824219,335567,2020-09-28
2020-10-05,16.649320602416992,17.559999465942383,18.600000381469727,14.800000190734863,15.15999984741211,3009609,2020-10-05
2020-10-12,15.83392333984375,16.700000762939453,18.260000228881836,15.739999771118164,18.260000228881836,1008004,2020-10-12
2020-10-19,15.35985279083252,16.200000762939453,17.200000762939453,15.720000267028809,16.899999618530273,507656,2020-10-19
2020-10-26,14.658228874206543,15.460000038146973,16.5,15.279999732971191,16.399999618530273,448738,2020-10-26
2020-11-02,15.26503849029541,16.100000381469727,16.399999618530273,14.9399995803833,15.960000038146973,690419,2020-11-02
2020-11-09,18.22323226928711,19.219999313354492,19.719999313354492,15.4399995803833,16.399999618530273,2060375,2020-11-09
2020-11-16,24.044803619384766,25.360000610351562,30.420000076293945,16.440000534057617,16.440000534057617,16618514,2020-11-16
2020-11-23,23.722436904907227,25.020000457763672,27.579999923706055,22.799999237060547,26.600000381469727,3406018,2020-11-23
2020-11-30,22.831186294555664,24.079999923706055,25.799999237060547,22.639999389648438,25.020000457763672,1261144,2020-11-30
2020-12-07,25.220497131347656,26.600000381469727,30.200000762939453,24.239999771118164,25.360000610351562,4516144,2020-12-07
2020-12-14,26.43411636352539,27.8799991607666,31.260000228881836,26.360000610351562,27.3799991607666,4280664,2020-12-14
2020-12-21,26.756481170654297,28.219999313354492,31.399999618530273,23.239999771118164,28.0,2575826,2020-12-21
2020-12-28,30.549039840698242,32.220001220703125,33.91999816894531,27.920000076293945,29.200000762939453,4340707,2020-12-28
2021-01-04,31.800586700439453,33.540000915527344,35.619998931884766,31.65999984741211,32.380001068115234,4981899,2021-01-04
2021-01-11,30.378374099731445,32.040000915527344,33.880001068115234,30.799999237060547,33.880001068115234,1596993,2021-01-11
2021-01-18,28.38728141784668,29.940000534057617,32.619998931884766,29.65999984741211,32.040000915527344,814268,2021-01-18
2021-01-25,28.311431884765625,29.860000610351562,32.7599983215332,28.920000076293945,30.15999984741211,1772159,2021-01-25
2021-02-01,28.38728141784668,29.940000534057617,31.479999542236328,29.139999389648438,30.0,939583,2021-02-01
2021-02-08,31.26962661743164,32.97999954223633,33.58000183105469,29.940000534057617,29.940000534057617,1535636,2021-02-08
2021-02-15,31.81954574584961,33.560001373291016,38.380001068115234,31.399999618530273,33.20000076293945,6296576,2021-02-15
2021-02-22,34.75877380371094,36.65999984741211,40.79999923706055,33.36000061035156,33.599998474121094,5869506,2021-02-22
2021-03-01,34.3226318359375,36.20000076293945,39.0,34.97999954223633,36.86000061035156,5514402,2021-03-01
2021-03-08,33.469303131103516,35.29999923706055,37.31999969482422,34.540000915527344,36.5,2693429,2021-03-08
2021-03-15,29.67675018310547,31.299999237060547,37.08000183105469,30.260000228881836,35.86000061035156,4636024,2021-03-15
2021-03-22,30.22667121887207,31.8799991607666,35.119998931884766,30.360000610351562,31.239999771118164,4766102,2021-03-22
2021-03-29,30.302522659301758,31.959999084472656,34.0,30.479999542236328,31.8799991607666,2633490,2021-03-29
2021-04-05,31.610952377319336,33.34000015258789,34.18000030517578,30.899999618530273,32.220001220703125,3975996,2021-04-05
2021-04-12,30.340450286865234,32.0,33.119998931884766,30.100000381469727,33.119998931884766,3484566,2021-04-12
2021-04-19,37.11015701293945,39.13999938964844,43.7599983215332,31.0,31.8799991607666,12078559,2021-04-19
