Date,Adj Close_EUREKAFORB.NS,Close_EUREKAFORB.NS,High_EUREKAFORB.NS,Low_EUREKAFORB.NS,Open_EUREKAFORB.NS,Volume_EUREKAFORB.NS,Date
2024-09-09,541.2000122070312,541.2000122070312,549.25,493.25,499.45001220703125,1796727,2024-09-09
2024-09-16,538.5499877929688,538.5499877929688,549.0,512.0,549.0,1756793,2024-09-16
2024-09-23,570.25,570.25,577.0,536.0499877929688,542.0,1655632,2024-09-23
2024-09-30,563.25,563.25,599.9000244140625,550.5,570.25,1879181,2024-09-30
2024-10-07,618.5,618.5,624.7999877929688,520.2999877929688,564.9000244140625,1939551,2024-10-07
2024-10-14,596.8499755859375,596.8499755859375,637.0499877929688,576.0,619.9500122070312,972851,2024-10-14
2024-10-21,530.4500122070312,530.4500122070312,603.8499755859375,511.0,592.0,778436,2024-10-21
2024-10-28,571.0999755859375,571.0999755859375,574.5,523.25,537.0,266249,2024-10-28
2024-11-04,601.5999755859375,601.5999755859375,644.0,547.25,573.6500244140625,3666720,2024-11-04
2024-11-11,594.7999877929688,594.7999877929688,626.4000244140625,555.5999755859375,603.0,1280233,2024-11-11
2024-11-18,557.7000122070312,557.7000122070312,603.4000244140625,555.7999877929688,587.5999755859375,906595,2024-11-18
2024-11-25,610.5,610.5,617.5,556.0999755859375,563.0999755859375,4607577,2024-11-25
2024-12-02,625.5999755859375,625.5999755859375,648.0,608.5499877929688,615.0,1599790,2024-12-02
2024-12-09,598.3499755859375,598.3499755859375,637.0,590.2000122070312,629.9000244140625,1021746,2024-12-09
2024-12-16,572.2000122070312,572.2000122070312,605.0,560.0,598.3499755859375,1046042,2024-12-16
2024-12-23,578.7999877929688,578.7999877929688,596.5999755859375,556.25,578.25,631286,2024-12-23
2024-12-30,601.25,601.25,606.7999877929688,568.2999877929688,574.0499877929688,980111,2024-12-30
2025-01-06,578.2000122070312,578.2000122070312,611.5499877929688,562.0,605.9500122070312,855244,2025-01-06
2025-01-13,554.2000122070312,554.2000122070312,587.4000244140625,544.0,566.0,695618,2025-01-13
2025-01-20,542.5999755859375,542.5999755859375,567.0,529.0,554.9500122070312,924546,2025-01-20
2025-01-27,557.5499877929688,557.5499877929688,559.7999877929688,489.1499938964844,534.0499877929688,1711933,2025-01-27
2025-02-03,545.7999877929688,545.7999877929688,568.0499877929688,536.0999755859375,557.9500122070312,758437,2025-02-03
2025-02-10,492.1499938964844,492.1499938964844,560.0,483.79998779296875,546.8499755859375,1132325,2025-02-10
2025-02-17,516.5,516.5,529.5499877929688,461.5,484.95001220703125,1176236,2025-02-17
2025-02-24,487.1000061035156,487.1000061035156,528.9500122070312,481.79998779296875,513.0,1150602,2025-02-24
2025-03-03,492.8999938964844,492.8999938964844,507.5,471.95001220703125,487.1000061035156,704076,2025-03-03
2025-03-10,514.9000244140625,514.9000244140625,527.0,481.0,492.8999938964844,1088100,2025-03-10
2025-03-17,540.1500244140625,540.1500244140625,558.0,503.75,510.0,3954187,2025-03-17
2025-03-24,542.25,542.25,555.1500244140625,511.1499938964844,538.9000244140625,1471016,2025-03-24
2025-03-31,508.6499938964844,508.6499938964844,542.5499877929688,502.25,540.0999755859375,366314,2025-03-31
2025-04-07,501.70001220703125,501.70001220703125,527.2000122070312,485.75,493.0,688265,2025-04-07
2025-04-14,523.2000122070312,523.2000122070312,526.4500122070312,499.75,507.04998779296875,781198,2025-04-14
2025-04-21,500.0,500.0,526.2000122070312,498.04998779296875,516.0499877929688,1225766,2025-04-21
2025-04-28,493.8999938964844,493.8999938964844,507.8500061035156,488.04998779296875,505.0,779237,2025-04-28
2025-05-05,499.6499938964844,499.6499938964844,509.0,482.0,495.0,890789,2025-05-05
2025-05-12,595.25,595.25,602.2000122070312,488.29998779296875,506.0,3007004,2025-05-12
2025-05-19,632.2000122070312,632.2000122070312,645.5,594.0499877929688,595.0,1941521,2025-05-19
2025-05-26,642.0499877929688,642.0499877929688,655.5,620.2000122070312,635.3499755859375,1043941,2025-05-26
2025-06-02,609.6500244140625,609.6500244140625,643.8499755859375,605.0499877929688,642.0499877929688,569211,2025-06-02
2025-06-09,596.5999755859375,596.5999755859375,629.0,578.0,615.0,1475927,2025-06-09
2025-06-16,590.0,590.0,599.7999877929688,583.25,598.9500122070312,791366,2025-06-16
2025-06-23,601.7999877929688,601.7999877929688,620.7000122070312,581.1500244140625,581.1500244140625,663922,2025-06-23
2025-06-30,588.2999877929688,588.2999877929688,609.4500122070312,576.1500244140625,605.7000122070312,589880,2025-06-30
2025-07-07,573.25,573.25,617.5,568.9500122070312,591.9500122070312,681902,2025-07-07
2025-07-14,572.2000122070312,572.2000122070312,579.5499877929688,562.75,571.9500122070312,270405,2025-07-14
