Date,Adj Close_DCI.NS,Close_DCI.NS,High_DCI.NS,Low_DCI.NS,Open_DCI.NS,Volume_DCI.NS,Date
2020-07-13,20.5,20.5,20.5,20.5,20.5,0,2020-07-13
2020-07-20,21.799999237060547,21.799999237060547,21.799999237060547,20.950000762939453,20.950000762939453,30000,2020-07-20
2020-07-27,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,0,2020-07-27
2020-08-03,22.299999237060547,22.299999237060547,22.299999237060547,21.799999237060547,21.799999237060547,12000,2020-08-03
2020-08-10,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0,2020-08-10
2020-08-17,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0,2020-08-17
2020-08-24,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0,2020-08-24
2020-08-31,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0,2020-08-31
2020-09-07,20.75,20.75,22.299999237060547,20.75,22.299999237060547,6000,2020-09-07
2020-09-14,20.75,20.75,20.75,20.75,20.75,0,2020-09-14
2020-09-21,20.75,20.75,20.75,20.75,20.75,0,2020-09-21
2020-09-28,20.75,20.75,20.75,20.75,20.75,0,2020-09-28
2020-10-05,20.75,20.75,20.75,20.75,20.75,0,2020-10-05
2020-10-12,20.75,20.75,20.75,20.75,20.75,0,2020-10-12
2020-10-19,20.75,20.75,20.75,20.75,20.75,0,2020-10-19
2020-10-26,20.75,20.75,20.75,20.75,20.75,0,2020-10-26
2020-11-02,20.75,20.75,20.75,20.75,20.75,0,2020-11-02
2020-11-09,20.75,20.75,20.75,20.75,20.75,0,2020-11-09
2020-11-16,20.25,20.25,20.75,20.25,20.75,6000,2020-11-16
2020-11-23,20.25,20.25,20.25,20.25,20.25,0,2020-11-23
2020-11-30,21.0,21.0,21.0,20.25,20.25,6000,2020-11-30
2020-12-07,21.0,21.0,21.0,21.0,21.0,0,2020-12-07
2020-12-14,20.0,20.0,20.0,20.0,20.0,6000,2020-12-14
2020-12-21,20.0,20.0,20.0,20.0,20.0,0,2020-12-21
2020-12-28,20.0,20.0,20.0,20.0,20.0,0,2020-12-28
2021-01-04,20.0,20.0,20.0,20.0,20.0,0,2021-01-04
2021-01-11,21.0,21.0,21.0,20.0,20.0,12000,2021-01-11
2021-01-18,21.0,21.0,21.0,21.0,21.0,0,2021-01-18
2021-01-25,21.0,21.0,21.0,21.0,21.0,0,2021-01-25
2021-02-01,21.549999237060547,21.549999237060547,21.549999237060547,21.0,21.0,6000,2021-02-01
2021-02-08,20.75,20.75,22.0,20.75,22.0,12000,2021-02-08
2021-02-15,22.024999618530273,22.024999618530273,22.024999618530273,20.274999618530273,20.75,12000,2021-02-15
2021-02-22,22.524999618530273,22.524999618530273,22.549999237060547,22.049999237060547,22.049999237060547,72000,2021-02-22
2021-03-01,23.125,23.125,23.125,22.5,22.5,96000,2021-03-01
2021-03-08,23.25,23.25,23.25,23.125,23.125,42000,2021-03-08
2021-03-15,23.375,23.375,23.375,23.25,23.25,42000,2021-03-15
2021-03-22,23.799999237060547,23.799999237060547,23.799999237060547,23.375,23.375,42000,2021-03-22
2021-03-29,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,0,2021-03-29
2021-04-05,23.850000381469727,23.850000381469727,23.850000381469727,23.5,23.799999237060547,84000,2021-04-05
2021-04-12,23.75,23.75,23.75,23.75,23.75,48000,2021-04-12
2021-04-19,23.5,23.5,23.5,23.5,23.5,6000,2021-04-19
2021-04-26,23.5,23.5,23.5,23.5,23.5,0,2021-04-26
2021-05-03,23.5,23.5,23.5,23.5,23.5,6000,2021-05-03
2021-05-10,23.5,23.5,23.5,23.5,23.5,0,2021-05-10
2021-05-17,23.5,23.5,23.5,23.5,23.5,0,2021-05-17
2021-05-24,23.700000762939453,23.700000762939453,23.700000762939453,23.5,23.5,48000,2021-05-24
2021-05-31,24.049999237060547,24.049999237060547,24.049999237060547,23.700000762939453,23.700000762939453,84000,2021-05-31
2021-06-07,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,12000,2021-06-07
2021-06-14,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,0,2021-06-14
2021-06-21,24.450000762939453,24.450000762939453,24.450000762939453,23.0,24.350000381469727,12000,2021-06-21
2021-06-28,25.0,25.0,25.0,24.450000762939453,24.450000762939453,6000,2021-06-28
2021-07-05,27.0,27.0,27.0,25.0,25.0,84000,2021-07-05
2021-07-12,25.25,25.25,27.0,25.25,27.0,6000,2021-07-12
2021-07-19,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,6000,2021-07-19
2021-07-26,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,0,2021-07-26
2021-08-02,28.5,28.5,28.5,27.200000762939453,27.200000762939453,6000,2021-08-02
2021-08-09,29.774999618530273,29.774999618530273,30.024999618530273,28.875,28.875,48000,2021-08-09
2021-08-16,32.75,32.75,32.75,30.125,30.125,120000,2021-08-16
2021-08-23,33.775001525878906,33.775001525878906,33.775001525878906,32.75,32.75,18000,2021-08-23
2021-08-30,32.17499923706055,32.17499923706055,33.775001525878906,31.75,33.775001525878906,78000,2021-08-30
2021-09-06,33.0,33.0,33.5,32.25,32.25,102000,2021-09-06
2021-09-13,33.0,33.0,33.25,33.0,33.0,120000,2021-09-13
2021-09-20,33.0,33.0,33.0,33.0,33.0,0,2021-09-20
2021-09-27,33.25,33.25,33.25,33.0,33.0,12000,2021-09-27
2021-10-04,33.25,33.25,33.25,33.25,33.25,0,2021-10-04
2021-10-11,33.25,33.25,33.25,33.25,33.25,0,2021-10-11
2021-10-18,33.25,33.25,33.25,33.25,33.25,0,2021-10-18
2021-10-25,33.25,33.25,33.25,33.25,33.25,0,2021-10-25
2021-11-01,34.599998474121094,34.599998474121094,34.599998474121094,33.25,33.25,6000,2021-11-01
2021-11-08,48.375,48.375,48.375,34.599998474121094,34.599998474121094,24000,2021-11-08
2021-11-15,42.5,42.5,48.375,42.5,48.375,12000,2021-11-15
2021-11-22,35.75,35.75,42.5,35.75,42.5,66000,2021-11-22
2021-11-29,43.599998474121094,43.599998474121094,43.599998474121094,37.04999923706055,37.04999923706055,36000,2021-11-29
2021-12-06,43.599998474121094,43.599998474121094,43.599998474121094,43.599998474121094,43.599998474121094,6000,2021-12-06
2021-12-13,41.0,41.0,43.599998474121094,41.0,43.599998474121094,12000,2021-12-13
2021-12-20,41.0,41.0,41.0,41.0,41.0,0,2021-12-20
2021-12-27,41.0,41.0,41.0,41.0,41.0,0,2021-12-27
2022-01-03,48.0,48.0,50.0,41.0,41.0,54000,2022-01-03
2022-01-10,43.599998474121094,43.599998474121094,43.599998474121094,43.599998474121094,43.599998474121094,6000,2022-01-10
2022-01-17,41.0,41.0,42.29999923706055,41.0,42.29999923706055,12000,2022-01-17
2022-01-24,36.25,36.25,41.0,36.25,41.0,6000,2022-01-24
2022-01-31,36.54999923706055,36.54999923706055,36.54999923706055,35.95000076293945,36.25,42000,2022-01-31
2022-02-07,38.70000076293945,38.70000076293945,38.79999923706055,36.75,36.75,66000,2022-02-07
2022-02-14,41.29999923706055,41.29999923706055,41.29999923706055,38.70000076293945,38.70000076293945,66000,2022-02-14
2022-02-21,41.5,41.5,41.5,39.0,41.29999923706055,78000,2022-02-21
2022-02-28,44.29999923706055,44.29999923706055,44.29999923706055,41.70000076293945,41.70000076293945,108000,2022-02-28
