Date,Adj Close_SGIL.NS,Close_SGIL.NS,High_SGIL.NS,Low_SGIL.NS,Open_SGIL.NS,Volume_SGIL.NS,Date
2021-07-26,192.6999969482422,192.6999969482422,200.0,150.5500030517578,182.9499969482422,531941,2021-07-26
2021-08-02,176.89999389648438,176.89999389648438,198.75,169.85000610351562,198.75,128133,2021-08-02
2021-08-09,167.85000610351562,167.85000610351562,194.0,150.9499969482422,194.0,70510,2021-08-09
2021-08-16,153.10000610351562,153.10000610351562,174.0,150.8000030517578,170.0,60489,2021-08-16
2021-08-23,153.9499969482422,153.9499969482422,167.9499969482422,142.25,167.9499969482422,23480,2021-08-23
2021-08-30,155.0,155.0,168.0,152.35000610351562,155.0500030517578,30233,2021-08-30
2021-09-06,158.9499969482422,158.9499969482422,163.85000610351562,152.25,158.0,18439,2021-09-06
2021-09-13,150.0,150.0,162.9499969482422,147.10000610351562,157.89999389648438,90839,2021-09-13
2021-09-20,147.9499969482422,147.9499969482422,153.0,143.0,150.0,45119,2021-09-20
2021-09-27,142.39999389648438,142.39999389648438,150.25,138.60000610351562,147.9499969482422,44420,2021-09-27
2021-10-04,141.39999389648438,141.39999389648438,150.0,137.85000610351562,146.0,88135,2021-10-04
2021-10-11,150.75,150.75,162.0,142.0,144.0,129621,2021-10-11
2021-10-18,148.0,148.0,158.9499969482422,144.60000610351562,154.0,124337,2021-10-18
2021-10-25,145.10000610351562,145.10000610351562,151.5,135.89999389648438,148.0,59012,2021-10-25
2021-11-01,146.3000030517578,146.3000030517578,156.5,142.14999389648438,142.60000610351562,55120,2021-11-01
2021-11-08,165.9499969482422,165.9499969482422,177.0,144.0,151.8000030517578,159055,2021-11-08
2021-11-15,149.1999969482422,149.1999969482422,184.89999389648438,146.1999969482422,179.6999969482422,75108,2021-11-15
2021-11-22,156.5,156.5,169.8000030517578,141.89999389648438,153.89999389648438,51956,2021-11-22
2021-11-29,154.25,154.25,161.0,146.4499969482422,159.3000030517578,40622,2021-11-29
2021-12-06,154.3000030517578,154.3000030517578,158.85000610351562,143.9499969482422,153.10000610351562,29395,2021-12-06
2021-12-13,165.0,165.0,176.75,153.0,158.85000610351562,105437,2021-12-13
2021-12-20,161.35000610351562,161.35000610351562,172.8000030517578,156.8000030517578,165.0,37520,2021-12-20
2021-12-27,166.0,166.0,172.85000610351562,158.1999969482422,166.85000610351562,41297,2021-12-27
2022-01-03,171.6999969482422,171.6999969482422,179.10000610351562,166.1999969482422,166.1999969482422,122375,2022-01-03
2022-01-10,184.85000610351562,184.85000610351562,194.25,164.25,170.10000610351562,285516,2022-01-10
2022-01-17,208.60000610351562,208.60000610351562,243.0,190.0,195.8000030517578,681489,2022-01-17
2022-01-24,204.8000030517578,204.8000030517578,215.0,177.5500030517578,204.0,135508,2022-01-24
2022-01-31,201.8000030517578,201.8000030517578,220.0,192.14999389648438,212.0,92032,2022-01-31
2022-02-07,184.6999969482422,184.6999969482422,210.89999389648438,181.14999389648438,203.0,54508,2022-02-07
2022-02-14,170.75,170.75,189.6999969482422,167.0,175.1999969482422,42563,2022-02-14
2022-02-21,156.10000610351562,156.10000610351562,168.5,141.5500030517578,167.39999389648438,55509,2022-02-21
2022-02-28,152.35000610351562,152.35000610351562,168.0500030517578,150.0,159.85000610351562,30608,2022-02-28
2022-03-07,161.60000610351562,161.60000610351562,164.8000030517578,146.5500030517578,152.35000610351562,34949,2022-03-07
2022-03-14,179.25,179.25,185.9499969482422,152.0,165.5,107957,2022-03-14
