Date,Adj Close_CCHHL.NS,Close_CCHHL.NS,High_CCHHL.NS,Low_CCHHL.NS,Open_CCHHL.NS,Volume_CCHHL.NS,Date
2020-07-13,3.200000047683716,3.200000047683716,3.450000047683716,3.1500000953674316,3.4000000953674316,64916,2020-07-13
2020-07-20,2.950000047683716,2.950000047683716,3.4000000953674316,2.8499999046325684,3.200000047683716,158448,2020-07-20
2020-07-27,2.8499999046325684,2.8499999046325684,3.0,2.6500000953674316,2.950000047683716,216939,2020-07-27
2020-08-03,3.049999952316284,3.049999952316284,3.049999952316284,2.700000047683716,2.75,103547,2020-08-03
2020-08-10,3.1500000953674316,3.1500000953674316,3.3499999046325684,2.950000047683716,3.1500000953674316,295222,2020-08-10
2020-08-17,3.0999999046325684,3.0999999046325684,3.299999952316284,3.0,3.299999952316284,245285,2020-08-17
2020-08-24,3.450000047683716,3.450000047683716,3.549999952316284,3.049999952316284,3.200000047683716,381394,2020-08-24
2020-08-31,3.200000047683716,3.200000047683716,3.5,3.0,3.5,227651,2020-08-31
2020-09-07,3.1500000953674316,3.1500000953674316,3.25,2.9000000953674316,3.200000047683716,219964,2020-09-07
2020-09-14,3.049999952316284,3.049999952316284,3.299999952316284,2.950000047683716,3.299999952316284,296982,2020-09-14
2020-09-21,2.8499999046325684,2.8499999046325684,3.1500000953674316,2.700000047683716,3.1500000953674316,162723,2020-09-21
2020-09-28,2.9000000953674316,2.9000000953674316,2.950000047683716,2.75,2.8499999046325684,83972,2020-09-28
2020-10-05,2.950000047683716,2.950000047683716,3.0999999046325684,2.9000000953674316,3.0,236637,2020-10-05
2020-10-12,2.950000047683716,2.950000047683716,3.0999999046325684,2.799999952316284,3.0999999046325684,206816,2020-10-12
2020-10-19,3.0999999046325684,3.0999999046325684,3.0999999046325684,2.9000000953674316,3.049999952316284,175115,2020-10-19
2020-10-26,3.0,3.0,3.1500000953674316,2.950000047683716,3.1500000953674316,168084,2020-10-26
2020-11-02,3.049999952316284,3.049999952316284,3.0999999046325684,2.9000000953674316,3.0,133010,2020-11-02
2020-11-09,3.4000000953674316,3.4000000953674316,3.799999952316284,2.950000047683716,3.0,582132,2020-11-09
2020-11-16,3.3499999046325684,3.3499999046325684,3.6500000953674316,3.299999952316284,3.5,190546,2020-11-16
2020-11-23,3.450000047683716,3.450000047683716,3.5999999046325684,3.3499999046325684,3.450000047683716,192089,2020-11-23
2020-11-30,3.700000047683716,3.700000047683716,3.75,3.3499999046325684,3.450000047683716,411409,2020-11-30
2020-12-07,6.900000095367432,6.900000095367432,6.900000095367432,3.6500000953674316,3.75,1424893,2020-12-07
2020-12-14,5.599999904632568,5.599999904632568,7.199999809265137,5.599999904632568,7.199999809265137,710573,2020-12-14
2020-12-21,5.599999904632568,5.599999904632568,5.599999904632568,4.849999904632568,5.349999904632568,304495,2020-12-21
2020-12-28,4.900000095367432,4.900000095367432,5.800000190734863,4.75,5.800000190734863,436018,2020-12-28
2021-01-04,5.699999809265137,5.699999809265137,5.800000190734863,4.900000095367432,5.099999904632568,515089,2021-01-04
2021-01-11,5.0,5.0,5.949999809265137,5.0,5.800000190734863,230909,2021-01-11
2021-01-18,5.0,5.0,5.400000095367432,4.75,4.75,168732,2021-01-18
2021-01-25,4.900000095367432,4.900000095367432,5.150000095367432,4.75,5.0,104742,2021-01-25
2021-02-01,4.949999809265137,4.949999809265137,5.25,4.75,5.0,286365,2021-02-01
2021-02-08,4.800000190734863,4.800000190734863,5.400000095367432,4.75,5.400000095367432,479453,2021-02-08
2021-02-15,4.75,4.75,5.300000190734863,4.699999809265137,4.949999809265137,434292,2021-02-15
2021-02-22,4.900000095367432,4.900000095367432,5.150000095367432,4.449999809265137,4.900000095367432,202992,2021-02-22
2021-03-01,4.949999809265137,4.949999809265137,5.150000095367432,4.650000095367432,4.949999809265137,234832,2021-03-01
2021-03-08,4.849999904632568,4.849999904632568,5.150000095367432,4.800000190734863,5.150000095367432,191831,2021-03-08
2021-03-15,4.550000190734863,4.550000190734863,5.050000190734863,4.150000095367432,5.050000190734863,287723,2021-03-15
2021-03-22,3.9000000953674316,3.9000000953674316,4.550000190734863,3.799999952316284,4.550000190734863,359477,2021-03-22
2021-03-29,4.449999809265137,4.449999809265137,4.5,3.9000000953674316,3.9000000953674316,128959,2021-03-29
2021-04-05,4.449999809265137,4.449999809265137,4.650000095367432,3.950000047683716,4.5,229560,2021-04-05
2021-04-12,3.950000047683716,3.950000047683716,4.449999809265137,3.5999999046325684,4.449999809265137,277051,2021-04-12
2021-04-19,3.9000000953674316,3.9000000953674316,4.099999904632568,3.3499999046325684,3.9000000953674316,341431,2021-04-19
2021-04-26,4.550000190734863,4.550000190734863,5.25,3.25,4.0,1218619,2021-04-26
