Date,Adj Close_TORNTPHARM.NS,Close_TORNTPHARM.NS,High_TORNTPHARM.NS,Low_TORNTPHARM.NS,Open_TORNTPHARM.NS,Volume_TORNTPHARM.NS,Date
2020-07-13,1128.6641845703125,1196.8499755859375,1232.5,1183.4000244140625,1220.0,2902510,2020-07-13
2020-07-20,1096.4127197265625,1162.6500244140625,1208.4000244140625,1158.0,1208.4000244140625,3424376,2020-07-20
2020-07-27,1255.9261474609375,1331.800048828125,1377.699951171875,1115.925048828125,1171.6500244140625,18306292,2020-07-27
2020-08-03,1386.748046875,1470.5250244140625,1500.75,1325.0,1331.800048828125,16200700,2020-08-03
2020-08-10,1338.6060791015625,1419.4749755859375,1515.5999755859375,1389.0250244140625,1474.9000244140625,10497006,2020-08-10
2020-08-17,1332.24072265625,1412.7249755859375,1439.25,1385.2750244140625,1434.5,5449718,2020-08-17
2020-08-24,1277.5450439453125,1354.7249755859375,1427.5,1352.0,1422.199951171875,4590100,2020-08-24
2020-08-31,1305.718017578125,1384.5999755859375,1416.75,1308.6500244140625,1363.324951171875,9325894,2020-08-31
2020-09-07,1337.7808837890625,1418.5999755859375,1426.4749755859375,1360.0250244140625,1391.699951171875,5596150,2020-09-07
2020-09-14,1356.21728515625,1438.1500244140625,1472.25,1390.574951171875,1423.0,6737452,2020-09-14
2020-09-21,1282.1658935546875,1359.625,1445.25,1227.5,1445.0,5763906,2020-09-21
2020-09-28,1328.350830078125,1408.5999755859375,1424.5,1323.625,1365.0,7444090,2020-09-28
2020-10-05,1320.09912109375,1399.8499755859375,1467.0,1380.5999755859375,1408.5999755859375,6603612,2020-10-05
2020-10-12,1293.93017578125,1372.0999755859375,1448.0,1341.25,1410.0,4336416,2020-10-12
2020-10-19,1289.0025634765625,1366.875,1407.25,1324.5,1369.9000244140625,5508422,2020-10-19
2020-10-26,1210.30712890625,1283.425048828125,1387.199951171875,1249.5250244140625,1376.449951171875,8106590,2020-10-26
2020-11-02,1205.4268798828125,1278.25,1317.25,1254.175048828125,1283.0,3561884,2020-11-02
2020-11-09,1286.315185546875,1364.0250244140625,1377.949951171875,1209.375,1285.4000244140625,8989138,2020-11-09
2020-11-16,1230.6055908203125,1304.949951171875,1370.0,1296.5,1364.675048828125,5650188,2020-11-16
