Date,Adj Close_SABTNL.NS,Close_SABTNL.NS,High_SABTNL.NS,Low_SABTNL.NS,Open_SABTNL.NS,Volume_SABTNL.NS,Date
2022-03-21,200.0,200.0,225.0,200.0,225.0,396,2022-03-21
2022-03-28,185.0,185.0,200.0,180.0,190.0,796,2022-03-28
2022-04-04,195.0,195.0,200.0,180.0,180.0,240,2022-04-04
2022-04-11,205.0,205.0,210.0,190.0,190.0,275,2022-04-11
2022-04-18,185.0,185.0,205.0,185.0,205.0,558,2022-04-18
2022-04-25,185.0,185.0,190.0,180.0,180.0,42,2022-04-25
2022-05-02,175.0,175.0,185.0,175.0,185.0,184,2022-05-02
2022-05-09,155.0,155.0,175.0,155.0,175.0,16,2022-05-09
2022-05-16,150.0,150.0,150.0,140.0,150.0,59,2022-05-16
2022-05-23,145.0,145.0,150.0,135.0,145.0,77,2022-05-23
2022-05-30,130.0,130.0,145.0,130.0,145.0,98,2022-05-30
2022-06-06,125.0,125.0,130.0,120.0,130.0,27,2022-06-06
2022-06-13,145.0,145.0,145.0,130.0,130.0,74,2022-06-13
2022-06-20,165.0,165.0,165.0,150.0,150.0,249,2022-06-20
2022-06-27,170.0,170.0,175.0,160.0,170.0,368,2022-06-27
2022-07-04,190.0,190.0,190.0,165.0,170.0,341,2022-07-04
2022-07-11,190.0,190.0,190.0,190.0,190.0,0,2022-07-11
2022-07-18,185.0,185.0,185.0,185.0,185.0,23,2022-07-18
2022-07-25,180.0,180.0,190.0,180.0,185.0,64,2022-07-25
2022-08-01,175.0,175.0,180.0,175.0,180.0,50,2022-08-01
2022-08-08,170.0,170.0,180.0,170.0,175.0,178,2022-08-08
2022-08-15,165.0,165.0,170.0,165.0,170.0,1563,2022-08-15
2022-08-22,160.0,160.0,165.0,160.0,160.0,146,2022-08-22
2022-08-29,155.0,155.0,160.0,145.0,160.0,459,2022-08-29
2022-09-05,180.0,180.0,180.0,160.0,160.0,319,2022-09-05
2022-09-12,210.0,210.0,210.0,185.0,185.0,451,2022-09-12
2022-09-19,235.0,235.0,235.0,210.0,220.0,664,2022-09-19
2022-09-26,235.0,235.0,235.0,235.0,235.0,13,2022-09-26
2022-10-03,225.0,225.0,235.0,225.0,230.0,272,2022-10-03
2022-10-10,225.0,225.0,225.0,225.0,225.0,0,2022-10-10
2022-10-17,230.0,230.0,230.0,220.0,225.0,10,2022-10-17
2022-10-24,230.0,230.0,230.0,230.0,230.0,2,2022-10-24
2022-10-31,200.0,200.0,230.0,200.0,230.0,264,2022-10-31
2022-11-07,180.0,180.0,200.0,180.0,195.0,102,2022-11-07
2022-11-14,160.0,160.0,180.0,155.0,180.0,202,2022-11-14
2022-11-21,170.0,170.0,170.0,155.0,160.0,64,2022-11-21
2022-11-28,185.0,185.0,185.0,170.0,170.0,66,2022-11-28
2022-12-05,195.0,195.0,195.0,180.0,190.0,197,2022-12-05
2022-12-12,240.0,240.0,240.0,200.0,200.0,708,2022-12-12
2022-12-19,270.0,270.0,270.0,250.0,250.0,728,2022-12-19
2022-12-26,260.0,260.0,270.0,260.0,270.0,71,2022-12-26
2023-01-02,250.0,250.0,250.0,250.0,250.0,0,2023-01-02
2023-01-09,250.0,250.0,250.0,250.0,250.0,0,2023-01-09
2023-01-16,240.0,240.0,250.0,240.0,250.0,5,2023-01-16
2023-01-23,230.0,230.0,230.0,230.0,230.0,10,2023-01-23
2023-01-30,200.0,200.0,230.0,200.0,230.0,178,2023-01-30
2023-02-06,175.0,175.0,210.0,170.0,200.0,448,2023-02-06
2023-02-13,160.0,160.0,180.0,160.0,180.0,287,2023-02-13
2023-02-20,160.0,160.0,175.0,160.0,160.0,376,2023-02-20
2023-02-27,170.0,170.0,170.0,150.0,165.0,447,2023-02-27
2023-03-06,160.0,160.0,175.0,160.0,175.0,357,2023-03-06
2023-03-13,155.0,155.0,165.0,155.0,160.0,201,2023-03-13
2023-03-20,155.0,155.0,165.0,155.0,155.0,176,2023-03-20
2023-03-27,165.0,165.0,165.0,150.0,160.0,71,2023-03-27
2023-04-03,160.0,160.0,165.0,160.0,160.0,17,2023-04-03
2023-04-10,165.0,165.0,165.0,155.0,165.0,61,2023-04-10
2023-04-17,165.0,165.0,165.0,160.0,165.0,47,2023-04-17
2023-04-24,165.0,165.0,165.0,160.0,165.0,15,2023-04-24
2023-05-01,150.0,150.0,165.0,150.0,165.0,72,2023-05-01
2023-05-08,160.0,160.0,160.0,145.0,155.0,118,2023-05-08
2023-05-15,155.0,155.0,160.0,150.0,160.0,8,2023-05-15
2023-05-22,155.0,155.0,160.0,150.0,155.0,52,2023-05-22
2023-05-29,150.0,150.0,155.0,140.0,155.0,518,2023-05-29
2023-06-05,160.0,160.0,165.0,145.0,150.0,257,2023-06-05
2023-06-12,150.0,150.0,160.0,150.0,155.0,107,2023-06-12
2023-06-19,145.0,145.0,150.0,130.0,145.0,186,2023-06-19
2023-06-26,140.0,140.0,145.0,135.0,145.0,59,2023-06-26
2023-07-03,130.0,130.0,140.0,130.0,135.0,378,2023-07-03
2023-07-10,135.0,135.0,140.0,130.0,130.0,140,2023-07-10
2023-07-17,135.0,135.0,145.0,130.0,130.0,302,2023-07-17
2023-07-24,140.0,140.0,140.0,130.0,135.0,40,2023-07-24
2023-07-31,150.0,150.0,150.0,140.0,140.0,40,2023-07-31
2023-08-07,145.0,145.0,145.0,145.0,145.0,1,2023-08-07
2023-08-14,145.0,145.0,145.0,140.0,145.0,51,2023-08-14
2023-08-21,140.0,140.0,145.0,140.0,145.0,35,2023-08-21
2023-08-28,135.0,135.0,135.0,135.0,135.0,8,2023-08-28
2023-09-04,130.0,130.0,130.0,130.0,130.0,101,2023-09-04
2023-09-11,130.0,130.0,130.0,130.0,130.0,80,2023-09-11
2023-09-18,130.0,130.0,130.0,125.0,125.0,203,2023-09-18
2023-09-25,130.0,130.0,130.0,130.0,130.0,81,2023-09-25
2023-10-02,150.0,150.0,150.0,125.0,130.0,125,2023-10-02
2023-10-09,165.0,165.0,165.0,155.0,155.0,239,2023-10-09
2023-10-16,165.0,165.0,165.0,165.0,165.0,10,2023-10-16
2023-10-23,165.0,165.0,165.0,165.0,165.0,1,2023-10-23
2023-10-30,165.0,165.0,170.0,165.0,165.0,25,2023-10-30
2023-11-06,160.0,160.0,165.0,160.0,165.0,20,2023-11-06
2023-11-13,160.0,160.0,160.0,160.0,160.0,1,2023-11-13
2023-11-20,155.0,155.0,165.0,155.0,165.0,42,2023-11-20
2023-11-27,155.0,155.0,155.0,150.0,155.0,94,2023-11-27
2023-12-04,180.0,180.0,180.0,160.0,160.0,41,2023-12-04
2023-12-11,195.0,195.0,195.0,185.0,185.0,363,2023-12-11
