Date,Adj Close_DIAMONDYD.NS,Close_DIAMONDYD.NS,High_DIAMONDYD.NS,Low_DIAMONDYD.NS,Open_DIAMONDYD.NS,Volume_DIAMONDYD.NS,Date
2020-07-13,545.9339599609375,549.5999755859375,556.3499755859375,530.0,553.75,42062,2020-07-13
2020-07-20,552.986572265625,556.7000122070312,597.7999877929688,550.0,555.0,48659,2020-07-20
2020-07-27,527.4083862304688,530.9500122070312,562.0,522.3499755859375,560.0,56415,2020-07-27
2020-08-03,549.8576049804688,553.5499877929688,583.75,521.0,534.9500122070312,164214,2020-08-03
2020-08-10,560.1385498046875,563.9000244140625,617.0,555.0999755859375,561.9500122070312,137518,2020-08-10
2020-08-17,585.22021484375,589.1500244140625,600.0499877929688,566.0,570.0,42843,2020-08-17
2020-08-24,621.5759887695312,625.75,638.25,585.0999755859375,595.0499877929688,111039,2020-08-24
2020-08-31,614.424072265625,618.5499877929688,648.7999877929688,591.0999755859375,642.0,311724,2020-08-31
2020-09-07,623.06591796875,627.25,636.7999877929688,587.2999877929688,636.7999877929688,109367,2020-09-07
2020-09-14,627.1444702148438,630.2999877929688,640.0,611.0,621.5499877929688,37241,2020-09-14
2020-09-21,611.5728149414062,614.6500244140625,635.0,570.0999755859375,635.0,27876,2020-09-21
2020-09-28,600.18017578125,603.2000122070312,624.7999877929688,595.0499877929688,624.7999877929688,11227,2020-09-28
2020-10-05,594.0111083984375,597.0,609.7999877929688,590.0,607.0499877929688,9083,2020-10-05
2020-10-12,593.1654052734375,596.1500244140625,608.9500122070312,590.0,608.9500122070312,11900,2020-10-12
2020-10-19,593.5136108398438,596.5,636.75,561.0999755859375,594.0499877929688,41271,2020-10-19
2020-10-26,595.055908203125,598.0499877929688,606.5,576.7999877929688,606.0,13028,2020-10-26
2020-11-02,604.309326171875,607.3499755859375,613.9500122070312,582.0,598.0499877929688,24241,2020-11-02
2020-11-09,612.9656982421875,616.0499877929688,622.7999877929688,603.0999755859375,614.4500122070312,14319,2020-11-09
2020-11-16,613.5628051757812,616.6500244140625,659.0,610.0499877929688,615.0999755859375,44212,2020-11-16
2020-11-23,645.6015014648438,648.8499755859375,671.5,612.1500244140625,630.0,27727,2020-11-23
2020-11-30,687.4907836914062,690.9500122070312,693.0,648.8499755859375,648.8499755859375,35174,2020-11-30
2020-12-07,672.764892578125,676.1500244140625,700.0,669.9500122070312,695.0,25863,2020-12-07
2020-12-14,689.4310302734375,692.9000244140625,739.0,660.0,688.9000244140625,55752,2020-12-14
2020-12-21,677.8890380859375,681.2999877929688,706.0,631.7999877929688,689.25,26499,2020-12-21
2020-12-28,672.2674560546875,675.6500244140625,691.0,649.8499755859375,687.9500122070312,33065,2020-12-28
2021-01-04,662.86474609375,666.2000122070312,684.0,653.6500244140625,682.2000122070312,23092,2021-01-04
2021-01-11,718.634033203125,722.25,743.9500122070312,650.0,676.2000122070312,119541,2021-01-11
2021-01-18,662.9642333984375,666.2999877929688,725.0,660.0999755859375,715.0,68834,2021-01-18
2021-01-25,684.00830078125,687.4500122070312,694.0,628.9000244140625,669.5999755859375,25093,2021-01-25
2021-02-01,703.1122436523438,706.6500244140625,760.4500122070312,675.0999755859375,685.0,93718,2021-02-01
2021-02-08,661.1732177734375,664.5,714.5,646.0499877929688,711.0,61477,2021-02-08
2021-02-15,645.8502807617188,649.0999755859375,679.7999877929688,635.0999755859375,667.7999877929688,62812,2021-02-15
2021-02-22,629.0846557617188,632.25,664.0,601.3499755859375,664.0,65063,2021-02-22
2021-03-01,658.4866943359375,661.7999877929688,727.0999755859375,632.25,632.25,64838,2021-03-01
2021-03-08,654.656005859375,657.9500122070312,670.0499877929688,642.75,662.0,39954,2021-03-08
2021-03-15,626.8458862304688,630.0,664.0,619.8499755859375,663.9500122070312,25413,2021-03-15
2021-03-22,604.309326171875,607.3499755859375,641.4000244140625,605.0,630.9000244140625,19247,2021-03-22
2021-03-29,590.9764404296875,593.9500122070312,615.4000244140625,575.9000244140625,607.3499755859375,30708,2021-03-29
2021-04-05,567.0965576171875,569.9500122070312,604.0,565.0,594.9500122070312,54137,2021-04-05
2021-04-12,537.943359375,540.6500244140625,579.5999755859375,538.0,579.5999755859375,23111,2021-04-12
2021-04-19,550.9777221679688,553.75,584.0,535.0,535.0,25511,2021-04-19
2021-04-26,542.1719970703125,544.9000244140625,565.0,539.5999755859375,552.0499877929688,39920,2021-04-26
2021-05-03,544.0126953125,546.75,569.9500122070312,522.0499877929688,545.0,38946,2021-05-03
2021-05-10,560.7285766601562,563.5499877929688,595.0,534.9000244140625,564.0,75652,2021-05-10
2021-05-17,548.1419677734375,550.9000244140625,602.7000122070312,547.0,587.5,91253,2021-05-17
2021-05-24,580.8772583007812,583.7999877929688,607.25,545.0,560.9000244140625,174284,2021-05-24
2021-05-31,620.5277709960938,623.6500244140625,667.9500122070312,556.7999877929688,576.0,409267,2021-05-31
2021-06-07,627.791259765625,630.9500122070312,638.2000122070312,601.7000122070312,629.9500122070312,123827,2021-06-07
2021-06-14,650.974609375,654.25,725.0,609.0499877929688,638.0,715214,2021-06-14
2021-06-21,673.6602783203125,677.0499877929688,689.9500122070312,631.0,650.0,119351,2021-06-21
2021-06-28,675.8493041992188,679.25,719.0,658.5499877929688,671.0499877929688,323275,2021-06-28
2021-07-05,773.5577392578125,777.4500122070312,798.0,676.0,683.0,1537832,2021-07-05
2021-07-12,760.423828125,764.25,826.9500122070312,755.7000122070312,783.6500244140625,1244770,2021-07-12
2021-07-19,751.866943359375,755.6500244140625,797.5,737.9500122070312,770.0,239577,2021-07-19
2021-07-26,725.3999633789062,729.0499877929688,795.0,715.0,761.0,506415,2021-07-26
2021-08-02,750.7926635742188,754.0499877929688,760.4500122070312,708.2000122070312,729.0499877929688,242777,2021-08-02
2021-08-09,689.508544921875,692.5,758.9500122070312,667.2000122070312,750.0,158404,2021-08-09
2021-08-16,631.1616821289062,633.9000244140625,700.0,613.9500122070312,690.5,86720,2021-08-16
2021-08-23,661.231201171875,664.0999755859375,724.0,614.5999755859375,640.0,240314,2021-08-23
2021-08-30,665.462890625,668.3499755859375,698.7999877929688,543.4000244140625,698.7999877929688,213419,2021-08-30
2021-09-06,649.631591796875,652.4500122070312,674.2000122070312,648.0999755859375,672.0,29125,2021-09-06
2021-09-13,678.7551879882812,681.7000122070312,710.5499877929688,638.0,638.0,117594,2021-09-13
2021-09-20,680.049560546875,683.0,703.0,649.6500244140625,687.0,62717,2021-09-20
2021-09-27,661.7788696289062,664.6500244140625,710.0,662.0,676.4500122070312,64722,2021-09-27
2021-10-04,685.1275024414062,688.0999755859375,696.7999877929688,663.6500244140625,665.0999755859375,102987,2021-10-04
