Date,Adj Close_JUBLFOOD.NS,Close_JUBLFOOD.NS,High_JUBLFOOD.NS,Low_JUBLFOOD.NS,Open_JUBLFOOD.NS,Volume_JUBLFOOD.NS,Date
2020-07-13,348.16888427734375,351.07000732421875,352.239990234375,332.8500061035156,332.989990234375,15414595,2020-07-13
2020-07-20,342.3176574707031,345.1700134277344,356.6000061035156,334.6099853515625,351.0,18083730,2020-07-20
2020-07-27,341.2465515136719,344.0899963378906,362.3699951171875,331.0299987792969,345.1700134277344,24106880,2020-07-27
2020-08-03,371.3754577636719,374.4700012207031,379.20001220703125,344.0199890136719,344.0199890136719,36839815,2020-08-03
2020-08-10,370.8399658203125,373.92999267578125,383.7699890136719,371.010009765625,376.0,20573215,2020-08-10
2020-08-17,392.3407897949219,395.6099853515625,400.20001220703125,368.79998779296875,377.45001220703125,20010120,2020-08-17
2020-08-24,430.03668212890625,433.6199951171875,442.989990234375,395.010009765625,395.6099853515625,48682225,2020-08-24
2020-08-31,445.56732177734375,449.2799987792969,461.7799987792969,415.2099914550781,432.0,43673925,2020-08-31
2020-09-07,461.61358642578125,465.4599914550781,475.5799865722656,443.1400146484375,449.0199890136719,37922480,2020-09-07
2020-09-14,468.25823974609375,472.1600036621094,484.7200012207031,464.80999755859375,471.5899963378906,18053150,2020-09-14
2020-09-21,459.0152587890625,462.8399963378906,472.7900085449219,447.6000061035156,471.54998779296875,17056130,2020-09-21
2020-09-28,469.32928466796875,473.239990234375,491.55999755859375,464.6099853515625,467.20001220703125,17356565,2020-09-28
2020-10-05,456.5755920410156,460.3800048828125,483.7699890136719,458.6499938964844,473.0,12802705,2020-10-05
2020-10-12,459.917724609375,463.75,471.6000061035156,452.2300109863281,458.79998779296875,16185340,2020-10-12
2020-10-19,440.35076904296875,444.0199890136719,465.510009765625,435.0,464.20001220703125,14308955,2020-10-19
2020-10-26,431.3557434082031,434.95001220703125,449.989990234375,427.07000732421875,445.3999938964844,13194330,2020-10-26
2020-11-02,448.8896179199219,452.6300048828125,457.6000061035156,420.0400085449219,434.1199951171875,14882735,2020-11-02
2020-11-09,491.0483093261719,495.1400146484375,500.3999938964844,436.3999938964844,457.0,48020560,2020-11-09
2020-11-16,519.3128662109375,523.6400146484375,527.0,492.239990234375,496.3999938964844,20922700,2020-11-16
2020-11-23,496.02685546875,500.1600036621094,531.989990234375,478.4599914550781,524.2000122070312,27660675,2020-11-23
2020-11-30,508.1855163574219,512.4199829101562,518.5999755859375,493.2200012207031,500.1600036621094,10737730,2020-11-30
2020-12-07,525.2532958984375,529.6300048828125,532.0,502.0,512.0,19899985,2020-12-07
2020-12-14,547.0913696289062,551.6500244140625,584.7999877929688,515.0,533.4000244140625,59806770,2020-12-14
2020-12-21,537.0252075195312,541.5,563.77001953125,516.030029296875,552.989990234375,26838655,2020-12-21
2020-12-28,553.9442749023438,558.5599975585938,566.8300170898438,533.2899780273438,547.2899780273438,26312515,2020-12-28
2021-01-04,577.7062377929688,582.52001953125,589.5999755859375,548.1199951171875,559.1099853515625,31144910,2021-01-04
2021-01-11,542.0929565429688,546.6099853515625,597.6199951171875,540.5999755859375,586.0,21623155,2021-01-11
