Date,Adj Close_EMSLIMITED.NS,Close_EMSLIMITED.NS,High_EMSLIMITED.NS,Low_EMSLIMITED.NS,Open_EMSLIMITED.NS,Volume_EMSLIMITED.NS,Date
2023-09-18,266.78729248046875,267.70001220703125,291.0,265.6499938964844,282.04998779296875,23117539,2023-09-18
2023-09-25,265.4419250488281,266.3500061035156,272.70001220703125,246.5,267.6499938964844,8425276,2023-09-25
2023-10-02,322.0482482910156,323.1499938964844,333.3999938964844,266.3500061035156,266.3500061035156,11814233,2023-10-02
2023-10-09,326.1841125488281,327.29998779296875,334.70001220703125,308.0,320.0,6465056,2023-10-09
2023-10-16,300.9205322265625,301.95001220703125,329.3500061035156,296.0,327.0,2885943,2023-10-16
2023-10-23,298.229736328125,299.25,309.54998779296875,277.04998779296875,306.04998779296875,2547015,2023-10-23
2023-10-30,300.4720764160156,301.5,306.04998779296875,292.1499938964844,302.0,1796594,2023-10-30
2023-11-06,359.9186706542969,361.1499938964844,363.1000061035156,303.54998779296875,303.54998779296875,5335879,2023-11-06
2023-11-13,425.7933349609375,427.25,449.0,364.29998779296875,375.6000061035156,3868841,2023-11-13
2023-11-20,439.8951110839844,441.3999938964844,476.79998779296875,409.1000061035156,429.3999938964844,3689109,2023-11-20
2023-11-27,456.390869140625,456.95001220703125,456.95001220703125,433.0,441.3999938964844,1027908,2023-11-27
2023-12-04,456.3409118652344,456.8999938964844,487.6000061035156,448.1000061035156,479.70001220703125,1316568,2023-12-04
2023-12-11,436.3653869628906,436.8999938964844,459.95001220703125,425.79998779296875,459.95001220703125,1629808,2023-12-11
2023-12-18,416.3898620605469,416.8999938964844,440.6000061035156,399.3999938964844,439.0,1644969,2023-12-18
2023-12-25,423.88067626953125,424.3999938964844,459.54998779296875,416.8999938964844,416.8999938964844,1721987,2023-12-25
2024-01-01,456.5906066894531,457.1499938964844,467.79998779296875,422.25,424.3999938964844,2539678,2024-01-01
2024-01-08,442.00848388671875,442.54998779296875,465.1000061035156,427.54998779296875,465.1000061035156,2127567,2024-01-08
2024-01-15,474.31890869140625,474.8999938964844,481.6000061035156,425.1000061035156,442.54998779296875,2863504,2024-01-15
2024-01-22,455.3421325683594,455.8999938964844,480.0,445.0,474.8999938964844,819514,2024-01-22
2024-01-29,566.3062133789062,567.0,569.0,459.0,463.0,3123329,2024-01-29
2024-02-05,583.5850219726562,584.2999877929688,599.75,550.0,584.25,2059380,2024-02-05
2024-02-12,503.9326171875,504.54998779296875,595.0,487.3500061035156,595.0,2344423,2024-02-12
2024-02-19,521.4111938476562,522.0499877929688,532.4000244140625,494.04998779296875,507.0,1516954,2024-02-19
2024-02-26,496.7414245605469,497.3500061035156,523.75,492.0,522.0499877929688,791790,2024-02-26
2024-03-04,429.9732360839844,430.5,499.95001220703125,422.6000061035156,494.95001220703125,1571238,2024-03-04
2024-03-11,397.4131164550781,397.8999938964844,434.8999938964844,356.1499938964844,434.8999938964844,1813877,2024-03-11
2024-03-18,395.4155578613281,395.8999938964844,412.3500061035156,372.0,400.1000061035156,1086132,2024-03-18
2024-03-25,401.9075927734375,402.3999938964844,412.0,378.25,395.8999938964844,1096153,2024-03-25
2024-04-01,436.1156921386719,436.6499938964844,465.75,403.5,403.5,2842602,2024-04-01
2024-04-08,419.935546875,420.45001220703125,448.0,412.95001220703125,445.0,829441,2024-04-08
2024-04-15,430.6723937988281,431.20001220703125,447.3999938964844,396.95001220703125,409.0,1331244,2024-04-15
2024-04-22,466.0789794921875,466.6499938964844,475.0,421.6499938964844,436.79998779296875,1982031,2024-04-22
2024-04-29,457.489501953125,458.04998779296875,471.6499938964844,447.8999938964844,470.3999938964844,790659,2024-04-29
2024-05-06,422.83197021484375,423.3500061035156,461.75,412.95001220703125,461.1000061035156,1288048,2024-05-06
2024-05-13,451.9463195800781,452.5,458.1000061035156,404.1499938964844,424.8999938964844,1326087,2024-05-13
2024-05-20,471.27264404296875,471.8500061035156,480.0,440.0,455.0,1150593,2024-05-20
2024-05-27,479.46258544921875,480.04998779296875,504.0,452.20001220703125,472.95001220703125,2226689,2024-05-27
2024-06-03,490.5989685058594,491.20001220703125,504.0,392.25,504.0,2686476,2024-06-03
2024-06-10,536.0932006835938,536.75,548.9000244140625,492.3999938964844,492.3999938964844,2396032,2024-06-10
2024-06-17,555.8190307617188,556.5,572.0,507.3999938964844,536.75,2791932,2024-06-17
