Date,Adj Close_KANPRPLA.NS,Close_KANPRPLA.NS,High_KANPRPLA.NS,Low_KANPRPLA.NS,Open_KANPRPLA.NS,Volume_KANPRPLA.NS,Date
2021-01-04,83.60391998291016,85.83333587646484,93.26666259765625,80.19999694824219,85.96666717529297,161942,2021-01-04
2021-01-11,79.02599334716797,81.13333129882812,89.03333282470703,80.03333282470703,86.86666870117188,57023,2021-01-11
2021-01-18,77.30521392822266,79.36666870117188,83.93333435058594,64.23332977294922,77.4000015258789,48090,2021-01-18
2021-01-25,77.50001525878906,79.56666564941406,83.5999984741211,76.66666412353516,78.43333435058594,39098,2021-01-25
2021-02-01,80.35716247558594,82.5,83.33333587646484,77.53333282470703,77.73332977294922,41940,2021-02-01
2021-02-08,94.96755981445312,97.5,101.33333587646484,66.80000305175781,85.26666259765625,799908,2021-02-08
2021-02-15,86.3636474609375,88.66666412353516,99.33333587646484,87.5,99.30000305175781,213689,2021-02-15
2021-02-22,84.41559600830078,86.66666412353516,92.63333129882812,85.06666564941406,88.63333129882812,233548,2021-02-22
2021-03-01,112.24028015136719,115.23332977294922,120.46666717529297,85.33333587646484,88.19999694824219,2095044,2021-03-01
2021-03-08,103.92859649658203,106.69999694824219,122.33333587646484,106.0,119.5999984741211,904561,2021-03-08
2021-03-15,90.84416961669922,93.26666259765625,108.23332977294922,87.23332977294922,106.69999694824219,173870,2021-03-15
2021-03-22,90.19482421875,92.5999984741211,101.26666259765625,91.86666870117188,95.30000305175781,94402,2021-03-22
2021-03-29,93.79872131347656,96.30000305175781,100.0,92.5999984741211,92.5999984741211,91602,2021-03-29
2021-04-05,95.51950073242188,98.06666564941406,100.46666717529297,93.03333282470703,97.33333587646484,94876,2021-04-05
2021-04-12,90.94157409667969,93.36666870117188,98.33333587646484,90.16666412353516,98.33333587646484,67320,2021-04-12
2021-04-19,86.16885375976562,88.46666717529297,93.0999984741211,86.96666717529297,90.66666412353516,85823,2021-04-19
2021-04-26,95.81170654296875,98.36666870117188,101.19999694824219,88.0,90.0,221106,2021-04-26
2021-05-03,101.33119201660156,104.03333282470703,110.86666870117188,96.80000305175781,98.0,307566,2021-05-03
2021-05-10,104.28573608398438,107.06666564941406,109.13333129882812,100.86666870117188,105.0,163928,2021-05-10
2021-05-17,127.17536163330078,130.56666564941406,131.26666259765625,107.33333587646484,107.33333587646484,1751162,2021-05-17
