Date,Adj Close_ROLEXRINGS.NS,Close_ROLEXRINGS.NS,High_ROLEXRINGS.NS,Low_ROLEXRINGS.NS,Open_ROLEXRINGS.NS,Volume_ROLEXRINGS.NS,Date
2021-08-09,1152.5,1152.5,1263.0,1073.0,1250.0,15788363,2021-08-09
2021-08-16,1091.4000244140625,1091.4000244140625,1152.5,1051.5,1152.5,1040688,2021-08-16
2021-08-23,1094.949951171875,1094.949951171875,1112.5,1056.5999755859375,1091.4000244140625,488904,2021-08-23
2021-08-30,1088.0,1088.0,1111.199951171875,1061.0,1088.0,299938,2021-08-30
2021-09-06,1093.5,1093.5,1105.0,1058.449951171875,1070.25,285899,2021-09-06
2021-09-13,1072.699951171875,1072.699951171875,1094.4000244140625,1056.5999755859375,1085.0,410925,2021-09-13
2021-09-20,1052.5,1052.5,1095.0,1026.9000244140625,1070.0,221914,2021-09-20
2021-09-27,1090.6500244140625,1090.6500244140625,1099.0,1008.0,1050.0999755859375,381155,2021-09-27
2021-10-04,1067.699951171875,1067.699951171875,1110.0,1057.5999755859375,1110.0,322062,2021-10-04
2021-10-11,1067.25,1067.25,1076.25,1050.550048828125,1069.949951171875,136295,2021-10-11
2021-10-18,1066.4000244140625,1066.4000244140625,1155.0,1058.0,1075.0,427309,2021-10-18
2021-10-25,1166.550048828125,1166.550048828125,1191.699951171875,1044.800048828125,1120.0,588752,2021-10-25
2021-11-01,1183.5,1183.5,1205.699951171875,1080.050048828125,1178.0,498735,2021-11-01
2021-11-08,1162.4000244140625,1162.4000244140625,1249.6500244140625,1112.800048828125,1185.0,433822,2021-11-08
2021-11-15,1139.5999755859375,1139.5999755859375,1204.6500244140625,1115.0,1178.4000244140625,311633,2021-11-15
2021-11-22,1058.800048828125,1058.800048828125,1150.5,1050.050048828125,1148.0,212219,2021-11-22
2021-11-29,1124.9000244140625,1124.9000244140625,1131.0,994.7999877929688,1051.0,153189,2021-11-29
2021-12-06,1124.550048828125,1124.550048828125,1175.0,1105.0,1154.9000244140625,162293,2021-12-06
2021-12-13,1149.0999755859375,1149.0999755859375,1210.0,1124.0999755859375,1128.0,359626,2021-12-13
2021-12-20,1141.0999755859375,1141.0999755859375,1165.0,1077.050048828125,1122.050048828125,313188,2021-12-20
