Date,Adj Close_IKIO.NS,Close_IKIO.NS,High_IKIO.NS,Low_IKIO.NS,Open_IKIO.NS,Volume_IKIO.NS,Date
2023-11-06,322.19525146484375,323.29998779296875,375.0,319.0,350.0,6715947,2023-11-06
2023-11-13,345.9637451171875,347.1499938964844,357.8999938964844,329.25,334.0,2413251,2023-11-13
2023-11-20,341.22998046875,342.3999938964844,356.8999938964844,340.0,349.79998779296875,1351563,2023-11-20
2023-11-27,339.28668212890625,340.45001220703125,346.5,337.95001220703125,342.3999938964844,940406,2023-11-27
2023-12-04,341.27984619140625,342.45001220703125,348.0,337.29998779296875,346.6499938964844,1728597,2023-12-04
2023-12-11,352.4415588378906,353.6499938964844,363.95001220703125,343.0,344.0,2020000,2023-12-11
2023-12-18,341.728271484375,342.8999938964844,362.0,330.5,353.04998779296875,1704214,2023-12-18
2023-12-25,317.2621765136719,318.3500061035156,344.6499938964844,317.3999938964844,342.8999938964844,4030316,2023-12-25
2024-01-01,319.2553405761719,320.3500061035156,324.25,304.6499938964844,319.70001220703125,4019292,2024-01-01
2024-01-08,322.8430480957031,323.95001220703125,329.70001220703125,316.0,321.8999938964844,1628630,2024-01-08
2024-01-15,331.91192626953125,333.04998779296875,339.8999938964844,320.0,323.95001220703125,3083795,2024-01-15
2024-01-22,330.8157043457031,331.95001220703125,343.20001220703125,322.04998779296875,333.04998779296875,1002948,2024-01-22
2024-01-29,329.66961669921875,330.79998779296875,342.95001220703125,329.0,333.75,1279397,2024-01-29
2024-02-05,294.8888854980469,295.8999938964844,339.8999938964844,291.54998779296875,330.79998779296875,3390544,2024-02-05
2024-02-12,299.7721252441406,300.79998779296875,309.70001220703125,281.0,296.45001220703125,2205872,2024-02-12
2024-02-19,297.3803405761719,298.3999938964844,305.1499938964844,289.8500061035156,303.8999938964844,1219895,2024-02-19
2024-02-26,288.61041259765625,289.6000061035156,302.54998779296875,282.0,299.75,915234,2024-02-26
2024-03-04,282.13262939453125,283.1000061035156,302.6000061035156,278.79998779296875,294.54998779296875,914162,2024-03-04
2024-03-11,288.4111022949219,289.3999938964844,306.45001220703125,277.1000061035156,284.8999938964844,2664315,2024-03-11
2024-03-18,294.2411193847656,295.25,302.0,290.25,292.0,1748460,2024-03-18
2024-03-25,279.3421936035156,280.29998779296875,295.6499938964844,278.6499938964844,295.25,1389951,2024-03-25
2024-04-01,309.9372863769531,311.0,312.95001220703125,281.8999938964844,287.6499938964844,1706533,2024-04-01
2024-04-08,298.1776123046875,299.20001220703125,315.0,297.95001220703125,310.79998779296875,693724,2024-04-08
2024-04-15,291.7994689941406,292.79998779296875,296.6000061035156,285.54998779296875,287.0,569472,2024-04-15
2024-04-22,299.9714660644531,301.0,309.79998779296875,293.0,295.5,1053021,2024-04-22
2024-04-29,298.7755432128906,299.79998779296875,305.1000061035156,290.3500061035156,301.8999938964844,789660,2024-04-29
2024-05-06,284.2752685546875,285.25,305.75,281.29998779296875,302.8999938964844,692204,2024-05-06
2024-05-13,290.4541015625,291.45001220703125,293.3999938964844,282.0,286.45001220703125,512332,2024-05-13
2024-05-20,289.2582092285156,290.25,296.0,288.0,289.5,573505,2024-05-20
2024-05-27,269.47601318359375,270.3999938964844,279.45001220703125,268.5,270.3500061035156,1429483,2024-05-27
2024-06-03,272.3660888671875,273.29998779296875,277.8999938964844,245.4499969482422,273.0,1187083,2024-06-03
2024-06-10,285.2718505859375,286.25,289.0,272.1000061035156,276.45001220703125,856266,2024-06-10
2024-06-17,315.3188171386719,316.3999938964844,324.8500061035156,284.3500061035156,286.25,3092916,2024-06-17
2024-06-24,291.8991394042969,292.8999938964844,323.70001220703125,292.0,317.95001220703125,1284010,2024-06-24
2024-07-01,306.6485900878906,307.70001220703125,314.8999938964844,291.04998779296875,291.8999938964844,1106382,2024-07-01
2024-07-08,316.6144104003906,317.70001220703125,324.79998779296875,296.04998779296875,309.29998779296875,2278319,2024-07-08
2024-07-15,299.8717956542969,300.8999938964844,324.3500061035156,300.0,319.70001220703125,998147,2024-07-15
2024-07-22,299.2738342285156,300.29998779296875,306.95001220703125,288.0,299.29998779296875,735571,2024-07-22
2024-07-29,320.800048828125,321.8999938964844,342.95001220703125,298.6499938964844,301.0,5222082,2024-07-29
2024-08-05,298.1277770996094,299.1499938964844,319.54998779296875,296.5,300.0,1823169,2024-08-05
2024-08-12,287.2152099609375,288.20001220703125,298.29998779296875,281.5,298.0,809286,2024-08-12
2024-08-19,292.54998779296875,292.54998779296875,295.8999938964844,284.5,289.0,1864917,2024-08-19
2024-08-26,287.1000061035156,287.1000061035156,299.20001220703125,286.20001220703125,294.04998779296875,723712,2024-08-26
2024-09-02,284.3500061035156,284.3500061035156,290.54998779296875,282.3500061035156,288.1000061035156,713894,2024-09-02
2024-09-09,305.6000061035156,305.6000061035156,312.0,279.25,282.0,2144162,2024-09-09
2024-09-16,299.8999938964844,299.8999938964844,316.0,292.0,306.6499938964844,1064228,2024-09-16
2024-09-23,289.6499938964844,289.6499938964844,305.20001220703125,288.20001220703125,301.8999938964844,770698,2024-09-23
2024-09-30,284.95001220703125,284.95001220703125,296.79998779296875,282.25,288.0,392559,2024-09-30
2024-10-07,283.75,283.75,292.75,275.1499938964844,286.95001220703125,512684,2024-10-07
2024-10-14,282.75,282.75,288.0,279.1000061035156,284.75,504324,2024-10-14
2024-10-21,261.6000061035156,261.6000061035156,285.0,259.1000061035156,285.0,795903,2024-10-21
2024-10-28,275.04998779296875,275.04998779296875,279.3500061035156,259.25,261.8999938964844,381958,2024-10-28
2024-11-04,276.04998779296875,276.04998779296875,289.79998779296875,269.29998779296875,277.0,586759,2024-11-04
2024-11-11,250.4499969482422,250.4499969482422,274.75,248.64999389648438,274.75,571782,2024-11-11
2024-11-18,253.25,253.25,260.79998779296875,248.10000610351562,251.0,307564,2024-11-18
2024-11-25,267.3500061035156,267.3500061035156,268.3500061035156,253.0500030517578,257.95001220703125,324519,2024-11-25
2024-12-02,275.8999938964844,275.8999938964844,281.0,264.6000061035156,266.75,449375,2024-12-02
2024-12-09,266.5,266.5,279.20001220703125,260.20001220703125,275.8500061035156,333435,2024-12-09
2024-12-16,254.9499969482422,254.9499969482422,269.95001220703125,251.25,267.29998779296875,285169,2024-12-16
2024-12-23,251.6999969482422,251.6999969482422,259.0,247.25,255.10000610351562,194800,2024-12-23
2024-12-30,251.5800018310547,251.5800018310547,255.25,242.5,250.0,434161,2024-12-30
2025-01-06,233.41000366210938,233.41000366210938,253.14999389648438,228.89999389648438,252.89999389648438,410262,2025-01-06
2025-01-13,225.75,225.75,233.3800048828125,215.02000427246094,232.60000610351562,514096,2025-01-13
2025-01-20,222.69000244140625,222.69000244140625,239.0,221.5,229.0,341170,2025-01-20
2025-01-27,227.7100067138672,227.7100067138672,236.89999389648438,203.41000366210938,220.0,467452,2025-01-27
2025-02-03,228.97000122070312,228.97000122070312,244.6999969482422,222.02000427246094,229.85000610351562,407521,2025-02-03
2025-02-10,180.75,180.75,219.58999633789062,180.0,219.58999633789062,890805,2025-02-10
2025-02-17,213.75999450683594,213.75999450683594,216.08999633789062,166.0,182.0,2215147,2025-02-17
2025-02-24,221.8800048828125,221.8800048828125,226.99000549316406,199.0500030517578,206.75999450683594,2599409,2025-02-24
2025-03-03,209.75999450683594,209.75999450683594,219.0,199.25999450683594,217.0,822058,2025-03-03
2025-03-10,196.2899932861328,196.2899932861328,211.83999633789062,187.24000549316406,208.99000549316406,705237,2025-03-10
2025-03-17,292.9200134277344,292.9200134277344,304.0,193.1999969482422,196.5,4197411,2025-03-17
2025-03-24,236.1199951171875,236.1199951171875,289.95001220703125,230.0,289.95001220703125,1506120,2025-03-24
2025-03-31,243.0399932861328,243.0399932861328,258.79998779296875,234.00999450683594,236.1199951171875,508981,2025-03-31
2025-04-07,233.1699981689453,233.1699981689453,239.9499969482422,218.72999572753906,224.0,303726,2025-04-07
2025-04-14,241.5,241.5,248.0,236.0,236.0,235975,2025-04-14
2025-04-21,232.33999633789062,232.33999633789062,254.88999938964844,230.60000610351562,242.25,516198,2025-04-21
2025-04-28,220.05999755859375,220.05999755859375,232.99000549316406,219.0,232.33999633789062,234579,2025-04-28
2025-05-05,220.0,220.0,228.0,206.11000061035156,221.9499969482422,347203,2025-05-05
2025-05-12,223.85000610351562,223.85000610351562,237.25,216.0,225.99000549316406,657802,2025-05-12
2025-05-19,217.99000549316406,217.99000549316406,227.88999938964844,216.25,223.85000610351562,311684,2025-05-19
2025-05-26,219.38999938964844,219.38999938964844,226.0,217.5,218.8000030517578,237118,2025-05-26
2025-06-02,219.1999969482422,219.1999969482422,222.0,216.99000549316406,221.6999969482422,249254,2025-06-02
2025-06-09,216.39999389648438,216.39999389648438,228.7899932861328,213.16000366210938,218.89999389648438,389822,2025-06-09
2025-06-16,210.4600067138672,210.4600067138672,219.39999389648438,209.2899932861328,218.0,212517,2025-06-16
2025-06-23,212.83999633789062,212.83999633789062,216.08999633789062,207.25999450683594,210.27000427246094,232735,2025-06-23
2025-06-30,218.47999572753906,218.47999572753906,229.9499969482422,209.7100067138672,213.89999389648438,1107629,2025-06-30
2025-07-07,210.19000244140625,210.19000244140625,218.9499969482422,209.00999450683594,218.00999450683594,306715,2025-07-07
2025-07-14,209.9499969482422,209.9499969482422,211.36000061035156,206.0,210.1999969482422,144852,2025-07-14
