Date,Adj Close_SUPRAJIT.NS,Close_SUPRAJIT.NS,High_SUPRAJIT.NS,Low_SUPRAJIT.NS,Open_SUPRAJIT.NS,Volume_SUPRAJIT.NS,Date
2020-07-13,155.65679931640625,159.8000030517578,160.5,153.6999969482422,155.75,1740615,2020-07-13
2020-07-20,147.0849609375,151.0,161.39999389648438,148.64999389648438,158.0500030517578,1032975,2020-07-20
2020-07-27,148.6434783935547,152.60000610351562,154.0500030517578,148.60000610351562,151.0,483030,2020-07-27
2020-08-03,160.5271759033203,164.8000030517578,165.8000030517578,150.60000610351562,150.64999389648438,906526,2020-08-03
2020-08-10,164.8130645751953,169.1999969482422,179.89999389648438,165.0,167.0,707549,2020-08-10
2020-08-17,176.11231994628906,180.8000030517578,194.5,163.0,167.14999389648438,1869492,2020-08-17
2020-08-24,178.06044006347656,182.8000030517578,197.75,181.0,186.9499969482422,2333894,2020-08-24
2020-08-31,173.57972717285156,178.1999969482422,188.8000030517578,162.25,185.9499969482422,1721245,2020-08-31
2020-09-07,164.22862243652344,168.60000610351562,178.0,164.8000030517578,176.0,472733,2020-09-07
2020-09-14,175.57656860351562,180.25,183.89999389648438,171.1999969482422,173.0,1153961,2020-09-14
2020-09-21,169.0989990234375,173.60000610351562,182.75,163.0,180.25,792752,2020-09-21
2020-09-28,183.46656799316406,188.35000610351562,192.0,175.0,183.60000610351562,1001602,2020-09-28
2020-10-05,187.80116271972656,192.8000030517578,212.4499969482422,188.6999969482422,188.9499969482422,2793392,2020-10-05
2020-10-12,180.39822387695312,185.1999969482422,194.0,181.10000610351562,192.64999389648438,501608,2020-10-12
2020-10-19,178.45008850097656,183.1999969482422,192.35000610351562,177.1999969482422,188.75,1423174,2020-10-19
2020-10-26,174.06675720214844,178.6999969482422,185.9499969482422,176.4499969482422,184.85000610351562,395106,2020-10-26
2020-11-02,182.1028594970703,186.9499969482422,189.0,175.10000610351562,180.1999969482422,405735,2020-11-02
2020-11-09,187.99598693847656,193.0,198.85000610351562,190.0,191.0500030517578,1798243,2020-11-09
2020-11-16,189.6032257080078,194.64999389648438,200.4499969482422,187.5,192.0500030517578,634736,2020-11-16
2020-11-23,190.77210998535156,195.85000610351562,199.0,192.0,195.4499969482422,640973,2020-11-23
2020-11-30,197.10357666015625,202.35000610351562,206.89999389648438,193.8000030517578,195.85000610351562,651932,2020-11-30
2020-12-07,197.29840087890625,202.5500030517578,208.8000030517578,195.10000610351562,205.8000030517578,985446,2020-12-07
2020-12-14,193.10989379882812,198.25,206.89999389648438,196.5,203.5500030517578,514243,2020-12-14
2020-12-21,185.51210021972656,190.4499969482422,198.25,179.0,197.0,535494,2020-12-21
2020-12-28,194.6684112548828,199.85000610351562,204.35000610351562,190.4499969482422,191.39999389648438,491894,2020-12-28
2021-01-04,211.8607940673828,217.5,231.1999969482422,198.10000610351562,199.85000610351562,2897078,2021-01-04
2021-01-11,208.06192016601562,213.60000610351562,222.89999389648438,209.3000030517578,218.89999389648438,775823,2021-01-11
2021-01-18,206.69818115234375,212.1999969482422,221.4499969482422,202.39999389648438,215.3000030517578,721194,2021-01-18
2021-01-25,201.8765411376953,207.25,219.39999389648438,204.10000610351562,213.25,484220,2021-01-25
2021-02-01,219.7507781982422,225.60000610351562,228.85000610351562,203.60000610351562,208.85000610351562,895517,2021-02-01
2021-02-08,248.1936798095703,254.8000030517578,264.95001220703125,228.9499969482422,228.9499969482422,3063183,2021-02-08
2021-02-15,264.94775390625,272.0,285.04998779296875,250.1999969482422,257.3500061035156,1930460,2021-02-15
2021-02-22,278.9565124511719,285.54998779296875,300.70001220703125,261.54998779296875,276.0,1421591,2021-02-22
2021-03-01,275.8792724609375,282.3999938964844,290.0,275.0,288.3999938964844,474373,2021-03-01
2021-03-08,284.37841796875,291.1000061035156,310.0,281.70001220703125,281.70001220703125,1066867,2021-03-08
2021-03-15,280.71502685546875,287.3500061035156,295.0,278.6499938964844,291.1000061035156,722076,2021-03-15
2021-03-22,263.9609680175781,270.20001220703125,292.75,265.0,289.0,556470,2021-03-22
2021-03-29,283.1083984375,289.79998779296875,292.20001220703125,269.6000061035156,270.20001220703125,458269,2021-03-29
2021-04-05,276.0258483886719,282.54998779296875,291.70001220703125,279.95001220703125,291.70001220703125,434445,2021-04-05
2021-04-12,255.95028686523438,262.0,281.70001220703125,261.0,274.3500061035156,583721,2021-04-12
2021-04-19,244.81358337402344,250.60000610351562,266.5,249.60000610351562,259.79998779296875,515055,2021-04-19
2021-04-26,254.43612670898438,260.45001220703125,275.1499938964844,252.1999969482422,254.0,374827,2021-04-26
2021-05-03,239.44058227539062,245.10000610351562,261.79998779296875,241.60000610351562,260.0,1176148,2021-05-03
