Date,Adj Close_AWHCL.NS,Close_AWHCL.NS,High_AWHCL.NS,Low_AWHCL.NS,Open_AWHCL.NS,Volume_AWHCL.NS,Date
2021-01-01,365.45001220703125,365.45001220703125,489.8999938964844,358.04998779296875,436.1000061035156,32483008,2021-01-01
2021-01-08,368.3500061035156,368.3500061035156,378.70001220703125,365.04998779296875,367.8999938964844,2684758,2021-01-08
2021-01-15,313.6000061035156,313.6000061035156,368.6000061035156,312.0,364.5,1368795,2021-01-15
2021-01-22,277.79998779296875,277.79998779296875,313.6000061035156,250.89999389648438,313.6000061035156,1028405,2021-01-22
2021-01-29,310.8500061035156,310.8500061035156,315.6000061035156,278.29998779296875,279.5,1611082,2021-01-29
2021-02-05,320.70001220703125,320.70001220703125,336.3999938964844,310.8500061035156,317.0,993354,2021-02-05
2021-02-12,307.1499938964844,307.1499938964844,322.75,300.04998779296875,322.75,549864,2021-02-12
2021-02-19,303.79998779296875,303.79998779296875,317.79998779296875,292.5,307.0,846275,2021-02-19
2021-02-26,300.20001220703125,300.20001220703125,306.8500061035156,296.04998779296875,303.0,545878,2021-02-26
2021-03-05,297.1000061035156,297.1000061035156,302.45001220703125,295.0,299.8500061035156,283443,2021-03-05
2021-03-12,270.95001220703125,270.95001220703125,298.95001220703125,269.70001220703125,297.1499938964844,396255,2021-03-12
2021-03-19,255.9499969482422,255.9499969482422,271.5,254.0,269.0,402828,2021-03-19
2021-03-26,252.8000030517578,252.8000030517578,259.3999938964844,241.0,256.0,375422,2021-03-26
2021-04-02,262.25,262.25,264.75,251.0500030517578,252.8000030517578,307236,2021-04-02
2021-04-09,248.60000610351562,248.60000610351562,263.79998779296875,245.64999389648438,263.79998779296875,174899,2021-04-09
2021-04-16,285.3999938964844,285.3999938964844,299.0,242.0,254.0,918089,2021-04-16
2021-04-23,299.8999938964844,299.8999938964844,309.0,275.1499938964844,285.8999938964844,931998,2021-04-23
2021-04-30,303.6000061035156,303.6000061035156,314.79998779296875,286.45001220703125,296.0,648594,2021-04-30
2021-05-07,306.6499938964844,306.6499938964844,316.70001220703125,294.3500061035156,302.0,519239,2021-05-07
2021-05-14,300.70001220703125,300.70001220703125,310.0,298.95001220703125,308.0,401928,2021-05-14
2021-05-21,310.0,310.0,319.0,302.04998779296875,303.95001220703125,987063,2021-05-21
2021-05-28,340.3500061035156,340.3500061035156,348.3999938964844,296.75,312.45001220703125,1761151,2021-05-28
2021-06-04,337.54998779296875,337.54998779296875,355.5,326.8999938964844,339.8999938964844,1447975,2021-06-04
2021-06-11,324.1000061035156,324.1000061035156,342.79998779296875,320.1499938964844,340.0,411012,2021-06-11
2021-06-18,336.8999938964844,336.8999938964844,346.6000061035156,313.8999938964844,324.1000061035156,479940,2021-06-18
2021-06-25,321.54998779296875,321.54998779296875,342.0,316.04998779296875,341.0,445272,2021-06-25
2021-07-02,334.8999938964844,334.8999938964844,346.8500061035156,315.0,325.0,954510,2021-07-02
2021-07-09,348.3500061035156,348.3500061035156,375.8500061035156,334.8999938964844,337.6000061035156,1655818,2021-07-09
2021-07-16,345.6000061035156,345.6000061035156,365.0,338.20001220703125,349.8999938964844,501150,2021-07-16
2021-07-23,346.25,346.25,357.0,333.20001220703125,345.6000061035156,409308,2021-07-23
2021-07-30,339.29998779296875,339.29998779296875,363.0,336.0,346.3500061035156,398998,2021-07-30
2021-08-06,372.25,372.25,390.0,315.0,342.0,2678202,2021-08-06
2021-08-13,361.29998779296875,361.29998779296875,405.0,358.95001220703125,373.70001220703125,1965102,2021-08-13
2021-08-20,340.6499938964844,340.6499938964844,377.29998779296875,330.0,354.0,914291,2021-08-20
2021-08-27,368.54998779296875,368.54998779296875,375.0,338.70001220703125,341.5,565055,2021-08-27
2021-09-03,411.8999938964844,411.8999938964844,422.0,369.1000061035156,377.70001220703125,1921453,2021-09-03
2021-09-10,414.45001220703125,414.45001220703125,455.0,400.0,411.8999938964844,2600980,2021-09-10
2021-09-17,404.70001220703125,404.70001220703125,419.95001220703125,381.5,414.75,1435825,2021-09-17
2021-09-24,358.79998779296875,358.79998779296875,408.6499938964844,351.29998779296875,407.3999938964844,16307059,2021-09-24
2021-10-01,355.29998779296875,355.29998779296875,364.3999938964844,343.1000061035156,355.0,2835949,2021-10-01
2021-10-08,385.6499938964844,385.6499938964844,402.6000061035156,345.25,356.95001220703125,4302367,2021-10-08
2021-10-15,322.0,322.0,385.6499938964844,303.5,385.6499938964844,5346138,2021-10-15
2021-10-22,299.8500061035156,299.8500061035156,331.45001220703125,297.45001220703125,324.8999938964844,1371298,2021-10-22
2021-10-29,311.29998779296875,311.29998779296875,321.75,287.04998779296875,297.79998779296875,1212794,2021-10-29
2021-11-05,310.3500061035156,310.3500061035156,317.8500061035156,305.6499938964844,311.29998779296875,480418,2021-11-05
2021-11-12,305.5,305.5,324.8999938964844,303.0,313.0,795738,2021-11-12
2021-11-19,299.79998779296875,299.79998779296875,308.3999938964844,284.0,305.5,457603,2021-11-19
2021-11-26,293.8999938964844,293.8999938964844,307.04998779296875,275.0,295.79998779296875,840625,2021-11-26
2021-12-03,293.29998779296875,293.29998779296875,303.1499938964844,281.54998779296875,294.70001220703125,527573,2021-12-03
2021-12-10,310.75,310.75,337.0,291.04998779296875,291.04998779296875,1823943,2021-12-10
2021-12-17,298.04998779296875,298.04998779296875,310.0,285.0,307.54998779296875,587770,2021-12-17
2021-12-24,317.3999938964844,317.3999938964844,319.8999938964844,292.0,298.04998779296875,900079,2021-12-24
2021-12-31,318.3999938964844,318.3999938964844,337.0,315.79998779296875,325.5,1293666,2021-12-31
2022-01-07,322.04998779296875,322.04998779296875,338.0,319.8999938964844,320.0,946988,2022-01-07
2022-01-14,340.0,340.0,349.3999938964844,317.6000061035156,317.6000061035156,1837527,2022-01-14
2022-01-21,316.25,316.25,339.8999938964844,305.3500061035156,338.70001220703125,659628,2022-01-21
2022-01-28,337.0,337.0,342.0,318.75,318.79998779296875,912823,2022-01-28
