Date,Adj Close_ASAL.NS,Close_ASAL.NS,High_ASAL.NS,Low_ASAL.NS,Open_ASAL.NS,Volume_ASAL.NS,Date
2020-07-13,18.75,18.75,19.0,18.0,18.5,6866,2020-07-13
2020-07-20,19.549999237060547,19.549999237060547,19.950000762939453,18.200000762939453,18.200000762939453,31286,2020-07-20
2020-07-27,19.0,19.0,19.549999237060547,18.049999237060547,18.899999618530273,9006,2020-07-27
2020-08-03,18.899999618530273,18.899999618530273,19.0,17.25,18.899999618530273,13047,2020-08-03
2020-08-10,20.0,20.0,20.450000762939453,18.200000762939453,18.200000762939453,49274,2020-08-10
2020-08-17,21.399999618530273,21.399999618530273,21.450000762939453,19.149999618530273,20.350000381469727,53032,2020-08-17
2020-08-24,22.450000762939453,22.450000762939453,23.600000381469727,19.799999237060547,22.049999237060547,83769,2020-08-24
2020-08-31,21.5,21.5,23.149999618530273,20.600000381469727,23.149999618530273,31065,2020-08-31
2020-09-07,21.649999618530273,21.649999618530273,23.0,21.299999237060547,21.5,36748,2020-09-07
2020-09-14,22.149999618530273,22.149999618530273,23.549999237060547,21.399999618530273,22.100000381469727,43024,2020-09-14
2020-09-21,20.399999618530273,20.399999618530273,22.799999237060547,19.75,22.700000762939453,27112,2020-09-21
2020-09-28,20.850000381469727,20.850000381469727,21.399999618530273,19.899999618530273,20.649999618530273,17972,2020-09-28
2020-10-05,21.100000381469727,21.100000381469727,22.100000381469727,20.5,21.5,18146,2020-10-05
2020-10-12,21.200000762939453,21.200000762939453,21.850000381469727,19.799999237060547,21.850000381469727,20252,2020-10-12
2020-10-19,21.950000762939453,21.950000762939453,22.100000381469727,20.100000381469727,20.399999618530273,18111,2020-10-19
2020-10-26,21.600000381469727,21.600000381469727,22.100000381469727,20.299999237060547,22.049999237060547,21730,2020-10-26
2020-11-02,21.5,21.5,22.100000381469727,20.5,21.0,12758,2020-11-02
2020-11-09,22.799999237060547,22.799999237060547,22.899999618530273,20.5,21.5,35666,2020-11-09
2020-11-16,25.200000762939453,25.200000762939453,25.200000762939453,21.75,22.549999237060547,38283,2020-11-16
2020-11-23,25.450000762939453,25.450000762939453,25.899999618530273,24.100000381469727,25.200000762939453,21615,2020-11-23
2020-11-30,28.700000762939453,28.700000762939453,29.200000762939453,24.600000381469727,25.450000762939453,49299,2020-11-30
2020-12-07,27.200000762939453,27.200000762939453,29.850000381469727,26.200000762939453,29.0,43408,2020-12-07
2020-12-14,27.700000762939453,27.700000762939453,28.600000381469727,26.700000762939453,28.350000381469727,28100,2020-12-14
2020-12-21,26.049999237060547,26.049999237060547,27.700000762939453,25.049999237060547,27.700000762939453,22797,2020-12-21
2020-12-28,26.700000762939453,26.700000762939453,26.799999237060547,24.600000381469727,26.0,25511,2020-12-28
2021-01-04,29.149999618530273,29.149999618530273,29.799999237060547,27.049999237060547,27.100000381469727,62859,2021-01-04
2021-01-11,37.099998474121094,37.099998474121094,37.099998474121094,29.350000381469727,30.549999237060547,52157,2021-01-11
2021-01-18,36.95000076293945,36.95000076293945,41.95000076293945,36.400001525878906,38.95000076293945,186320,2021-01-18
2021-01-25,36.099998474121094,36.099998474121094,38.29999923706055,33.04999923706055,38.29999923706055,32663,2021-01-25
2021-02-01,42.04999923706055,42.04999923706055,42.04999923706055,34.54999923706055,36.79999923706055,72498,2021-02-01
2021-02-08,43.599998474121094,43.599998474121094,48.650001525878906,42.04999923706055,44.150001525878906,71469,2021-02-08
2021-02-15,39.45000076293945,39.45000076293945,45.5,39.45000076293945,45.5,49170,2021-02-15
2021-02-22,37.20000076293945,37.20000076293945,39.5,36.599998474121094,39.5,29314,2021-02-22
2021-03-01,39.0,39.0,39.849998474121094,37.099998474121094,38.0,41354,2021-03-01
2021-03-08,37.5,37.5,39.0,35.650001525878906,39.0,31802,2021-03-08
2021-03-15,34.849998474121094,34.849998474121094,38.650001525878906,33.04999923706055,36.150001525878906,31921,2021-03-15
2021-03-22,31.299999237060547,31.299999237060547,36.5,31.0,35.5,42235,2021-03-22
2021-03-29,34.29999923706055,34.29999923706055,34.5,30.25,31.299999237060547,21736,2021-03-29
2021-04-05,34.150001525878906,34.150001525878906,34.95000076293945,33.20000076293945,34.95000076293945,16231,2021-04-05
2021-04-12,32.099998474121094,32.099998474121094,34.849998474121094,30.649999618530273,34.849998474121094,6688,2021-04-12
2021-04-19,32.20000076293945,32.20000076293945,33.54999923706055,30.5,32.79999923706055,10032,2021-04-19
2021-04-26,31.850000381469727,31.850000381469727,34.79999923706055,31.450000762939453,33.79999923706055,59498,2021-04-26
2021-05-03,34.150001525878906,34.150001525878906,34.400001525878906,31.350000381469727,32.25,52415,2021-05-03
2021-05-10,38.099998474121094,38.099998474121094,41.400001525878906,32.900001525878906,33.5,97117,2021-05-10
2021-05-17,38.75,38.75,40.0,36.75,40.0,108227,2021-05-17
2021-05-24,38.150001525878906,38.150001525878906,40.0,37.0,38.0,46259,2021-05-24
2021-05-31,42.0,42.0,42.0,37.79999923706055,39.95000076293945,80815,2021-05-31
2021-06-07,46.25,46.25,49.95000076293945,43.0,43.0,165511,2021-06-07
2021-06-14,55.849998474121094,55.849998474121094,62.20000076293945,45.099998474121094,47.29999923706055,438145,2021-06-14
2021-06-21,66.5999984741211,66.5999984741211,68.6500015258789,53.099998474121094,55.5,247645,2021-06-21
2021-06-28,79.9000015258789,79.9000015258789,82.30000305175781,67.05000305175781,69.4000015258789,361373,2021-06-28
2021-07-05,71.69999694824219,71.69999694824219,79.9000015258789,65.19999694824219,79.9000015258789,121117,2021-07-05
2021-07-12,67.6500015258789,67.6500015258789,73.5,65.1500015258789,71.9000015258789,77311,2021-07-12
2021-07-19,68.5,68.5,70.0,63.04999923706055,68.19999694824219,64583,2021-07-19
2021-07-26,58.95000076293945,58.95000076293945,71.0,57.599998474121094,71.0,105889,2021-07-26
2021-08-02,64.0,64.0,67.69999694824219,59.099998474121094,60.95000076293945,98863,2021-08-02
2021-08-09,58.0,58.0,65.9000015258789,55.29999923706055,65.0,55982,2021-08-09
2021-08-16,53.099998474121094,53.099998474121094,60.0,52.0,59.20000076293945,38807,2021-08-16
2021-08-23,53.95000076293945,53.95000076293945,57.0,47.95000076293945,50.599998474121094,48787,2021-08-23
2021-08-30,56.04999923706055,56.04999923706055,58.20000076293945,52.70000076293945,53.95000076293945,32464,2021-08-30
2021-09-06,55.75,55.75,57.95000076293945,54.04999923706055,56.04999923706055,20848,2021-09-06
2021-09-13,61.54999923706055,61.54999923706055,63.75,55.099998474121094,55.25,52392,2021-09-13
2021-09-20,60.5,60.5,62.95000076293945,56.099998474121094,62.95000076293945,39297,2021-09-20
2021-09-27,59.900001525878906,59.900001525878906,62.45000076293945,58.29999923706055,60.5,29491,2021-09-27
2021-10-04,70.9000015258789,70.9000015258789,73.94999694824219,59.900001525878906,62.599998474121094,113642,2021-10-04
2021-10-11,85.80000305175781,85.80000305175781,85.80000305175781,71.0,71.1500015258789,209505,2021-10-11
2021-10-18,79.75,79.75,94.55000305175781,78.3499984741211,90.05000305175781,379146,2021-10-18
2021-10-25,91.1500015258789,91.1500015258789,92.0999984741211,75.80000305175781,82.80000305175781,150713,2021-10-25
2021-11-01,109.25,109.25,109.25,91.30000305175781,92.30000305175781,174480,2021-11-01
2021-11-08,139.3000030517578,139.3000030517578,139.3000030517578,114.69999694824219,114.69999694824219,71344,2021-11-08
2021-11-15,152.5,152.5,153.10000610351562,125.75,146.25,734535,2021-11-15
2021-11-22,194.5500030517578,194.5500030517578,194.5500030517578,155.5500030517578,160.10000610351562,200943,2021-11-22
2021-11-29,248.1999969482422,248.1999969482422,248.1999969482422,197.0,204.25,389662,2021-11-29
2021-12-06,316.6499938964844,316.6499938964844,316.6499938964844,235.8000030517578,260.6000061035156,428096,2021-12-06
2021-12-13,404.0,404.0,404.0,332.45001220703125,332.45001220703125,451434,2021-12-13
2021-12-20,515.5499877929688,515.5499877929688,515.5499877929688,383.79998779296875,420.0,251672,2021-12-20
2021-12-27,657.8499755859375,657.8499755859375,657.8499755859375,521.25,541.2999877929688,381149,2021-12-27
2022-01-03,839.4500122070312,839.4500122070312,839.4500122070312,660.0999755859375,690.7000122070312,385555,2022-01-03
2022-01-10,793.5,793.5,925.4500122070312,793.5,881.4000244140625,216177,2022-01-10
2022-01-17,614.0999755859375,614.0999755859375,753.8499755859375,614.0999755859375,753.8499755859375,12767,2022-01-17
2022-01-24,500.25,500.25,583.4000244140625,500.25,583.4000244140625,9829,2022-01-24
2022-01-31,522.5999755859375,522.5999755859375,522.5999755859375,446.0,475.25,354075,2022-01-31
2022-02-07,404.5,404.5,548.7000122070312,404.5,548.7000122070312,84957,2022-02-07
2022-02-14,315.75,315.75,384.29998779296875,315.75,384.29998779296875,419609,2022-02-14
2022-02-21,244.39999389648438,244.39999389648438,307.0,244.39999389648438,300.0,145723,2022-02-21
2022-02-28,296.95001220703125,296.95001220703125,296.95001220703125,232.1999969482422,232.1999969482422,71221,2022-02-28
2022-03-07,378.79998779296875,378.79998779296875,378.79998779296875,282.1499938964844,300.0,69699,2022-03-07
2022-03-14,416.5,416.5,460.29998779296875,386.3999938964844,393.0,161012,2022-03-14
2022-03-21,480.79998779296875,480.79998779296875,480.79998779296875,375.95001220703125,395.70001220703125,356772,2022-03-21
2022-03-28,613.5,613.5,613.5,456.79998779296875,490.45001220703125,294421,2022-03-28
2022-04-04,638.7000122070312,638.7000122070312,734.0,625.7999877929688,638.7999877929688,455417,2022-04-04
2022-04-11,605.2999877929688,605.2999877929688,626.0,547.7000122070312,606.7999877929688,202061,2022-04-11
2022-04-18,572.5499877929688,572.5499877929688,628.0,528.5499877929688,628.0,297767,2022-04-18
2022-04-25,545.9000244140625,545.9000244140625,619.0999755859375,541.25,571.2000122070312,206518,2022-04-25
2022-05-02,502.45001220703125,502.45001220703125,539.0,472.3500061035156,523.0999755859375,136410,2022-05-02
2022-05-09,407.29998779296875,407.29998779296875,500.3999938964844,397.79998779296875,493.6499938964844,136993,2022-05-09
2022-05-16,473.79998779296875,473.79998779296875,486.0,408.5,414.0,84861,2022-05-16
2022-05-23,433.3999938964844,433.3999938964844,494.0,406.75,494.0,78678,2022-05-23
2022-05-30,450.75,450.75,450.75,407.8999938964844,450.0,79396,2022-05-30
2022-06-06,447.95001220703125,447.95001220703125,459.1000061035156,402.0,459.0,94875,2022-06-06
2022-06-13,388.20001220703125,388.20001220703125,440.0,381.5,440.0,74624,2022-06-13
2022-06-20,405.54998779296875,405.54998779296875,405.54998779296875,335.1000061035156,388.20001220703125,82107,2022-06-20
2022-06-27,485.1000061035156,485.1000061035156,485.1000061035156,406.6499938964844,425.79998779296875,352459,2022-06-27
2022-07-04,499.3999938964844,499.3999938964844,545.0,485.29998779296875,493.8999938964844,463994,2022-07-04
2022-07-11,470.8999938964844,470.8999938964844,517.9000244140625,453.0,496.79998779296875,177850,2022-07-11
2022-07-18,486.6000061035156,486.6000061035156,537.0,475.04998779296875,479.95001220703125,225958,2022-07-18
2022-07-25,453.3500061035156,453.3500061035156,487.0,438.0,486.6000061035156,170190,2022-07-25
2022-08-01,414.3999938964844,414.3999938964844,499.79998779296875,408.20001220703125,461.8999938964844,405442,2022-08-01
2022-08-08,413.1499938964844,413.1499938964844,433.0,407.0,420.0,126042,2022-08-08
2022-08-15,407.79998779296875,407.79998779296875,422.6000061035156,404.8500061035156,413.1499938964844,112236,2022-08-15
2022-08-22,421.3999938964844,421.3999938964844,455.0,391.0,407.5,390712,2022-08-22
2022-08-29,500.3999938964844,500.3999938964844,503.0,396.6000061035156,419.0,865965,2022-08-29
2022-09-05,460.3500061035156,460.3500061035156,515.7999877929688,456.04998779296875,512.7999877929688,602338,2022-09-05
2022-09-12,442.6499938964844,442.6499938964844,485.0,433.04998779296875,469.6000061035156,229684,2022-09-12
2022-09-19,429.3500061035156,429.3500061035156,481.54998779296875,426.29998779296875,442.70001220703125,133644,2022-09-19
2022-09-26,406.0,406.0,445.0,396.75,445.0,158823,2022-09-26
2022-10-03,408.8500061035156,408.8500061035156,415.0,401.0,415.0,73746,2022-10-03
2022-10-10,397.0,397.0,413.95001220703125,395.1000061035156,405.0,85578,2022-10-10
2022-10-17,379.20001220703125,379.20001220703125,407.95001220703125,378.0,397.95001220703125,124158,2022-10-17
2022-10-24,369.29998779296875,369.29998779296875,394.0,364.79998779296875,393.0,93871,2022-10-24
2022-10-31,403.5,403.5,442.79998779296875,370.0,373.95001220703125,468147,2022-10-31
2022-11-07,395.6000061035156,395.6000061035156,413.0,392.0,413.0,92332,2022-11-07
2022-11-14,398.79998779296875,398.79998779296875,434.0,395.0,416.04998779296875,106980,2022-11-14
2022-11-21,386.1000061035156,386.1000061035156,409.75,380.20001220703125,403.79998779296875,90790,2022-11-21
