Date,Adj Close_THERMAX.NS,Close_THERMAX.NS,High_THERMAX.NS,Low_THERMAX.NS,Open_THERMAX.NS,Volume_THERMAX.NS,Date
2020-07-13,726.4520874023438,740.9000244140625,782.0,735.0,766.0499877929688,132084,2020-07-13
2020-07-20,727.6284790039062,742.0999755859375,770.9000244140625,736.0,749.0,563342,2020-07-20
2020-07-27,730.3739624023438,744.9000244140625,753.0,724.8499755859375,752.0,111810,2020-07-27
2020-08-03,736.5511474609375,751.2000122070312,772.5999755859375,728.0,739.9000244140625,151672,2020-08-03
2020-08-10,734.4920654296875,749.0999755859375,771.5,730.0,755.0,294944,2020-08-10
2020-08-17,801.8523559570312,817.7999877929688,825.0,750.0,755.0,1428935,2020-08-17
2020-08-24,776.1141967773438,791.5499877929688,837.0,775.0,814.5999755859375,320850,2020-08-24
2020-08-31,755.32763671875,770.3499755859375,809.1500244140625,742.5,795.4000244140625,350934,2020-08-31
2020-09-07,729.6385498046875,744.1500244140625,798.5499877929688,739.0,779.9500122070312,172708,2020-09-07
2020-09-14,765.5738525390625,780.7999877929688,789.0,745.4000244140625,753.0,244762,2020-09-14
2020-09-21,718.5588989257812,732.8499755859375,794.7999877929688,718.5499877929688,788.7999877929688,144271,2020-09-21
2020-09-28,704.3416137695312,718.3499755859375,742.5499877929688,713.9500122070312,736.5499877929688,163875,2020-09-28
2020-10-05,719.2942504882812,733.5999755859375,764.7000122070312,703.9500122070312,719.0,403588,2020-10-05
2020-10-12,723.8046264648438,738.2000122070312,742.1500244140625,705.0,736.0,454483,2020-10-12
2020-10-19,742.5811157226562,757.3499755859375,773.4000244140625,730.0,740.0,182138,2020-10-19
2020-10-26,744.2969970703125,759.0999755859375,790.9500122070312,749.2000122070312,768.9500122070312,543037,2020-10-26
2020-11-02,760.2301635742188,775.3499755859375,799.0,744.1500244140625,759.0,207137,2020-11-02
2020-11-09,775.4769287109375,790.9000244140625,795.0,765.0,788.5,134817,2020-11-09
2020-11-16,827.5414428710938,844.0,857.1500244140625,787.4500122070312,787.4500122070312,832255,2020-11-16
2020-11-23,875.9782104492188,893.4000244140625,910.0,830.5999755859375,848.0,401230,2020-11-23
2020-11-30,899.8042602539062,917.7000122070312,929.9500122070312,874.0,893.4000244140625,176030,2020-11-30
2020-12-07,894.21533203125,912.0,930.7000122070312,900.1500244140625,920.0,112959,2020-12-07
2020-12-14,903.5791625976562,921.5499877929688,966.5,875.0,916.0,329923,2020-12-14
2020-12-21,906.0794067382812,924.0999755859375,955.0,874.0,927.0,253491,2020-12-21
2020-12-28,887.15576171875,904.7999877929688,930.5,895.0,925.9000244140625,120339,2020-12-28
2021-01-04,957.1634521484375,976.2000122070312,989.0,907.0499877929688,913.0,191790,2021-01-04
2021-01-11,971.4786987304688,990.7999877929688,1030.0,964.0,976.2000122070312,242925,2021-01-11
2021-01-18,938.828125,957.5,1002.0499877929688,954.0999755859375,999.0,227934,2021-01-18
2021-01-25,972.7533569335938,992.0999755859375,999.0,938.9000244140625,960.0,110863,2021-01-25
2021-02-01,1156.793212890625,1179.800048828125,1286.0,957.3499755859375,982.0499877929688,2089470,2021-02-01
2021-02-08,1118.357421875,1140.5999755859375,1173.8499755859375,1122.0,1173.8499755859375,605555,2021-02-08
2021-02-15,1139.683349609375,1162.3499755859375,1227.800048828125,1135.3499755859375,1150.0,503276,2021-02-15
2021-02-22,1332.8416748046875,1359.3499755859375,1436.9000244140625,1140.75,1168.199951171875,614158,2021-02-22
