Date,Adj Close_LYKALABS.NS,Close_LYKALABS.NS,High_LYKALABS.NS,Low_LYKALABS.NS,Open_LYKALABS.NS,Volume_LYKALABS.NS,Date
2020-07-13,18.899999618530273,18.899999618530273,19.899999618530273,18.0,19.549999237060547,55327,2020-07-13
2020-07-20,17.850000381469727,17.850000381469727,19.75,17.0,19.75,81034,2020-07-20
2020-07-27,17.399999618530273,17.399999618530273,18.600000381469727,17.0,18.25,68723,2020-07-27
2020-08-03,19.850000381469727,19.850000381469727,20.299999237060547,17.25,17.950000762939453,108387,2020-08-03
2020-08-10,20.549999237060547,20.549999237060547,22.600000381469727,19.100000381469727,19.850000381469727,188675,2020-08-10
2020-08-17,21.299999237060547,21.299999237060547,21.850000381469727,19.5,21.450000762939453,165360,2020-08-17
2020-08-24,20.649999618530273,20.649999618530273,21.950000762939453,20.049999237060547,21.950000762939453,160241,2020-08-24
2020-08-31,19.200000762939453,19.200000762939453,21.450000762939453,18.75,21.450000762939453,103547,2020-08-31
2020-09-07,18.899999618530273,18.899999618530273,20.100000381469727,18.350000381469727,19.200000762939453,50027,2020-09-07
2020-09-14,19.100000381469727,19.100000381469727,20.299999237060547,18.950000762939453,19.75,59260,2020-09-14
2020-09-21,18.399999618530273,18.399999618530273,19.350000381469727,17.25,19.200000762939453,60866,2020-09-21
2020-09-28,18.899999618530273,18.899999618530273,19.649999618530273,18.100000381469727,18.899999618530273,27134,2020-09-28
2020-10-05,19.75,19.75,21.649999618530273,18.350000381469727,18.399999618530273,220241,2020-10-05
2020-10-12,18.149999618530273,18.149999618530273,20.799999237060547,17.799999237060547,20.799999237060547,66754,2020-10-12
2020-10-19,18.100000381469727,18.100000381469727,19.450000762939453,17.600000381469727,18.799999237060547,82472,2020-10-19
2020-10-26,17.350000381469727,17.350000381469727,18.700000762939453,17.25,18.100000381469727,71574,2020-10-26
2020-11-02,17.049999237060547,17.049999237060547,18.0,16.200000762939453,17.700000762939453,93044,2020-11-02
2020-11-09,17.200000762939453,17.200000762939453,18.0,16.0,17.799999237060547,118123,2020-11-09
2020-11-16,17.399999618530273,17.399999618530273,18.399999618530273,16.75,16.75,123524,2020-11-16
2020-11-23,20.75,20.75,21.5,17.299999237060547,17.799999237060547,362679,2020-11-23
2020-11-30,22.450000762939453,22.450000762939453,23.200000762939453,20.299999237060547,20.75,477398,2020-11-30
2020-12-07,21.399999618530273,21.399999618530273,24.350000381469727,20.049999237060547,22.450000762939453,260993,2020-12-07
2020-12-14,22.899999618530273,22.899999618530273,23.399999618530273,21.549999237060547,21.850000381469727,255725,2020-12-14
2020-12-21,23.299999237060547,23.299999237060547,23.399999618530273,19.049999237060547,23.399999618530273,429133,2020-12-21
2020-12-28,32.54999923706055,32.54999923706055,32.54999923706055,24.399999618530273,24.399999618530273,211526,2020-12-28
