Date,Adj Close_INTERARCH.NS,Close_INTERARCH.NS,High_INTERARCH.NS,Low_INTERARCH.NS,Open_INTERARCH.NS,Volume_INTERARCH.NS,Date
2024-08-26,1172.5,1172.5,1314.800048828125,1129.0,1299.0,9519583,2024-08-26
2024-09-02,1214.4000244140625,1214.4000244140625,1233.949951171875,1110.1500244140625,1189.0,2794844,2024-09-02
2024-09-09,1250.0,1250.0,1338.1500244140625,1182.0,1217.949951171875,3795402,2024-09-09
2024-09-16,1322.4000244140625,1322.4000244140625,1347.800048828125,1167.0,1250.0,2874820,2024-09-16
2024-09-23,1402.050048828125,1402.050048828125,1457.1500244140625,1232.0999755859375,1331.949951171875,3438603,2024-09-23
2024-09-30,1340.0999755859375,1340.0999755859375,1467.800048828125,1325.0,1400.0,1244774,2024-09-30
2024-10-07,1502.4000244140625,1502.4000244140625,1521.0,1254.5999755859375,1353.0,1556513,2024-10-07
2024-10-14,1689.550048828125,1689.550048828125,1705.0,1490.0,1517.0,2043645,2024-10-14
2024-10-21,1613.0,1613.0,1730.0,1404.0,1704.949951171875,2330326,2024-10-21
2024-10-28,1777.0,1777.0,1815.0,1479.0,1629.0,1535261,2024-10-28
2024-11-04,1634.050048828125,1634.050048828125,1784.8499755859375,1615.25,1779.0,916316,2024-11-04
2024-11-11,1547.5999755859375,1547.5999755859375,1694.0,1485.1500244140625,1636.0,578652,2024-11-11
2024-11-18,1434.0,1434.0,1610.699951171875,1395.0,1575.0,963092,2024-11-18
2024-11-25,1529.4000244140625,1529.4000244140625,1557.0,1431.0,1474.949951171875,985386,2024-11-25
2024-12-02,1632.0999755859375,1632.0999755859375,1650.0,1501.0,1528.9000244140625,1153394,2024-12-02
2024-12-09,1745.800048828125,1745.800048828125,1755.0,1600.0,1653.0,1252293,2024-12-09
2024-12-16,1641.75,1641.75,1781.9000244140625,1614.449951171875,1751.0,1238471,2024-12-16
2024-12-23,1817.699951171875,1817.699951171875,1890.0,1646.0,1674.0,2334547,2024-12-23
2024-12-30,1783.550048828125,1783.550048828125,1923.75,1740.0,1820.0,1147236,2024-12-30
2025-01-06,1554.5,1554.5,1792.8499755859375,1516.050048828125,1790.949951171875,994236,2025-01-06
2025-01-13,1645.199951171875,1645.199951171875,1800.0999755859375,1503.050048828125,1598.0,1573920,2025-01-13
2025-01-20,1544.800048828125,1544.800048828125,1740.0,1535.5,1650.0,597384,2025-01-20
2025-01-27,1558.550048828125,1558.550048828125,1673.9000244140625,1350.0,1515.0,1179238,2025-01-27
2025-02-03,1565.699951171875,1565.699951171875,1679.949951171875,1504.8499755859375,1558.550048828125,596973,2025-02-03
2025-02-10,1385.6500244140625,1385.6500244140625,1568.1500244140625,1359.0,1565.699951171875,866177,2025-02-10
2025-02-17,1542.4000244140625,1542.4000244140625,1558.0,1351.0,1385.6500244140625,642680,2025-02-17
2025-02-24,1471.4000244140625,1471.4000244140625,1568.0999755859375,1452.0,1508.0,295549,2025-02-24
2025-03-03,1486.1500244140625,1486.1500244140625,1523.75,1352.0,1499.949951171875,636875,2025-03-03
2025-03-10,1393.800048828125,1393.800048828125,1514.8499755859375,1390.050048828125,1461.0,312391,2025-03-10
2025-03-17,1512.6500244140625,1512.6500244140625,1525.0,1375.0,1417.800048828125,433863,2025-03-17
2025-03-24,1488.550048828125,1488.550048828125,1550.0,1455.75,1525.0,358162,2025-03-24
2025-03-31,1579.9000244140625,1579.9000244140625,1680.0,1475.0,1488.550048828125,781574,2025-03-31
2025-04-07,1712.5999755859375,1712.5999755859375,1740.0,1264.0,1264.0,910363,2025-04-07
2025-04-14,1725.0999755859375,1725.0999755859375,1769.699951171875,1660.0,1750.0,473802,2025-04-14
2025-04-21,1668.0,1668.0,1858.800048828125,1610.0999755859375,1749.0,1030651,2025-04-21
2025-04-28,1660.9000244140625,1660.9000244140625,1684.9000244140625,1576.0,1668.0,357686,2025-04-28
2025-05-05,1633.0,1633.0,1743.9000244140625,1575.300048828125,1661.0,441753,2025-05-05
2025-05-12,1813.5999755859375,1813.5999755859375,1897.0,1662.9000244140625,1662.9000244140625,756877,2025-05-12
2025-05-19,2151.89990234375,2151.89990234375,2221.0,1740.0,1818.0,3286860,2025-05-19
2025-05-26,2272.39990234375,2272.39990234375,2299.0,2076.300048828125,2147.10009765625,760760,2025-05-26
2025-06-02,2230.5,2230.5,2371.0,2147.0,2272.39990234375,1005647,2025-06-02
2025-06-09,2166.199951171875,2166.199951171875,2319.10009765625,2118.0,2249.0,714980,2025-06-09
2025-06-16,2057.0,2057.0,2195.89990234375,1970.0,2171.0,244057,2025-06-16
2025-06-23,2145.300048828125,2145.300048828125,2215.0,2061.0,2079.0,138949,2025-06-23
2025-06-30,2325.5,2325.5,2348.199951171875,2112.0,2180.0,210414,2025-06-30
2025-07-07,2206.5,2206.5,2348.0,2185.0,2325.5,79713,2025-07-07
2025-07-14,2180.39990234375,2180.39990234375,2239.800048828125,2098.0,2220.0,60697,2025-07-14
