Date,Adj Close_MUFTI.NS,Close_MUFTI.NS,High_MUFTI.NS,Low_MUFTI.NS,Open_MUFTI.NS,Volume_MUFTI.NS,Date
2023-12-25,290.7512512207031,291.5,324.79998779296875,261.6000061035156,282.3500061035156,37378635,2023-12-25
2024-01-01,277.5352783203125,278.25,293.45001220703125,276.6499938964844,292.0,5648389,2024-01-01
2024-01-08,271.9496765136719,272.6499938964844,279.75,264.1499938964844,279.0,2925005,2024-01-08
2024-01-15,265.46636962890625,266.1499938964844,289.0,262.6000061035156,272.6499938964844,3820019,2024-01-15
2024-01-22,251.60206604003906,252.25,267.70001220703125,250.0,266.1499938964844,813148,2024-01-22
2024-01-29,271.84991455078125,272.54998779296875,278.3999938964844,252.8000030517578,252.8000030517578,1599578,2024-01-29
2024-02-05,248.310546875,248.9499969482422,273.95001220703125,246.10000610351562,273.95001220703125,1522072,2024-02-05
2024-02-12,239.43341064453125,240.0500030517578,253.1999969482422,230.60000610351562,248.0,1627377,2024-02-12
2024-02-19,232.75062561035156,233.35000610351562,242.1999969482422,226.14999389648438,242.1999969482422,1451597,2024-02-19
2024-02-26,222.52694702148438,223.10000610351562,239.89999389648438,221.14999389648438,234.75,946400,2024-02-26
2024-03-04,198.04000854492188,198.5500030517578,236.10000610351562,197.0500030517578,234.89999389648438,2324258,2024-03-04
2024-03-11,177.0939483642578,177.5500030517578,203.0,174.8000030517578,199.1999969482422,2878473,2024-03-11
2024-03-18,179.18853759765625,179.64999389648438,197.64999389648438,174.6999969482422,178.10000610351562,3319224,2024-03-18
2024-03-25,166.5211639404297,166.9499969482422,181.0,165.39999389648438,179.64999389648438,2309416,2024-03-25
2024-04-01,201.9798583984375,202.5,211.5500030517578,168.5,169.0,4172305,2024-04-01
2024-04-08,190.95823669433594,191.4499969482422,205.6999969482422,188.8000030517578,204.4499969482422,835404,2024-04-08
2024-04-15,183.57725524902344,184.0500030517578,192.9499969482422,179.39999389648438,186.4499969482422,723489,2024-04-15
2024-04-22,186.0209503173828,186.5,193.4499969482422,184.60000610351562,187.39999389648438,661618,2024-04-22
2024-04-29,185.92120361328125,186.39999389648438,188.4499969482422,181.0500030517578,187.75,873790,2024-04-29
2024-05-06,171.308837890625,171.75,187.4499969482422,170.5500030517578,186.3000030517578,781373,2024-05-06
2024-05-13,176.84458923339844,177.3000030517578,177.85000610351562,168.89999389648438,172.0500030517578,634514,2024-05-13
2024-05-20,168.6656494140625,169.10000610351562,180.0,168.89999389648438,175.25,547463,2024-05-20
2024-05-27,161.7833709716797,162.1999969482422,173.25,161.75,170.9499969482422,1271616,2024-05-27
2024-06-03,160.9854278564453,161.39999389648438,168.0,145.1999969482422,165.75,1274380,2024-06-03
2024-06-10,173.60293579101562,174.0500030517578,176.61000061035156,159.7100067138672,161.39999389648438,1308735,2024-06-10
2024-06-17,169.14442443847656,169.5800018310547,175.89999389648438,167.5,174.0500030517578,711034,2024-06-17
2024-06-24,163.0800323486328,163.5,169.61000061035156,161.0,169.0,541867,2024-06-24
2024-07-01,168.08714294433594,168.52000427246094,174.39999389648438,164.0,165.0,986394,2024-07-01
