Date,Adj Close_JAGRAN.NS,Close_JAGRAN.NS,High_JAGRAN.NS,Low_JAGRAN.NS,Open_JAGRAN.NS,Volume_JAGRAN.NS,Date
2020-07-13,33.167388916015625,39.79999923706055,40.45000076293945,39.0,39.95000076293945,984746,2020-07-13
2020-07-20,32.70904541015625,39.25,40.25,38.599998474121094,39.900001525878906,2084486,2020-07-20
2020-07-27,31.959026336669922,38.349998474121094,39.5,38.25,39.5,1035574,2020-07-27
2020-08-03,31.5423526763916,37.849998474121094,38.25,36.45000076293945,38.0,1561097,2020-08-03
2020-08-10,33.1257209777832,39.75,40.95000076293945,37.79999923706055,38.0,2229839,2020-08-10
2020-08-17,34.91742706298828,41.900001525878906,42.5,39.75,40.0,3278191,2020-08-17
2020-08-24,34.83409118652344,41.79999923706055,44.349998474121094,41.0,42.099998474121094,8839901,2020-08-24
2020-08-31,33.00071334838867,39.599998474121094,42.70000076293945,38.79999923706055,42.70000076293945,1726158,2020-08-31
2020-09-07,32.250701904296875,38.70000076293945,40.25,36.900001525878906,38.900001525878906,878931,2020-09-07
2020-09-14,31.9173583984375,38.29999923706055,40.5,37.900001525878906,39.400001525878906,1254131,2020-09-14
2020-09-21,31.042341232299805,37.25,39.29999923706055,36.099998474121094,39.29999923706055,1823559,2020-09-21
2020-09-28,30.959009170532227,37.150001525878906,37.650001525878906,36.70000076293945,37.25,775430,2020-09-28
2020-10-05,30.25065803527832,36.29999923706055,37.75,35.5,37.29999923706055,810890,2020-10-05
2020-10-12,30.2089900970459,36.25,37.5,36.0,37.400001525878906,662240,2020-10-12
2020-10-19,30.708999633789062,36.849998474121094,37.25,35.5,37.099998474121094,1104003,2020-10-19
2020-10-26,30.62566375732422,36.75,37.650001525878906,35.900001525878906,36.849998474121094,825647,2020-10-26
2020-11-02,30.917339324951172,37.099998474121094,40.0,36.20000076293945,36.54999923706055,1028310,2020-11-02
2020-11-09,31.042341232299805,37.25,39.5,36.099998474121094,36.79999923706055,793959,2020-11-09
2020-11-16,34.00074005126953,40.79999923706055,43.20000076293945,36.5,36.900001525878906,4538415,2020-11-16
2020-11-23,33.1257209777832,39.75,41.400001525878906,38.45000076293945,41.25,1813788,2020-11-23
2020-11-30,34.58408737182617,41.5,43.25,39.75,39.75,2452523,2020-11-30
2020-12-07,36.750797271728516,44.099998474121094,45.70000076293945,41.70000076293945,42.20000076293945,4731135,2020-12-07
2020-12-14,36.00078201293945,43.20000076293945,46.900001525878906,42.70000076293945,45.54999923706055,3482728,2020-12-14
2020-12-21,34.9590950012207,41.95000076293945,43.599998474121094,39.099998474121094,43.45000076293945,1816841,2020-12-21
2020-12-28,35.9591178894043,43.150001525878906,43.70000076293945,41.79999923706055,42.5,1210237,2020-12-28
2021-01-04,37.9174919128418,45.5,46.70000076293945,43.0,43.900001525878906,3571828,2021-01-04
2021-01-11,36.70913314819336,44.04999923706055,46.5,43.849998474121094,45.900001525878906,2087374,2021-01-11
2021-01-18,34.04240798950195,40.849998474121094,45.849998474121094,40.75,44.099998474121094,2181534,2021-01-18
2021-01-25,34.29241180419922,41.150001525878906,42.599998474121094,39.150001525878906,41.20000076293945,855209,2021-01-25
2021-02-01,35.91744613647461,43.099998474121094,44.400001525878906,40.29999923706055,40.79999923706055,1663941,2021-02-01
2021-02-08,36.58413314819336,43.900001525878906,46.400001525878906,42.75,43.5,2942863,2021-02-08
