Date,Adj Close_PRUDENT.NS,Close_PRUDENT.NS,High_PRUDENT.NS,Low_PRUDENT.NS,Open_PRUDENT.NS,Volume_PRUDENT.NS,Date
2022-05-16,559.7460327148438,561.75,650.0,541.0,650.0,3203719,2022-05-16
2022-05-23,510.2731018066406,512.0999755859375,575.0,470.3500061035156,549.9000244140625,1200941,2022-05-23
2022-05-30,562.9844360351562,565.0,618.75,500.0,512.0,2474673,2022-05-30
2022-06-06,582.4149169921875,584.5,602.25,535.9500122070312,567.0,737710,2022-06-06
2022-06-13,498.1166687011719,499.8999938964844,595.2999877929688,460.95001220703125,582.5,575425,2022-06-13
2022-06-20,487.454833984375,489.20001220703125,521.6500244140625,477.3500061035156,501.0,187968,2022-06-20
2022-06-27,486.45843505859375,488.20001220703125,513.6500244140625,485.0,495.0,130618,2022-06-27
2022-07-04,492.0384521484375,493.79998779296875,518.8499755859375,477.54998779296875,480.20001220703125,109566,2022-07-04
2022-07-11,483.0705261230469,484.79998779296875,508.6000061035156,483.04998779296875,493.79998779296875,50432,2022-07-11
2022-07-18,493.4832458496094,495.25,503.75,480.5,492.04998779296875,30499,2022-07-18
2022-07-25,540.564697265625,542.5,564.0,489.0,490.29998779296875,157140,2022-07-25
2022-08-01,624.3148803710938,626.5499877929688,637.9500122070312,466.6000061035156,560.0,395727,2022-08-01
2022-08-08,627.8023071289062,630.0499877929688,644.9500122070312,591.1500244140625,615.1500244140625,151666,2022-08-08
2022-08-15,612.9057006835938,615.0999755859375,649.0,611.0499877929688,630.0499877929688,149484,2022-08-15
2022-08-22,613.653076171875,615.8499755859375,643.1500244140625,605.0,606.5999755859375,101760,2022-08-22
2022-08-29,602.7421264648438,604.9000244140625,618.5,570.9500122070312,600.0,108651,2022-08-29
2022-09-05,687.6381225585938,690.0999755859375,700.0,596.4500122070312,598.8499755859375,640430,2022-09-05
2022-09-12,660.9835815429688,663.3499755859375,721.9500122070312,652.25,695.0,397039,2022-09-12
2022-09-19,610.1757202148438,611.5,695.1500244140625,604.9500122070312,655.0,238550,2022-09-19
2022-09-26,728.61865234375,730.2000122070312,750.0,583.8499755859375,603.0,768685,2022-09-26
2022-10-03,705.818115234375,707.3499755859375,745.0,678.0,717.5499877929688,339720,2022-10-03
2022-10-10,694.043701171875,695.5499877929688,717.7999877929688,655.0499877929688,700.0,192346,2022-10-10
2022-10-17,700.779052734375,702.2999877929688,741.9000244140625,675.0,681.0999755859375,227958,2022-10-17
2022-10-24,719.08935546875,720.6500244140625,741.9000244140625,693.0499877929688,702.2999877929688,80438,2022-10-24
2022-10-31,795.2739868164062,797.0,847.5,678.5499877929688,730.0,857859,2022-10-31
2022-11-07,793.128662109375,794.8499755859375,830.0,743.9500122070312,801.5999755859375,216842,2022-11-07
2022-11-14,802.8574829101562,804.5999755859375,826.0,785.0,796.0,192219,2022-11-14
2022-11-21,826.5062255859375,828.2999877929688,865.0,791.0499877929688,796.0499877929688,142443,2022-11-21
2022-11-28,935.5694580078125,937.5999755859375,955.0,820.0,828.2999877929688,287251,2022-11-28
2022-12-05,886.6755981445312,888.5999755859375,1024.9000244140625,875.0499877929688,936.0,468708,2022-12-05
2022-12-12,979.3743896484375,981.5,1035.800048828125,851.5499877929688,885.5,477598,2022-12-12
2022-12-19,876.7970581054688,878.7000122070312,1029.8499755859375,870.0,1012.9500122070312,273890,2022-12-19
2022-12-26,989.3029174804688,991.4500122070312,998.0,860.0,860.0,152547,2022-12-26
2023-01-02,1011.5545654296875,1013.75,1108.0,979.0499877929688,998.7999877929688,352120,2023-01-02
2023-01-09,1039.9927978515625,1042.25,1074.949951171875,1015.2000122070312,1022.25,187516,2023-01-09
2023-01-16,992.8950805664062,995.0499877929688,1057.1500244140625,980.5499877929688,1052.199951171875,142688,2023-01-16
2023-01-23,990.9492797851562,993.0999755859375,1049.800048828125,972.5,993.0,153527,2023-01-23
2023-01-30,906.8318481445312,908.7999877929688,1023.2000122070312,900.0,988.0,515304,2023-01-30
2023-02-06,910.2245483398438,912.2000122070312,927.2999877929688,871.75,901.2999877929688,443568,2023-02-06
2023-02-13,881.736328125,883.6500244140625,969.0,877.0,909.0,184854,2023-02-13
2023-02-20,842.1223754882812,843.9500122070312,900.0,828.9000244140625,890.7000122070312,123376,2023-02-20
2023-02-27,843.2698364257812,845.0999755859375,867.4500122070312,818.0499877929688,825.0,149861,2023-02-27
2023-03-06,778.310791015625,780.0,861.75,776.25,859.0,205341,2023-03-06
2023-03-13,790.18505859375,791.9000244140625,807.5,751.7000122070312,785.0,152996,2023-03-13
2023-03-20,860.5323486328125,862.4000244140625,873.25,703.2999877929688,766.3499755859375,273164,2023-03-20
