Date,Adj Close_CARYSIL.NS,Close_CARYSIL.NS,High_CARYSIL.NS,Low_CARYSIL.NS,Open_CARYSIL.NS,Volume_CARYSIL.NS,Date
2021-05-31,557.4239501953125,563.4000244140625,596.0,490.1000061035156,493.0,2131770,2021-05-31
2021-06-07,535.113037109375,540.8499755859375,574.0,492.1499938964844,570.5,730882,2021-06-07
2021-06-14,514.4842529296875,520.0,550.0,502.0,540.8499755859375,684765,2021-06-14
2021-06-21,555.6924438476562,561.6500244140625,609.7000122070312,506.25,521.0,1304145,2021-06-21
2021-06-28,618.815673828125,625.4500122070312,666.7999877929688,562.1500244140625,567.0,1557897,2021-06-28
2021-07-05,593.091552734375,599.4500122070312,637.9000244140625,594.7000122070312,634.8499755859375,286235,2021-07-05
2021-07-12,605.6567993164062,612.1500244140625,628.0,595.0,606.9500122070312,254384,2021-07-12
2021-07-19,595.8123779296875,602.2000122070312,617.2999877929688,575.0,606.2999877929688,199343,2021-07-19
2021-07-26,613.0772705078125,619.6500244140625,649.5999755859375,574.7000122070312,605.0999755859375,736541,2021-07-26
2021-08-02,669.2252807617188,676.4000244140625,702.0,612.0999755859375,635.0,955100,2021-08-02
2021-08-09,624.3562622070312,631.0499877929688,695.0,561.0,695.0,808832,2021-08-09
2021-08-16,584.6322631835938,590.9000244140625,645.0,587.9500122070312,640.0,250439,2021-08-16
2021-08-23,581.1198120117188,587.3499755859375,625.0,565.0,577.0,382919,2021-08-23
2021-08-30,628.5612182617188,635.2999877929688,671.5,600.0,600.0,629017,2021-08-30
2021-09-06,632.6177368164062,639.4000244140625,649.0,621.0499877929688,644.4000244140625,193143,2021-09-06
2021-09-13,635.5709838867188,641.1500244140625,677.4000244140625,621.2000122070312,639.0,394602,2021-09-13
2021-09-20,795.5665283203125,802.5499877929688,823.7000122070312,603.0499877929688,639.9000244140625,1307865,2021-09-20
2021-09-27,780.44921875,787.2999877929688,830.0,745.0,830.0,537642,2021-09-27
2021-10-04,736.1878051757812,742.6500244140625,803.0499877929688,732.0499877929688,803.0499877929688,400136,2021-10-04
2021-10-11,737.4764404296875,743.9500122070312,779.75,740.0,756.0,585275,2021-10-11
2021-10-18,681.7654418945312,687.75,764.0,678.2999877929688,749.9500122070312,514842,2021-10-18
2021-10-25,714.72607421875,721.0,766.0,654.0499877929688,689.0,486752,2021-10-25
2021-11-01,764.0927734375,770.7999877929688,778.7999877929688,708.5,733.0,277472,2021-11-01
2021-11-08,788.9248046875,795.8499755859375,850.9000244140625,761.8499755859375,786.0,936031,2021-11-08
2021-11-15,828.1802368164062,835.4500122070312,915.9000244140625,798.5,803.0,821989,2021-11-15
2021-11-22,812.8646240234375,820.0,877.7999877929688,781.0,844.4000244140625,448329,2021-11-22
2021-11-29,803.2986450195312,810.3499755859375,850.9500122070312,779.0,804.4000244140625,490869,2021-11-29
2021-12-06,868.0304565429688,875.6500244140625,915.0,800.0999755859375,825.0,512807,2021-12-06
2021-12-13,855.4409790039062,862.9500122070312,927.9000244140625,842.0,885.0,478532,2021-12-13
2021-12-20,790.0648193359375,797.0,859.75,792.8499755859375,850.0,370520,2021-12-20
2021-12-27,813.608154296875,820.75,865.0,785.0,800.0,286633,2021-12-27
2022-01-03,808.1063842773438,815.2000122070312,836.0,812.0999755859375,815.0,220458,2022-01-03
2022-01-10,837.1019287109375,844.4500122070312,859.0,805.0499877929688,829.9000244140625,336275,2022-01-10
2022-01-17,799.977783203125,807.0,855.4000244140625,802.0,848.0,232969,2022-01-17
2022-01-24,763.1510009765625,769.8499755859375,811.0,707.0,811.0,394438,2022-01-24
2022-01-31,778.8630981445312,785.7000122070312,830.0,760.0,799.0,485372,2022-01-31
2022-02-07,720.6739501953125,727.0,794.0,716.4500122070312,790.0,315204,2022-02-07
2022-02-14,708.1234741210938,713.2000122070312,731.2000122070312,676.0499877929688,710.0,318769,2022-02-14
2022-02-21,673.521484375,678.3499755859375,750.0,660.0,694.0999755859375,475624,2022-02-21
2022-02-28,703.1590576171875,708.2000122070312,719.4000244140625,655.0,673.2999877929688,331158,2022-02-28
2022-03-07,727.6336059570312,732.8499755859375,755.0,680.0,689.9000244140625,331082,2022-03-07
2022-03-14,798.9225463867188,804.6500244140625,847.0,705.4000244140625,739.0,479321,2022-03-14
2022-03-21,793.5113525390625,799.2000122070312,813.9500122070312,771.1500244140625,810.0,379604,2022-03-21
2022-03-28,862.764892578125,868.9500122070312,891.8499755859375,785.25,809.0,1080914,2022-03-28
2022-04-04,842.9072265625,848.9500122070312,898.0,822.0499877929688,895.0,740603,2022-04-04
2022-04-11,845.0418701171875,851.0999755859375,870.0,827.0,852.9000244140625,152199,2022-04-11
2022-04-18,801.8515014648438,807.5999755859375,850.4000244140625,800.0,840.0,194183,2022-04-18
2022-04-25,740.2431640625,745.5499877929688,810.0,742.0,798.0,257664,2022-04-25
2022-05-02,707.9249267578125,713.0,748.0,702.5499877929688,744.0,235252,2022-05-02
2022-05-09,641.0045776367188,645.5999755859375,717.2999877929688,609.0,700.0,597750,2022-05-09
2022-05-16,604.8140869140625,609.1500244140625,699.0,583.4500122070312,654.0,906370,2022-05-16
2022-05-23,553.7302856445312,557.7000122070312,619.0,505.54998779296875,619.0,1025714,2022-05-23
2022-05-30,585.4031982421875,589.5999755859375,605.0,560.0,560.0,385984,2022-05-30
2022-06-06,568.4249267578125,572.5,599.0,562.9500122070312,599.0,144553,2022-06-06
2022-06-13,508.7527770996094,512.4000244140625,565.9500122070312,505.25,565.9500122070312,453246,2022-06-13
2022-06-20,553.6309814453125,557.5999755859375,565.0,468.0,509.0,1476639,2022-06-20
2022-06-27,615.2393798828125,619.6500244140625,647.0499877929688,550.5499877929688,577.7000122070312,1737249,2022-06-27
2022-07-04,606.7999267578125,611.1500244140625,642.0,605.1500244140625,616.7000122070312,342255,2022-07-04
2022-07-11,576.3184204101562,580.4500122070312,621.5,570.0,616.75,330191,2022-07-11
2022-07-18,616.5301513671875,620.9500122070312,640.9500122070312,584.0,585.0,562229,2022-07-18
2022-07-25,637.380615234375,641.9500122070312,661.5999755859375,600.0,622.0,641339,2022-07-25
2022-08-01,640.6571044921875,645.25,665.0499877929688,625.0999755859375,650.0,410559,2022-08-01
2022-08-08,613.60107421875,618.0,689.8499755859375,610.0,681.0,911262,2022-08-08
2022-08-15,705.09521484375,710.1500244140625,743.3499755859375,617.75,618.0,1512662,2022-08-15
2022-08-22,707.03125,712.0999755859375,741.5499877929688,691.25,709.0499877929688,638552,2022-08-22
2022-08-29,698.14501953125,703.1500244140625,720.0,688.75,690.0999755859375,356296,2022-08-29
