Date,Adj Close_PATANJALI.NS,Close_PATANJALI.NS,High_PATANJALI.NS,Low_PATANJALI.NS,Open_PATANJALI.NS,Volume_PATANJALI.NS,Date
2020-07-13,849.087158203125,863.5499877929688,1050.0,860.1500244140625,953.0499877929688,890168,2020-07-13
2020-07-20,726.6231689453125,739.0,898.0,668.7000122070312,825.0,714700,2020-07-20
2020-07-27,633.1651000976562,643.9500122070312,775.0,643.9500122070312,739.0,277397,2020-07-27
2020-08-03,730.802001953125,743.25,743.5499877929688,581.25,615.0,170002,2020-08-03
2020-08-10,686.5556640625,698.25,766.0,690.0,743.25,141616,2020-08-10
2020-08-17,665.7598876953125,677.0999755859375,725.9000244140625,660.4000244140625,698.25,135564,2020-08-17
2020-08-24,647.1273193359375,658.1500244140625,684.0,620.0,677.0,160604,2020-08-24
2020-08-31,593.1958618164062,603.2999877929688,676.0,581.0,676.0,106507,2020-08-31
2020-09-07,528.842041015625,537.8499755859375,630.0,525.0,603.2999877929688,89801,2020-09-07
2020-09-14,512.9134521484375,521.6500244140625,548.0,515.0,537.8499755859375,69700,2020-09-14
2020-09-21,438.77618408203125,446.25,521.5999755859375,403.75,520.0,104548,2020-09-21
2020-09-28,533.2174682617188,542.2999877929688,542.2999877929688,458.0,462.79998779296875,80686,2020-09-28
2020-10-05,557.0613403320312,566.5499877929688,659.0499877929688,555.0,564.4000244140625,132592,2020-10-05
2020-10-12,520.4843139648438,529.3499755859375,594.0,506.0,538.25,90434,2020-10-12
2020-10-19,530.31689453125,539.3499755859375,539.3499755859375,506.0,539.0,47967,2020-10-19
2020-10-26,503.0808410644531,511.6499938964844,557.0,501.0,547.0,38780,2020-10-26
2020-11-02,512.3724975585938,521.0999755859375,540.0,501.5,502.0,36156,2020-11-02
2020-11-09,526.1381225585938,535.0999755859375,559.0,512.5999755859375,535.0,84055,2020-11-09
2020-11-16,639.4087524414062,650.2999877929688,650.2999877929688,532.5999755859375,532.5999755859375,82354,2020-11-16
